dataset,query_id,bm25_ndcg,bm25_mrr,bm25_recall,bm25_map,reranker_ndcg,reranker_mrr,reranker_recall,reranker_map,delta_nDCG@10,delta_MRR@10,delta_Recall@10,delta_MAP@10,dataset_slug,query,interpretacao
SciFact,1382,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,scifact,aPKCz causes tumour enhancement by affecting glutamine metabolism.,reranker melhorou o ranking da query no topo
SciFact,1140,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,scifact,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,reranker melhorou o ranking da query no topo
SciFact,575,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,scifact,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",reranker melhorou o ranking da query no topo
SciFact,72,0.3010299956639812,0.1111111111111111,1.0,0.1111111111111111,1.0,1.0,1.0,1.0,0.6989700043360187,0.8888888888888888,0.0,0.8888888888888888,scifact,Activator-inhibitor pairs are provided dorsally by Admpchordin.,reranker melhorou o ranking da query no topo
SciFact,1245,0.31546487678572877,0.125,1.0,0.125,1.0,1.0,1.0,1.0,0.6845351232142712,0.875,0.0,0.875,scifact,The one-child policy has been successful in lowering population growth.,reranker melhorou o ranking da query no topo
SciFact,1194,0.31546487678572877,0.125,1.0,0.125,1.0,1.0,1.0,1.0,0.6845351232142712,0.875,0.0,0.875,scifact,The arm density of TatAd complexes is due to structural rearrangements within Class1 TatAd complexes such as the 'charge zipper mechanism'.,reranker melhorou o ranking da query no topo
SciFact,660,0.38685280723454163,0.2,1.0,0.2,1.0,1.0,1.0,1.0,0.6131471927654584,0.8,0.0,0.8,scifact,Ivermectin is used to treat onchocerciasis.,reranker melhorou o ranking da query no topo
SciFact,1207,0.43067655807339306,0.25,1.0,0.25,1.0,1.0,1.0,1.0,0.5693234419266069,0.75,0.0,0.75,scifact,The composition of myosin-II isoform switches from the polarizable B isoform to the more homogenous A isoform during hematopoietic differentiation.,reranker melhorou o ranking da query no topo
SciFact,784,0.43067655807339306,0.25,1.0,0.25,1.0,1.0,1.0,1.0,0.5693234419266069,0.75,0.0,0.75,scifact,MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,reranker melhorou o ranking da query no topo
SciFact,1379,0.33424620450682646,0.3333333333333333,0.5,0.16666666666666666,0.8665427526082052,1.0,1.0,0.7041666666666666,0.5322965481013788,0.6666666666666667,0.5,0.5375,scifact,Women with a higher birth weight are more likely to develop breast cancer later in life.,reranker melhorou o ranking da query no topo
TREC-COVID,47,0.1848893028052299,0.16666666666666666,0.007142857142857143,0.07857142857142856,0.7645308661049757,1.0,0.01904761904761905,0.788888888888889,0.5796415632997458,0.8333333333333334,0.011904761904761908,0.7103174603174605,trec_covid,what are the health outcomes for children who contract COVID-19?,reranker melhorou o ranking da query no topo
TREC-COVID,11,0.0,0.0,0.0,0.0,0.4690000933206748,1.0,0.007228915662650603,0.3,0.4690000933206748,1.0,0.007228915662650603,0.3,trec_covid,what are the guidelines for triaging patients infected with coronavirus?,reranker melhorou o ranking da query no topo
TREC-COVID,37,0.25983227167304035,0.5,0.006666666666666667,0.13999999999999999,0.6997742431027909,1.0,0.02,0.7571031746031747,0.43994197142975056,0.5,0.013333333333333332,0.6171031746031747,trec_covid,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,reranker melhorou o ranking da query no topo
