dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label,direction
TREC-COVID,trec_covid,37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,gv5wby7k,0.004129338,0.065910555,-0.35170084,52,9,43,41.69084465213355,6.36484956741333,1,Relevante no qrels,Temporal signal and the phylodynamic threshold of SARS-CoV-2. The ongoing SARS-CoV-2 outbreak marks the first time that large amounts of genome sequence data have been generated and made publicly available in near real-time. Early analyses ...,43,gv5wby7k,Subiu
TREC-COVID,trec_covid,37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,ttbur07i,-0.19875167,-0.060655165,-0.15176815,59,16,43,41.392883401044536,4.988871097564697,0,Subiu,SARS-CoV-2 genome evolution exposes early human adaptations. The set of mutations observed at the outset of the SARS-CoV-2 pandemic may illuminate how the virus will adapt to humans as it continues to spread. Viruses are expected to quickly...,43,ttbur07i,Subiu
TREC-COVID,trec_covid,37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,zaxjj9q7,-0.1067107,0.034075785,0.013855992,45,3,42,41.9168499377442,7.13352108001709,1,Relevante no qrels,"Coding potential and sequence conservation of SARS-CoV-2 and related animal viruses. Abstract In December 2019, a novel human-infecting coronavirus (SARS-CoV-2) was recognized in China. In a few months, SARS-CoV-2 has caused thousands of di...",42,zaxjj9q7,Subiu
TREC-COVID,trec_covid,37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,shn7vx3d,0.028084787,-0.15513843,0.0041039744,42,1,41,42.0307794771919,7.639743328094482,2,Relevante no qrels,"Genome-Wide Identification and Characterization of Point Mutations in the SARS-CoV-2 Genome. OBJECTIVES: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) emerged in Wuhan, China, in December 2019 and has been rapidly spreading w...",41,shn7vx3d,Subiu
TREC-COVID,trec_covid,37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,5od0tegt,-0.19386062,-0.03884164,-0.17564896,44,8,36,41.92787907244659,6.457595348358154,2,Relevante no qrels,"Snapshot of the evolution and mutation patterns of SARS-CoV-2. The COVID-19 pandemic is the most important public health threat in recent history. Here we study how its causal agent, SARS-CoV-2, has diversified genetically since its first e...",36,5od0tegt,Subiu
TREC-COVID,trec_covid,37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,dbem6cfo,-0.10378654,0.03401386,0.008857442,43,10,33,41.94905579230557,6.362329959869385,0,Top reranker,"Coding potential and sequence conservation of SARS-CoV-2 and related animal viruses. In December 2019, a novel human-infecting coronavirus (SARS-CoV-2) was recognized in China. In a few months, SARS-CoV-2 has caused thousands of disease cas...",33,,Subiu
TREC-COVID,trec_covid,37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,8klkojpo,0.059653897,-0.028465886,-0.13765475,27,2,25,43.08175555188319,7.5017991065979,0,Top reranker,"SARS-CoV-2 Whole Genome Amplification and Sequencing for Effective Population-Based Surveillance and Control of Viral Transmission. Background With the gradual reopening of economies and resumption of social life, robust surveillance mechan...",25,8klkojpo,Subiu
TREC-COVID,trec_covid,37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,l7ymcyw7,-0.012718366,-0.0077623157,-0.18635224,56,31,25,41.52827794585598,4.022597312927246,1,Relevante no qrels,"A dynamic nomenclature proposal for SARS-CoV-2 to assist genomic epidemiology. The ongoing pandemic spread of a novel human coronavirus, SARS-COV-2, associated with severe pneumonia disease (COVID-19), has resulted in the generation of thou...",25,l7ymcyw7,Subiu
TREC-COVID,trec_covid,37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,0x90yubt,0.03725726,0.17946981,-0.15004846,51,29,22,41.73975136202484,4.0997700691223145,2,Relevante no qrels,"Analyzing hCov genome sequences: Applying Machine Intelligence and beyond. Covid-19 pandemic, caused by the sars-cov-2 strain of coronavirus, has affected millions of people all over the world and taken thousands of lives. It is of utmost i...",22,0x90yubt,Subiu
TREC-COVID,trec_covid,37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,o4y157hb,-0.0058690314,-0.1751932,0.10785887,54,32,22,41.64895558983967,3.739640712738037,1,Relevante no qrels,"First detection and genome sequencing of SARS‐CoV‐2 in an infected cat in France. After its first description in Wuhan (China), SARS‐CoV‐2 the agent of coronavirus disease 2019 (COVID‐19) rapidly spread worldwide. Previous studies suggested...",22,o4y157hb,Subiu
