dataset,query_id,query_text,doc_id,relevance,bm25_rank,reranker_rank,rank_delta,movement,bm25_score,reranker_score,appeared_only_after_reranker,dropped_after_reranker,doc_preview,doc_text
TREC-COVID,1,what is the origin of COVID-19,4dtk1kyh,2,,1.0,20.0,melhorou,,6.223144054412842,True,False,"Origin of Novel Coronavirus (COVID-19): A Computational Biology Study using Artificial Intelligence. Origin of the COVID-19 virus has been intensely debated in the scientific community since the first infected cases were detected in December 2019. The disease has caused a global pandemic, leading to deaths of thousands of people across the world and thus finding origin of this novel coronavirus is important in responding and controlling the pandemic. Recent research results suggest that bats or ...","Origin of Novel Coronavirus (COVID-19): A Computational Biology Study using Artificial Intelligence. Origin of the COVID-19 virus has been intensely debated in the scientific community since the first infected cases were detected in December 2019. The disease has caused a global pandemic, leading to deaths of thousands of people across the world and thus finding origin of this novel coronavirus is important in responding and controlling the pandemic. Recent research results suggest that bats or pangolins might be the original hosts for the virus based on comparative studies using its genomic sequences. This paper investigates the COVID-19 virus origin by using artificial intelligence (AI) and raw genomic sequences of the virus. More than 300 genome sequences of COVID-19 infected cases collected from different countries are explored and analysed using unsupervised clustering methods. The results obtained from various AI-enabled experiments using clustering algorithms demonstrate that all examined COVID-19 virus genomes belong to a cluster that also contains bat and pangolin coronavirus genomes. This provides evidences strongly supporting scientific hypotheses that bats and pangolins are probable hosts for the COVID-19 virus. At the whole genome analysis level, our findings also indicate that bats are more likely the hosts for the COVID-19 virus than pangolins."
TREC-COVID,1,what is the origin of COVID-19,thg4fqi2,1,,2.0,19.0,melhorou,,5.886868000030518,True,False,Epidemiology of CoViD-19 Pandemic: Recovery and mortality ratio around the globe. Coronavirus Disease 2019 (CoViD-19) is the third type of coronavirus disease after severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS) that appears in human population from the past two decades. It is highly contagious and rapidly spread in the human population and compelled global public health institutions on high alert. Due to genetic similarity of this novel coronavirus 2019 wit...,"Epidemiology of CoViD-19 Pandemic: Recovery and mortality ratio around the globe. Coronavirus Disease 2019 (CoViD-19) is the third type of coronavirus disease after severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS) that appears in human population from the past two decades. It is highly contagious and rapidly spread in the human population and compelled global public health institutions on high alert. Due to genetic similarity of this novel coronavirus 2019 with bat virus its emergence from bat to humans is possible. The virus survive in the droplets of coughing and sneezing and spread around the large areas through infected person resulting in its rapid spread among people. Clinical symptoms of CoViD-19 include fever, dry cough, dyspnea, loose stool, nausea and vomiting. The present review discuss the origin of CoViD-19, its rapid spread, mortality rate and recoveries ratio around the world. Since its origin from Wuhan, the CoViD-19 spread very rapidly all across the countries, on April 17, 2020 this disease has affected 210 countries of the globe. The data obtained showed over 2.4 million confirmed cases of CoViD-19. Higher mortality rate was found in Algeria and Belgium as 15% and 13.95%, respectively. Lower mortality rate was found in Qatar 0.17% and Singapore 0.2%. Recovery versus deceased ratio showed that recovery was 68, 59 and 35 times higher than the death in Singapore, Qatar and Thailand respectively. It is concluded that 2019-novel corona virus is a zoonotic pathogen similar to MERS and SARS. Therefore, a barrier should be maintained between and across the human, household and wild animals to avoid such pandemics."
TREC-COVID,1,what is the origin of COVID-19,x3sb1o4u,0,,3.0,18.0,melhorou,,5.814664363861084,True,False,"Pandemia COVID-19, la nueva emergencia sanitaria de preocupación internacional: una revisión./ [Pandemic COVID-19, the new health emergency of international concern: a review]. In late December 2019, some cases of atypical pneumonia, at that time of unknown origin, were reported in Wuhan, China. Days later, the etiologic agent was identified as a new coronavirus. This new coronavirus was called SARS-CoV-2 and the disease it produces was named COVID-19. The origin of this new virus is presumed zo...","Pandemia COVID-19, la nueva emergencia sanitaria de preocupación internacional: una revisión./ [Pandemic COVID-19, the new health emergency of international concern: a review]. In late December 2019, some cases of atypical pneumonia, at that time of unknown origin, were reported in Wuhan, China. Days later, the etiologic agent was identified as a new coronavirus. This new coronavirus was called SARS-CoV-2 and the disease it produces was named COVID-19. The origin of this new virus is presumed zoonotic, with bats being its probable vector. Due to the rapid number of infections and deaths that occurred first in China and later around the world, the infection of this virus quickly went from being an isolated outbreak in a Chinese region to becoming a health emergency of international concern and later, a pandemic. The purpose of this review is to study the most relevant and current information on the pathogen, as well as epidemiology, pathology, clinical features, transmission, prevention, and treatment of the disease."
TREC-COVID,1,what is the origin of COVID-19,xuczplaf,1,,4.0,17.0,melhorou,,5.790998935699463,True,False,"The epidemiology and pathogenesis of coronavirus disease (COVID-19) outbreak. Abstract Coronavirus disease (COVID-19) is caused by SARS-COV2 and represents the causative agent of a potentially fatal disease that is of great global public health concern. Based on the large number of infected people that were exposed to the wet animal market in Wuhan City, China, it is suggested that this is likely the zoonotic origin of COVID-19. Person-to-person transmission of COVID-19 infection led to the isol...","The epidemiology and pathogenesis of coronavirus disease (COVID-19) outbreak. Abstract Coronavirus disease (COVID-19) is caused by SARS-COV2 and represents the causative agent of a potentially fatal disease that is of great global public health concern. Based on the large number of infected people that were exposed to the wet animal market in Wuhan City, China, it is suggested that this is likely the zoonotic origin of COVID-19. Person-to-person transmission of COVID-19 infection led to the isolation of patients that were subsequently administered a variety of treatments. Extensive measures to reduce person-to-person transmission of COVID-19 have been implemented to control the current outbreak. Special attention and efforts to protect or reduce transmission should be applied in susceptible populations including children, health care providers, and elderly people. In this review, we highlights the symptoms, epidemiology, transmission, pathogenesis, phylogenetic analysis and future directions to control the spread of this fatal disease."
TREC-COVID,1,what is the origin of COVID-19,sh7lrdou,1,,5.0,16.0,melhorou,,5.718746185302734,True,False,"The epidemiology and pathogenesis of coronavirus disease (COVID-19) outbreak. Coronavirus disease (COVID-19) is caused by SARS-COV2 and represents the causative agent of a potentially fatal disease that is of great global public health concern. Based on the large number of infected people that were exposed to the wet animal market in Wuhan City, China, it is suggested that this is likely the zoonotic origin of COVID-19. Person-to-person transmission of COVID-19 infection led to the isolation of ...","The epidemiology and pathogenesis of coronavirus disease (COVID-19) outbreak. Coronavirus disease (COVID-19) is caused by SARS-COV2 and represents the causative agent of a potentially fatal disease that is of great global public health concern. Based on the large number of infected people that were exposed to the wet animal market in Wuhan City, China, it is suggested that this is likely the zoonotic origin of COVID-19. Person-to-person transmission of COVID-19 infection led to the isolation of patients that were subsequently administered a variety of treatments. Extensive measures to reduce person-to-person transmission of COVID-19 have been implemented to control the current outbreak. Special attention and efforts to protect or reduce transmission should be applied in susceptible populations including children, health care providers, and elderly people. In this review, we highlights the symptoms, epidemiology, transmission, pathogenesis, phylogenetic analysis and future directions to control the spread of this fatal disease."
TREC-COVID,1,what is the origin of COVID-19,e6h1qvdk,1,,6.0,15.0,melhorou,,5.060667037963867,True,False,"Origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19).. Coronavirus has emerged as a global health treat due to its accelerated geographic spread over the last two decades. This article reviews the current state of knowledge concerning the origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19). Historically, it has caused two pandemics: severe acute respiratory syndrome and Middle East respiratory syndrome followed by the present COV...","Origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19).. Coronavirus has emerged as a global health treat due to its accelerated geographic spread over the last two decades. This article reviews the current state of knowledge concerning the origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19). Historically, it has caused two pandemics: severe acute respiratory syndrome and Middle East respiratory syndrome followed by the present COVID-19 that emerged from China. The virus is believed to be acquired from zoonotic source and spreads through direct and contact transmission. The symptomatic phase manifests with fever, cough and myalgia to severe respiratory failure. The diagnosis is confirmed using reverse transcriptase PCR. Management of COVID-19 is mainly by supportive therapy along with mechanical ventilation in severe cases. Preventive strategies form the major role in reducing the public spread of virus along with successful disease isolation and community containment. Development of a vaccine to eliminate the virus from the host still remains an ongoing challenge."
TREC-COVID,1,what is the origin of COVID-19,3ll2tlzr,1,,11.0,10.0,melhorou,,4.33107852935791,True,False,"Origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19). Coronavirus has emerged as a global health threat due to its accelerated geographic spread over the last two decades. This article reviews the current state of knowledge concerning the origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19). Historically, it has caused two pandemics: severe acute respiratory syndrome and Middle East respiratory syndrome followed by the present COV...","Origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19). Coronavirus has emerged as a global health threat due to its accelerated geographic spread over the last two decades. This article reviews the current state of knowledge concerning the origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19). Historically, it has caused two pandemics: severe acute respiratory syndrome and Middle East respiratory syndrome followed by the present COVID-19 that emerged from China. The virus is believed to be acquired from zoonotic source and spreads through direct and contact transmission. The symptomatic phase manifests with fever, cough and myalgia to severe respiratory failure. The diagnosis is confirmed using reverse transcriptase PCR. Management of COVID-19 is mainly by supportive therapy along with mechanical ventilation in severe cases. Preventive strategies form the major role in reducing the public spread of virus along with successful disease isolation and community containment. Development of a vaccine to eliminate the virus from the host still remains an ongoing challenge."
TREC-COVID,1,what is the origin of COVID-19,l2wzr3w1,1,,14.0,7.0,melhorou,,3.739062547683716,True,False,"COVID-19 breakthroughs: separating fact from fiction. The newly recognised coronavirus SARS-CoV-2, causative agent of COVID-19, has caused a pandemic with huge ramifications for human interactions around the globe. As expected, research efforts to understand the virus and curtail the disease are moving at a frantic pace alongside the spread of rumours, speculations and falsehoods. In this article, we aim to clarify the current scientific view behind several claims or controversies related to COV...","COVID-19 breakthroughs: separating fact from fiction. The newly recognised coronavirus SARS-CoV-2, causative agent of COVID-19, has caused a pandemic with huge ramifications for human interactions around the globe. As expected, research efforts to understand the virus and curtail the disease are moving at a frantic pace alongside the spread of rumours, speculations and falsehoods. In this article, we aim to clarify the current scientific view behind several claims or controversies related to COVID-19. Starting with the origin of the virus, we then discuss the effect of ibuprofen and nicotine on the severity of the disease. We highlight the knowledge on fomites and SARS-CoV-2 and discuss the evidence and explications for a disproportionately stronger impact of COVID-19 on ethnic minorities, including a potential protective role for vitamin D. We further review what is known about the effects of SARS-CoV-2 infection in children, including their role in transmission of the disease, and conclude with the science on different mortality rates between different countries and whether this hints at the existence of more pathogenic cohorts of SARS-CoV-2."
TREC-COVID,1,what is the origin of COVID-19,zd7smm8r,1,14.0,9.0,5.0,melhorou,25.509860452874374,4.615597724914551,False,False,"Could India be the origin of next COVID-19 like epidemic?. Abstract The COVID-19 global pandemic is not even over yet but it has already taught us a lot of lessons - the hard way. The vast majority of the global community has blamed the Chinese Illegal wildlife markets for the origin of this pandemic. Through careful scientific analysis, I have explained in this article that we don't need such wildlife markets for these kinds of outbreaks to occur in the future. I have also explained how India w...","Could India be the origin of next COVID-19 like epidemic?. Abstract The COVID-19 global pandemic is not even over yet but it has already taught us a lot of lessons - the hard way. The vast majority of the global community has blamed the Chinese Illegal wildlife markets for the origin of this pandemic. Through careful scientific analysis, I have explained in this article that we don't need such wildlife markets for these kinds of outbreaks to occur in the future. I have also explained how India which is the second-most populous country in the world, could be the origin of the next outbreak, even though such wildlife markets are either very rare or do not exist at all in India."
TREC-COVID,1,what is the origin of COVID-19,y3uzb4dx,1,,17.0,4.0,melhorou,,3.2236990928649902,True,False,"COVID-19 under spotlight: A close look at the origin, transmission, diagnosis, and treatment of the 2019-nCoV disease. Months after the outbreak of a new flu-like disease in China, the entire world is now in a state of caution. The subsequent less-anticipated propagation of the novel coronavirus disease, formally known as COVID-19, not only made it to headlines by an overwhelmingly high transmission rate and fatality reports, but also raised an alarm for the medical community all around the glob...","COVID-19 under spotlight: A close look at the origin, transmission, diagnosis, and treatment of the 2019-nCoV disease. Months after the outbreak of a new flu-like disease in China, the entire world is now in a state of caution. The subsequent less-anticipated propagation of the novel coronavirus disease, formally known as COVID-19, not only made it to headlines by an overwhelmingly high transmission rate and fatality reports, but also raised an alarm for the medical community all around the globe. Since the causative agent, SARS-CoV-2, is a recently discovered species, there is no specific medicine for downright treatment of the infection. This has led to an unprecedented societal fear of the newly born disease, adding a psychological aspect to the physical manifestation of the virus. Herein, the COVID-19 structure, epidemiology, pathogenesis, etiology, diagnosis, and therapy have been reviewed."
