feature,coefficient
query_tfidf__carcinogens,1.0026411637346166
numeric__lexical_coverage_top3_mean,0.9943008642286429
query_tfidf__based,-0.9367473411297246
query_tfidf__practices,0.9345733947878127
query_tfidf__what,0.9258501749564628
query_tfidf__boosting,0.8794650807853204
numeric__bm25_top1_mean_ratio,-0.8778500247325791
query_tfidf__are,0.8672215316261018
numeric__bm25_score_range,-0.8363837811766088
query_tfidf__supply,0.8294140288301954
numeric__bm25_top1_top2_margin,-0.8160338513661722
query_tfidf__childhood,0.7975475370722643
query_tfidf__beans,-0.7961800757503003
query_tfidf__diets,0.789524983998492
query_tfidf__do,0.743544657549015
query_tfidf__dental,0.7408965180100393
query_tfidf__update on,0.7405580077983904
query_tfidf__update,0.7405580077983904
query_tfidf__with diet,0.7388347983013099
query_tfidf__pain,0.717800071873432
query_tfidf__safe,0.7098674723359443
query_tfidf__dioxide,0.7068359877640271
query_tfidf__titanium,0.7068359877640271
query_tfidf__titanium dioxide,0.7068359877640271
query_tfidf__taking,0.7009812524651127
query_tfidf__activate,0.6996063733017693
query_tfidf__low,0.6988222144962136
query_tfidf__health,-0.687000364410858
query_tfidf__cognitive,0.6696442272402576
query_tfidf__bone,0.6693934902480575
query_tfidf__and adhd,0.6608842807464494
query_tfidf__specific,-0.6603116563502256
query_tfidf__in,-0.6450372877048007
query_tfidf__cancer,0.6380612332112038
query_tfidf__adhd,0.6307811655801274
query_tfidf__to,-0.6292770467814495
query_tfidf__obesity,0.6276390510597143
query_tfidf__toxin,0.6268122001522487
query_tfidf__headaches,0.6155567769852093
query_tfidf__with,0.6121273526518547
query_tfidf__or,-0.6043676911582221
query_tfidf__increases,0.6027292503537314
query_tfidf__vitamin,0.5967931960013407
query_tfidf__covid 19,0.5939310568868948
query_tfidf__covid,0.5939310568868948
query_tfidf__19,0.5939310568868948
query_tfidf__prostate,0.5827621777246631
query_tfidf__drugs,-0.5820195439359134
query_tfidf__plant,-0.5691750705235957
query_tfidf__breast cancer,-0.5657433760029367
query_tfidf__before pregnancy,0.564710626255324
query_tfidf__pregnancy,0.564710626255324
query_tfidf__viral,-0.5603140638764427
query_tfidf__deficiency,0.5596783773559344
query_tfidf__prr mda5,0.5591501260664571
query_tfidf__rna,0.5591501260664571
query_tfidf__the prr,0.5591501260664571
query_tfidf__prr,0.5591501260664571
query_tfidf__death,0.5554723199016267
query_tfidf__nuts,-0.5546214590290948
query_tfidf__better,-0.5544721322183385
query_tfidf__proteins,0.5541175722243971
query_tfidf__in childhood,0.5520282693553352
query_tfidf__risk,0.5505916632240665
query_tfidf__dietary,-0.5495697842921703
query_tfidf__development,-0.5420076604817646
query_tfidf__how,0.5398384916580747
query_tfidf__levels of,0.5374235293912316
query_tfidf__heart,0.5333851084479413
query_tfidf__into,0.5307857381622614
query_tfidf__treating,0.5296348256645104
query_tfidf__coffee,-0.529435181526087
query_tfidf__supplements,0.5280266964302812
query_tfidf__rates,-0.5214567259096274
query_tfidf__mortality,-0.51888745861393
query_tfidf__testing,0.517771196740882
numeric__bm25_score_slope,-0.5171727181503254
query_tfidf__fat,-0.5146644215181376
query_tfidf__genetic,-0.5112882018567365
query_tfidf__dioxins,0.5088503426013632
query_tfidf__dna,-0.5086969575965756
query_tfidf__mouse,0.5079969330589429
query_tfidf__disease,-0.5011236310585612
query_tfidf__physical,0.49799996225705184
query_tfidf__immune,-0.49341624926379074
query_tfidf__energy,-0.48921489560912923
query_tfidf__phosphatidylinositol,0.48636490793646975
query_tfidf__bad,0.48585601221377345
query_tfidf__colors,0.4835883475337309
query_tfidf__much,0.4834134815186832
query_tfidf__what are,0.48188994821007936
query_tfidf__in the,0.4818443827623971
query_tfidf__evidence,0.4817056988611143
query_tfidf__is associated,-0.4791754306658164
query_tfidf__vegetarians,0.47723095894851936
query_tfidf__treatment,-0.47476004672195654
query_tfidf__show,-0.4692463041368357
query_tfidf__and pork,0.4690955151083647
query_tfidf__chronic headaches,0.4690955151083647
query_tfidf__headaches and,0.4690955151083647
query_tfidf__across,0.46891228164058235
query_tfidf__healthy,-0.4604484203083784
query_tfidf__apoptosis,-0.4589679860353909
query_tfidf__with cognitive,0.45799502135289927
query_tfidf__warm,0.4575080117872521
query_tfidf__hands,0.4575080117872521
query_tfidf__your hands,0.4575080117872521
query_tfidf__hands warm,0.4575080117872521
query_tfidf__citrus,0.4575080117872521
query_tfidf__saturated fat,-0.4571154484421719
query_tfidf__saturated,-0.4571154484421719
query_tfidf__food,0.4560241878181353
query_tfidf__rapamycin,-0.4529900933907586
query_tfidf__burden,0.4504767720020584
query_tfidf__diet,-0.4469225482650347
query_tfidf__does,0.4463877667525447
query_tfidf__before,0.4458321936185616
query_tfidf__tea,0.44514206991805644
query_tfidf__at,-0.44220410765046714
query_tfidf__decreases,-0.44210637623636284
query_tfidf__artery,-0.43973174586222513
query_tfidf__what do,0.43961108326131837
query_tfidf__coronavirus,0.4392734763362664
query_tfidf__alternative,0.4377112224015572
query_tfidf__cell,-0.4312605837390852
query_tfidf__muscle,-0.4305558221744535
query_tfidf__sweeteners,-0.4291040403717272
query_tfidf__chicken,-0.4188774016346366
query_tfidf__interaction with,0.4184187827701321
query_tfidf__plant based,-0.4161918679056822
query_tfidf__treatment of,-0.41511950342258885
query_tfidf__type,-0.413748397869898
query_tfidf__mutations,-0.41106342922517247
query_tfidf__cells can,0.4091792533752958
