dataset,query_id,query_text,query_char_count,query_word_count,query_unique_ratio,query_avg_word_length,query_digit_ratio,query_punctuation_ratio,bm25_score_max,bm25_score_mean,bm25_score_std,bm25_score_range,bm25_top1_top2_margin,bm25_top1_top5_margin,bm25_top10_std,bm25_top10_entropy,bm25_top1_mean_ratio,bm25_score_slope,lexical_coverage_top1,lexical_coverage_mean,lexical_coverage_max,lexical_coverage_std,lexical_coverage_top3_mean,doc_word_count_mean,doc_word_count_std,delta_nDCG@10,rerank_beneficial
SciFact,1,0-dimensional biomaterials show inductive properties.,53,6,1.0,7.833333333333333,0.018867924528301886,0.03773584905660377,10.173663486906072,7.928598583497471,1.0002945699155528,3.2290560715213674,0.3101301007395847,1.259310558131201,0.945856342850518,0.837007378923268,1.2831603693597837,-0.15802219436786177,0.3333333333333333,0.31666666666666665,0.5,0.10408329997330663,0.38888888888888884,130.0,26.094060626893622,0.0,0
SciFact,3,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",148,21,0.9047619047619048,6.0476190476190474,0.02702702702702703,0.013513513513513514,45.24672307841225,35.243384393986716,4.637408288184561,15.333113811378908,3.083035627228277,5.018895076316518,3.5701098052596283,0.1846796331639443,1.2838359271231716,-0.768412513295163,0.42105263157894735,0.36578947368421055,0.5263157894736842,0.0734488722997519,0.42105263157894735,131.8,32.1645767887594,0.0,0
SciFact,5,1/2000 in UK have abnormal PrP positivity.,42,8,1.0,4.25,0.11904761904761904,0.047619047619047616,24.75190691113307,14.05994059247551,3.2264162757725394,13.274269401979648,5.59112924658389,9.18501008469382,3.5617660829001094,0.015236781228904556,1.7604560096348916,-0.45521387272936825,0.625,0.40625,0.625,0.10364452469860624,0.4583333333333333,142.6,60.96753234304304,0.0,0
SciFact,13,5% of perinatal mortality is due to low birth weight.,53,10,1.0,4.2,0.018867924528301886,0.03773584905660377,30.636952898736737,24.394499257377024,2.7591190867089828,9.164835024295066,0.25320140560517856,4.6410448038836485,2.533808838443338,0.454496549378719,1.25589595324331,-0.44044106240270847,0.9,0.6349999999999999,0.9,0.09096702699330128,0.6666666666666666,163.15,39.42876488047781,0.0,0
SciFact,36,A deficiency of vitamin B12 increases blood levels of homocysteine.,67,10,0.9,5.7,0.029850746268656716,0.014925373134328358,42.55148332130276,27.969318173059644,4.547092345718785,18.38757517918668,7.402347229412229,12.248359796219958,4.8475321997993515,0.003387841359433084,1.5213629112449663,-0.6537160939533219,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.08606629658238704,0.6666666666666666,139.2,26.9937029693964,0.01879027595113203,1
SciFact,42,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,120,15,1.0,6.666666666666667,0.0,0.041666666666666664,49.068699210557064,25.350407581736125,7.565193067664565,28.065894763364263,3.008494563348094,25.017685768301867,9.376021181472945,0.08239283106179182,1.935617762844529,-0.878428165916429,0.5333333333333333,0.3766666666666667,0.5333333333333333,0.05686240703077328,0.4666666666666666,135.85,34.6341955298517,0.0,0
SciFact,48,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",78,15,0.9333333333333333,4.2,0.05128205128205128,0.02564102564102564,42.73246318115779,32.48213508345578,2.8861635788392417,12.599052154106321,5.3456112241396525,9.697902695863739,3.210977499138747,0.01526857355270666,1.3155681752866928,-0.3937628085240507,0.5,0.5285714285714286,0.6428571428571429,0.05248906591678239,0.5238095238095238,149.2,36.46998766108922,0.0,0
SciFact,49,ADAR1 binds to Dicer to cleave pre-miRNA.,41,8,0.875,4.125,0.024390243902439025,0.04878048780487805,46.69888174775531,21.589657099602814,7.873370911586769,30.567895058082556,4.532464319593473,24.68030086075778,9.524441367318726,0.025589014903406402,2.163021002710341,-0.9568606753371673,0.7142857142857143,0.42142857142857143,0.7142857142857143,0.11495340671022201,0.5714285714285715,125.85,33.49518622130649,0.0,0
SciFact,50,AIRE is expressed in some skin tumors.,38,7,1.0,4.428571428571429,0.0,0.02631578947368421,33.26980747304688,18.276576033304217,4.22555040329407,18.486882592177622,8.314926255075072,14.090666542850538,4.707026547600509,0.0010701227125082507,1.8203523139356887,-0.5792318244317212,0.8571428571428571,0.49285714285714277,0.8571428571428571,0.1315139474251569,0.7142857142857143,101.05,19.471710248460454,0.0,0
SciFact,51,ALDH1 expression is associated with better breast cancer outcomes.,66,9,1.0,6.333333333333333,0.015151515151515152,0.015151515151515152,28.66585281445855,19.393205653110503,3.196277031789605,11.491099401813688,1.6464846855190238,9.287273123699357,3.634186398667903,0.21347011462731413,1.4781389589328051,-0.42753001577586824,0.6666666666666666,0.6333333333333334,0.8888888888888888,0.09362388636862617,0.7777777777777777,134.0,34.12037514447929,0.0,0
