dataset,pipeline,query_id,query_text,elapsed_sec,ndcg@5,mrr@5,recall@5,map@5,ndcg@10,mrr@10,recall@10,map@10,ndcg@20,mrr@20,recall@20,map@20,ndcg,mrr,recall,map
NF-Corpus,BM25 + BGE-Reranker,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,2.985171543999968,0.639945385422766,1.0,0.125,0.4533333333333333,0.568701548887727,1.0,0.20833333333333334,0.3211111111111111,0.5040602263584989,1.0,0.2916666666666667,0.2011437908496732,0.568701548887727,1.0,0.20833333333333334,0.3211111111111111
NF-Corpus,BM25 + BGE-Reranker,PLAIN-12,Exploiting Autophagy to Live Longer,3.0464303480002854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04793998882601385,0.07142857142857142,0.03333333333333333,0.0035714285714285713,0.0,0.0,0.0,0.0
NF-Corpus,BM25 + BGE-Reranker,PLAIN-23,How to Reduce Exposure to Alkylphenols Through Your Diet,3.153795647000152,0.0,0.0,0.0,0.0,0.06652600506786449,0.125,0.022222222222222223,0.0325,0.23852115769692345,0.125,0.07777777777777778,0.0892578873654725,0.06652600506786449,0.125,0.022222222222222223,0.0325
NF-Corpus,BM25 + BGE-Reranker,PLAIN-33,What’s Driving America’s Obesity Problem?,3.031749163999848,0.14606834984270645,0.25,0.03125,0.05,0.1736770209513977,0.25,0.0625,0.05357142857142857,0.135285689234483,0.25,0.0625,0.026785714285714284,0.1736770209513977,0.25,0.0625,0.05357142857142857
NF-Corpus,BM25 + BGE-Reranker,PLAIN-44,Who Should be Careful About Curcumin?,3.058178288999443,0.0,0.0,0.0,0.0,0.04019569404504287,0.125,0.017241379310344827,0.0125,0.0988765880193327,0.125,0.05172413793103448,0.020394736842105264,0.04019569404504287,0.125,0.017241379310344827,0.0125
NF-Corpus,BM25 + BGE-Reranker,PLAIN-56,Foods for Glaucoma,3.097221265000371,0.6589630920636819,1.0,0.06,0.6,0.5110267561049476,1.0,0.06,0.3,0.43624977189918096,1.0,0.08,0.16818181818181818,0.5110267561049476,1.0,0.06,0.3
NF-Corpus,BM25 + BGE-Reranker,PLAIN-68,What is Actually in Chicken Nuggets?,3.1569977330000256,0.5065267082131061,1.0,0.01818181818181818,0.2,0.425035080064741,1.0,0.03636363636363636,0.13333333333333333,0.35775489136684724,1.0,0.07272727272727272,0.0925,0.425035080064741,1.0,0.03636363636363636,0.13333333333333333
NF-Corpus,BM25 + BGE-Reranker,PLAIN-78,What Do Meat Purge and Cola Have in Common?,3.239323265999701,0.14606834984270645,0.25,0.016129032258064516,0.05,0.1522237641551412,0.25,0.03225806451612903,0.05357142857142857,0.16525721984726224,0.25,0.06451612903225806,0.05178571428571428,0.1522237641551412,0.25,0.03225806451612903,0.05357142857142857
NF-Corpus,BM25 + BGE-Reranker,PLAIN-91,Chronic Headaches and Pork Parasites,3.1217626259995086,0.4239502565920201,1.0,0.03125,0.3333333333333333,0.29422066395233154,1.0,0.03125,0.16666666666666666,0.2706288580531105,1.0,0.0625,0.10326797385620914,0.29422066395233154,1.0,0.03125,0.16666666666666666
NF-Corpus,BM25 + BGE-Reranker,PLAIN-102,Stopping Heart Disease in Childhood,3.106606171999374,0.43673949858938643,1.0,0.041666666666666664,0.2,0.3239134396887189,1.0,0.041666666666666664,0.1,0.23064863341239247,1.0,0.041666666666666664,0.05,0.3239134396887189,1.0,0.041666666666666664,0.1
