dataset,dataset_slug,case_type,query_id,delta_nDCG@10,delta_MRR@10,delta_Recall@10,bm25_nDCG@10,reranker_nDCG@10,bm25_MRR@10,reranker_MRR@10,bm25_Recall@10,reranker_Recall@10,bm25_MAP@10,reranker_MAP@10,delta_MAP@10,query_text,overview_3d,candidates_3d,rank_changes,movement_3d,points_csv,rank_changes_csv
SciFact,scifact,melhorou,1382,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,aPKCz causes tumour enhancement by affecting glutamine metabolism.,ranking_candidates_3d_scifact_melhorou_1382.html,ranking_candidates_3d_scifact_melhorou_1382.html,reranking_rank_changes_scifact_melhorou_1382.html,reranking_movement_3d_scifact_melhorou_1382.html,visualization_3d_points_scifact_melhorou_1382.csv,visualization_3d_rank_changes_scifact_melhorou_1382.csv
SciFact,scifact,melhorou,1140,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,ranking_candidates_3d_scifact_melhorou_1140.html,ranking_candidates_3d_scifact_melhorou_1140.html,reranking_rank_changes_scifact_melhorou_1140.html,reranking_movement_3d_scifact_melhorou_1140.html,visualization_3d_points_scifact_melhorou_1140.csv,visualization_3d_rank_changes_scifact_melhorou_1140.csv
SciFact,scifact,melhorou,575,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",ranking_candidates_3d_scifact_melhorou_575.html,ranking_candidates_3d_scifact_melhorou_575.html,reranking_rank_changes_scifact_melhorou_575.html,reranking_movement_3d_scifact_melhorou_575.html,visualization_3d_points_scifact_melhorou_575.csv,visualization_3d_rank_changes_scifact_melhorou_575.csv
SciFact,scifact,piorou,513,-1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,High cardiopulmonary fitness causes increased mortality rate.,ranking_candidates_3d_scifact_piorou_513.html,ranking_candidates_3d_scifact_piorou_513.html,reranking_rank_changes_scifact_piorou_513.html,reranking_movement_3d_scifact_piorou_513.html,visualization_3d_points_scifact_piorou_513.csv,visualization_3d_rank_changes_scifact_piorou_513.csv
SciFact,scifact,piorou,294,-1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,Crossover hot spots are not found within gene promoters in Saccharomyces cerevisiae.,ranking_candidates_3d_scifact_piorou_294.html,ranking_candidates_3d_scifact_piorou_294.html,reranking_rank_changes_scifact_piorou_294.html,reranking_movement_3d_scifact_piorou_294.html,visualization_3d_points_scifact_piorou_294.csv,visualization_3d_rank_changes_scifact_piorou_294.csv
SciFact,scifact,piorou,1303,-0.6666666666666667,-0.8571428571428572,0.0,1.0,0.3333333333333333,1.0,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,-0.8571428571428572,Tirasemtiv has no effect on fast-twitch muscle.,ranking_candidates_3d_scifact_piorou_1303.html,ranking_candidates_3d_scifact_piorou_1303.html,reranking_rank_changes_scifact_piorou_1303.html,reranking_movement_3d_scifact_piorou_1303.html,visualization_3d_points_scifact_piorou_1303.csv,visualization_3d_rank_changes_scifact_piorou_1303.csv
TREC-COVID,trec_covid,melhorou,47,0.5796415632997458,0.8333333333333334,0.011904761904761908,0.1848893028052299,0.7645308661049757,0.16666666666666666,1.0,0.007142857142857143,0.01904761904761905,0.07857142857142856,0.788888888888889,0.7103174603174605,what are the health outcomes for children who contract COVID-19?,ranking_candidates_3d_trec_covid_melhorou_47.html,ranking_candidates_3d_trec_covid_melhorou_47.html,reranking_rank_changes_trec_covid_melhorou_47.html,reranking_movement_3d_trec_covid_melhorou_47.html,visualization_3d_points_trec_covid_melhorou_47.csv,visualization_3d_rank_changes_trec_covid_melhorou_47.csv
TREC-COVID,trec_covid,melhorou,11,0.4690000933206748,1.0,0.007228915662650603,0.0,0.4690000933206748,0.0,1.0,0.0,0.007228915662650603,0.0,0.3,0.3,what are the guidelines for triaging patients infected with coronavirus?,ranking_candidates_3d_trec_covid_melhorou_11.html,ranking_candidates_3d_trec_covid_melhorou_11.html,reranking_rank_changes_trec_covid_melhorou_11.html,reranking_movement_3d_trec_covid_melhorou_11.html,visualization_3d_points_trec_covid_melhorou_11.csv,visualization_3d_rank_changes_trec_covid_melhorou_11.csv
TREC-COVID,trec_covid,melhorou,37,0.43994197142975056,0.5,0.013333333333333332,0.25983227167304035,0.6997742431027909,0.5,1.0,0.006666666666666667,0.02,0.13999999999999999,0.7571031746031747,0.6171031746031747,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,ranking_candidates_3d_trec_covid_melhorou_37.html,ranking_candidates_3d_trec_covid_melhorou_37.html,reranking_rank_changes_trec_covid_melhorou_37.html,reranking_movement_3d_trec_covid_melhorou_37.html,visualization_3d_points_trec_covid_melhorou_37.csv,visualization_3d_rank_changes_trec_covid_melhorou_37.csv
TREC-COVID,trec_covid,piorou,14,-0.7681486832215605,-0.8,-0.03529411764705882,0.8532918008631815,0.08514311764162098,1.0,0.2,0.0392156862745098,0.00392156862745098,1.0,0.02,-0.98,what evidence is there related to COVID-19 super spreaders,ranking_candidates_3d_trec_covid_piorou_14.html,ranking_candidates_3d_trec_covid_piorou_14.html,reranking_rank_changes_trec_covid_piorou_14.html,reranking_movement_3d_trec_covid_piorou_14.html,visualization_3d_points_trec_covid_piorou_14.csv,visualization_3d_rank_changes_trec_covid_piorou_14.csv
TREC-COVID,trec_covid,piorou,21,-0.35492797327201453,-0.3,-0.006349206349206349,0.6515213700280398,0.29659339675602525,0.5,0.2,0.012698412698412698,0.006349206349206349,0.5877777777777778,0.13083333333333333,-0.4569444444444445,what are the mortality rates overall and in specific populations,ranking_candidates_3d_trec_covid_piorou_21.html,ranking_candidates_3d_trec_covid_piorou_21.html,reranking_rank_changes_trec_covid_piorou_21.html,reranking_movement_3d_trec_covid_piorou_21.html,visualization_3d_points_trec_covid_piorou_21.csv,visualization_3d_rank_changes_trec_covid_piorou_21.csv
TREC-COVID,trec_covid,piorou,3,-0.33427943517700565,0.0,-0.0031847133757961776,0.6471864012386492,0.3129069660616436,1.0,1.0,0.011146496815286623,0.007961783439490446,0.5782142857142857,0.26051587301587303,-0.31769841269841265,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,ranking_candidates_3d_trec_covid_piorou_3.html,ranking_candidates_3d_trec_covid_piorou_3.html,reranking_rank_changes_trec_covid_piorou_3.html,reranking_movement_3d_trec_covid_piorou_3.html,visualization_3d_points_trec_covid_piorou_3.csv,visualization_3d_rank_changes_trec_covid_piorou_3.csv
NF-Corpus,nfcorpus,melhorou,PLAIN-3151,0.6140091041223233,0.9,0.2777777777777778,0.07716607426375235,0.6911751783860757,0.1,1.0,0.05555555555555555,0.3333333333333333,0.01,0.4308333333333333,0.4208333333333333,Too Much Iodine Can Be as Bad as Too Little,ranking_candidates_3d_nfcorpus_melhorou_PLAIN-3151.html,ranking_candidates_3d_nfcorpus_melhorou_PLAIN-3151.html,reranking_rank_changes_nfcorpus_melhorou_PLAIN-3151.html,reranking_movement_3d_nfcorpus_melhorou_PLAIN-3151.html,visualization_3d_points_nfcorpus_melhorou_PLAIN-3151.csv,visualization_3d_rank_changes_nfcorpus_melhorou_PLAIN-3151.csv
NF-Corpus,nfcorpus,melhorou,PLAIN-1537,0.5481351590340573,0.5,0.13333333333333333,0.0,0.5481351590340573,0.0,0.5,0.0,0.13333333333333333,0.0,0.37249999999999994,0.37249999999999994,low-carb diets,ranking_candidates_3d_nfcorpus_melhorou_PLAIN-1537.html,ranking_candidates_3d_nfcorpus_melhorou_PLAIN-1537.html,reranking_rank_changes_nfcorpus_melhorou_PLAIN-1537.html,reranking_movement_3d_nfcorpus_melhorou_PLAIN-1537.html,visualization_3d_points_nfcorpus_melhorou_PLAIN-1537.csv,visualization_3d_rank_changes_nfcorpus_melhorou_PLAIN-1537.csv
NF-Corpus,nfcorpus,melhorou,PLAIN-1635,0.4249260138166713,0.5,0.0069605568445475635,0.5017100640839688,0.9266360779006401,0.5,1.0,0.013921113689095127,0.02088167053364269,0.3055555555555556,0.866388888888889,0.5608333333333334,milk,ranking_candidates_3d_nfcorpus_melhorou_PLAIN-1635.html,ranking_candidates_3d_nfcorpus_melhorou_PLAIN-1635.html,reranking_rank_changes_nfcorpus_melhorou_PLAIN-1635.html,reranking_movement_3d_nfcorpus_melhorou_PLAIN-1635.html,visualization_3d_points_nfcorpus_melhorou_PLAIN-1635.csv,visualization_3d_rank_changes_nfcorpus_melhorou_PLAIN-1635.csv
NF-Corpus,nfcorpus,piorou,PLAIN-3074,-0.6989700043360187,-0.8888888888888888,0.0,1.0,0.3010299956639812,1.0,0.1111111111111111,1.0,1.0,1.0,0.1111111111111111,-0.8888888888888888,How to Help Prevent Abdominal Aortic Aneurysms,ranking_candidates_3d_nfcorpus_piorou_PLAIN-3074.html,ranking_candidates_3d_nfcorpus_piorou_PLAIN-3074.html,reranking_rank_changes_nfcorpus_piorou_PLAIN-3074.html,reranking_movement_3d_nfcorpus_piorou_PLAIN-3074.html,visualization_3d_points_nfcorpus_piorou_PLAIN-3074.csv,visualization_3d_rank_changes_nfcorpus_piorou_PLAIN-3074.csv
NF-Corpus,nfcorpus,piorou,PLAIN-3342,-0.4800129389813732,-0.8571428571428572,-0.3333333333333333,0.6364391809889587,0.15642624200758548,1.0,0.14285714285714285,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.047619047619047616,-0.3968253968253968,Is Coconut Milk Good For You?,ranking_candidates_3d_nfcorpus_piorou_PLAIN-3342.html,ranking_candidates_3d_nfcorpus_piorou_PLAIN-3342.html,reranking_rank_changes_nfcorpus_piorou_PLAIN-3342.html,reranking_movement_3d_nfcorpus_piorou_PLAIN-3342.html,visualization_3d_points_nfcorpus_piorou_PLAIN-3342.csv,visualization_3d_rank_changes_nfcorpus_piorou_PLAIN-3342.csv
NF-Corpus,nfcorpus,piorou,PLAIN-2490,-0.4544349947341837,-0.875,-0.08695652173913043,0.5386485824602897,0.08421358772610596,1.0,0.125,0.13043478260869565,0.043478260869565216,0.26,0.0125,-0.2475,The Actual Benefit of Diet vs. Drugs,ranking_candidates_3d_nfcorpus_piorou_PLAIN-2490.html,ranking_candidates_3d_nfcorpus_piorou_PLAIN-2490.html,reranking_rank_changes_nfcorpus_piorou_PLAIN-2490.html,reranking_movement_3d_nfcorpus_piorou_PLAIN-2490.html,visualization_3d_points_nfcorpus_piorou_PLAIN-2490.csv,visualization_3d_rank_changes_nfcorpus_piorou_PLAIN-2490.csv
