dataset,pipeline,query_id,query_text,rank,doc_id,score,relevance,doc_text,doc_preview
TREC-COVID,BM25 + BGE-Reranker,1,what is the origin of COVID-19,1,4dtk1kyh,6.223144054412842,2,"Origin of Novel Coronavirus (COVID-19): A Computational Biology Study using Artificial Intelligence. Origin of the COVID-19 virus has been intensely debated in the scientific community since the first infected cases were detected in December 2019. The disease has caused a global pandemic, leading to deaths of thousands of people across the world and thus finding origin of this novel coronavirus is important in responding and controlling the pandemic. Recent research results suggest that bats or pangolins might be the original hosts for the virus based on comparative studies using its genomic sequences. This paper investigates the COVID-19 virus origin by using artificial intelligence (AI) and raw genomic sequences of the virus. More than 300 genome sequences of COVID-19 infected cases collected from different countries are explored and analysed using unsupervised clustering methods. The results obtained from various AI-enabled experiments using clustering algorithms demonstrate that all examined COVID-19 virus genomes belong to a cluster that also contains bat and pangolin coronavirus genomes. This provides evidences strongly supporting scientific hypotheses that bats and pangolins are probable hosts for the COVID-19 virus. At the whole genome analysis level, our findings also indicate that bats are more likely the hosts for the COVID-19 virus than pangolins.","Origin of Novel Coronavirus (COVID-19): A Computational Biology Study using Artificial Intelligence. Origin of the COVID-19 virus has been intensely debated in the scientific community since the first infected cases were detected in December 2019. The disease has caused a global pandemic, leading to deaths of thousands of people across the world and thus finding origin of this novel coronavirus is important in responding and controlling the pandemic. Recent research results suggest that bats or ..."
TREC-COVID,BM25 + BGE-Reranker,1,what is the origin of COVID-19,2,thg4fqi2,5.886868000030518,1,"Epidemiology of CoViD-19 Pandemic: Recovery and mortality ratio around the globe. Coronavirus Disease 2019 (CoViD-19) is the third type of coronavirus disease after severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS) that appears in human population from the past two decades. It is highly contagious and rapidly spread in the human population and compelled global public health institutions on high alert. Due to genetic similarity of this novel coronavirus 2019 with bat virus its emergence from bat to humans is possible. The virus survive in the droplets of coughing and sneezing and spread around the large areas through infected person resulting in its rapid spread among people. Clinical symptoms of CoViD-19 include fever, dry cough, dyspnea, loose stool, nausea and vomiting. The present review discuss the origin of CoViD-19, its rapid spread, mortality rate and recoveries ratio around the world. Since its origin from Wuhan, the CoViD-19 spread very rapidly all across the countries, on April 17, 2020 this disease has affected 210 countries of the globe. The data obtained showed over 2.4 million confirmed cases of CoViD-19. Higher mortality rate was found in Algeria and Belgium as 15% and 13.95%, respectively. Lower mortality rate was found in Qatar 0.17% and Singapore 0.2%. Recovery versus deceased ratio showed that recovery was 68, 59 and 35 times higher than the death in Singapore, Qatar and Thailand respectively. It is concluded that 2019-novel corona virus is a zoonotic pathogen similar to MERS and SARS. Therefore, a barrier should be maintained between and across the human, household and wild animals to avoid such pandemics.",Epidemiology of CoViD-19 Pandemic: Recovery and mortality ratio around the globe. Coronavirus Disease 2019 (CoViD-19) is the third type of coronavirus disease after severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS) that appears in human population from the past two decades. It is highly contagious and rapidly spread in the human population and compelled global public health institutions on high alert. Due to genetic similarity of this novel coronavirus 2019 wit...
TREC-COVID,BM25 + BGE-Reranker,1,what is the origin of COVID-19,3,x3sb1o4u,5.814664363861084,0,"Pandemia COVID-19, la nueva emergencia sanitaria de preocupación internacional: una revisión./ [Pandemic COVID-19, the new health emergency of international concern: a review]. In late December 2019, some cases of atypical pneumonia, at that time of unknown origin, were reported in Wuhan, China. Days later, the etiologic agent was identified as a new coronavirus. This new coronavirus was called SARS-CoV-2 and the disease it produces was named COVID-19. The origin of this new virus is presumed zoonotic, with bats being its probable vector. Due to the rapid number of infections and deaths that occurred first in China and later around the world, the infection of this virus quickly went from being an isolated outbreak in a Chinese region to becoming a health emergency of international concern and later, a pandemic. The purpose of this review is to study the most relevant and current information on the pathogen, as well as epidemiology, pathology, clinical features, transmission, prevention, and treatment of the disease.","Pandemia COVID-19, la nueva emergencia sanitaria de preocupación internacional: una revisión./ [Pandemic COVID-19, the new health emergency of international concern: a review]. In late December 2019, some cases of atypical pneumonia, at that time of unknown origin, were reported in Wuhan, China. Days later, the etiologic agent was identified as a new coronavirus. This new coronavirus was called SARS-CoV-2 and the disease it produces was named COVID-19. The origin of this new virus is presumed zo..."
TREC-COVID,BM25 + BGE-Reranker,1,what is the origin of COVID-19,4,xuczplaf,5.790998935699463,1,"The epidemiology and pathogenesis of coronavirus disease (COVID-19) outbreak. Abstract Coronavirus disease (COVID-19) is caused by SARS-COV2 and represents the causative agent of a potentially fatal disease that is of great global public health concern. Based on the large number of infected people that were exposed to the wet animal market in Wuhan City, China, it is suggested that this is likely the zoonotic origin of COVID-19. Person-to-person transmission of COVID-19 infection led to the isolation of patients that were subsequently administered a variety of treatments. Extensive measures to reduce person-to-person transmission of COVID-19 have been implemented to control the current outbreak. Special attention and efforts to protect or reduce transmission should be applied in susceptible populations including children, health care providers, and elderly people. In this review, we highlights the symptoms, epidemiology, transmission, pathogenesis, phylogenetic analysis and future directions to control the spread of this fatal disease.","The epidemiology and pathogenesis of coronavirus disease (COVID-19) outbreak. Abstract Coronavirus disease (COVID-19) is caused by SARS-COV2 and represents the causative agent of a potentially fatal disease that is of great global public health concern. Based on the large number of infected people that were exposed to the wet animal market in Wuhan City, China, it is suggested that this is likely the zoonotic origin of COVID-19. Person-to-person transmission of COVID-19 infection led to the isol..."
TREC-COVID,BM25 + BGE-Reranker,1,what is the origin of COVID-19,5,sh7lrdou,5.718746185302734,1,"The epidemiology and pathogenesis of coronavirus disease (COVID-19) outbreak. Coronavirus disease (COVID-19) is caused by SARS-COV2 and represents the causative agent of a potentially fatal disease that is of great global public health concern. Based on the large number of infected people that were exposed to the wet animal market in Wuhan City, China, it is suggested that this is likely the zoonotic origin of COVID-19. Person-to-person transmission of COVID-19 infection led to the isolation of patients that were subsequently administered a variety of treatments. Extensive measures to reduce person-to-person transmission of COVID-19 have been implemented to control the current outbreak. Special attention and efforts to protect or reduce transmission should be applied in susceptible populations including children, health care providers, and elderly people. In this review, we highlights the symptoms, epidemiology, transmission, pathogenesis, phylogenetic analysis and future directions to control the spread of this fatal disease.","The epidemiology and pathogenesis of coronavirus disease (COVID-19) outbreak. Coronavirus disease (COVID-19) is caused by SARS-COV2 and represents the causative agent of a potentially fatal disease that is of great global public health concern. Based on the large number of infected people that were exposed to the wet animal market in Wuhan City, China, it is suggested that this is likely the zoonotic origin of COVID-19. Person-to-person transmission of COVID-19 infection led to the isolation of ..."
TREC-COVID,BM25 + BGE-Reranker,1,what is the origin of COVID-19,6,e6h1qvdk,5.060667037963867,1,"Origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19).. Coronavirus has emerged as a global health treat due to its accelerated geographic spread over the last two decades. This article reviews the current state of knowledge concerning the origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19). Historically, it has caused two pandemics: severe acute respiratory syndrome and Middle East respiratory syndrome followed by the present COVID-19 that emerged from China. The virus is believed to be acquired from zoonotic source and spreads through direct and contact transmission. The symptomatic phase manifests with fever, cough and myalgia to severe respiratory failure. The diagnosis is confirmed using reverse transcriptase PCR. Management of COVID-19 is mainly by supportive therapy along with mechanical ventilation in severe cases. Preventive strategies form the major role in reducing the public spread of virus along with successful disease isolation and community containment. Development of a vaccine to eliminate the virus from the host still remains an ongoing challenge.","Origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19).. Coronavirus has emerged as a global health treat due to its accelerated geographic spread over the last two decades. This article reviews the current state of knowledge concerning the origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19). Historically, it has caused two pandemics: severe acute respiratory syndrome and Middle East respiratory syndrome followed by the present COV..."
TREC-COVID,BM25 + BGE-Reranker,1,what is the origin of COVID-19,7,0paafp5j,4.948669910430908,0,"Anesthesia and COVID-19: What We Should Know and What We Should Do.. Coronavirus disease 2019 (COVID-19), caused by Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2), was first reported in Wuhan, Hubei, China, and has spread to more than 200 other countries around the world. COVID-19 is a highly contagious disease with continuous human-to-human transmission. The origin of the virus is unknown. Airway manipulations and intubations, which are common during anesthesia procedures may increasingly expose anesthesia providers and intensive care unit team members to SARS-CoV-2. Through a comprehensive review of existing studies on COVID-19, this article presents the epidemiological and clinical characteristics of COVID-19, reviews current medical management, and suggests ways to improve the safety of anesthetic procedures. Owing to the highly contagious nature of the virus and the lack of therapeutic drugs or vaccines, precautions should be taken to prevent medical staff from COVID-19.","Anesthesia and COVID-19: What We Should Know and What We Should Do.. Coronavirus disease 2019 (COVID-19), caused by Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2), was first reported in Wuhan, Hubei, China, and has spread to more than 200 other countries around the world. COVID-19 is a highly contagious disease with continuous human-to-human transmission. The origin of the virus is unknown. Airway manipulations and intubations, which are common during anesthesia procedures may incr..."
TREC-COVID,BM25 + BGE-Reranker,1,what is the origin of COVID-19,8,96zsd27n,4.712624549865723,0,"Anesthesia and COVID-19: What We Should Know and What We Should Do. Coronavirus disease 2019 (COVID-19), caused by Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2), was first reported in Wuhan, Hubei, China, and has spread to more than 200 other countries around the world. COVID-19 is a highly contagious disease with continuous human-to-human transmission. The origin of the virus is unknown. Airway manipulations and intubations, which are common during anesthesia procedures may increasingly expose anesthesia providers and intensive care unit team members to SARS-CoV-2. Through a comprehensive review of existing studies on COVID-19, this article presents the epidemiological and clinical characteristics of COVID-19, reviews current medical management, and suggests ways to improve the safety of anesthetic procedures. Owing to the highly contagious nature of the virus and the lack of therapeutic drugs or vaccines, precautions should be taken to prevent medical staff from COVID-19.","Anesthesia and COVID-19: What We Should Know and What We Should Do. Coronavirus disease 2019 (COVID-19), caused by Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2), was first reported in Wuhan, Hubei, China, and has spread to more than 200 other countries around the world. COVID-19 is a highly contagious disease with continuous human-to-human transmission. The origin of the virus is unknown. Airway manipulations and intubations, which are common during anesthesia procedures may incre..."
TREC-COVID,BM25 + BGE-Reranker,1,what is the origin of COVID-19,9,zd7smm8r,4.615597724914551,1,"Could India be the origin of next COVID-19 like epidemic?. Abstract The COVID-19 global pandemic is not even over yet but it has already taught us a lot of lessons - the hard way. The vast majority of the global community has blamed the Chinese Illegal wildlife markets for the origin of this pandemic. Through careful scientific analysis, I have explained in this article that we don't need such wildlife markets for these kinds of outbreaks to occur in the future. I have also explained how India which is the second-most populous country in the world, could be the origin of the next outbreak, even though such wildlife markets are either very rare or do not exist at all in India.","Could India be the origin of next COVID-19 like epidemic?. Abstract The COVID-19 global pandemic is not even over yet but it has already taught us a lot of lessons - the hard way. The vast majority of the global community has blamed the Chinese Illegal wildlife markets for the origin of this pandemic. Through careful scientific analysis, I have explained in this article that we don't need such wildlife markets for these kinds of outbreaks to occur in the future. I have also explained how India w..."
TREC-COVID,BM25 + BGE-Reranker,1,what is the origin of COVID-19,10,cniyembt,4.456048965454102,1,"Could India be the origin of next COVID-19 like epidemic?. The COVID-19 global pandemic is not even over yet but it has already taught us a lot of lessons - the hard way. The vast majority of the global community has blamed the Chinese Illegal wildlife markets for the origin of this pandemic. Through careful scientific analysis, I have explained in this article that we don't need such wildlife markets for these kinds of outbreaks to occur in the future. I have also explained how India which is the second-most populous country in the world, could be the origin of the next outbreak, even though such wildlife markets are either very rare or do not exist at all in India.","Could India be the origin of next COVID-19 like epidemic?. The COVID-19 global pandemic is not even over yet but it has already taught us a lot of lessons - the hard way. The vast majority of the global community has blamed the Chinese Illegal wildlife markets for the origin of this pandemic. Through careful scientific analysis, I have explained in this article that we don't need such wildlife markets for these kinds of outbreaks to occur in the future. I have also explained how India which is t..."
