dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label,direction
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-904,0.08903752,0.25184202,0.09662013,59,1,58,10.49774533232115,-2.114048480987549,0,Top reranker,"A systematic review and meta-analysis of the effects of pasteurization on milk vitamins, and evidence for raw milk consumption and other health-rel.... Pasteurization of milk ensures safety for human consumption by reducing the number of vi...",58,MED-904,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-3359,-0.24197893,-0.06771888,0.14811611,58,17,41,10.507963116241621,-6.653863430023193,0,Subiu,You Are What You Eat: Within-Subject Increases in Fruit and Vegetable Consumption Confer Beneficial Skin-Color Changes. Background Fruit and vegetable consumption and ingestion of carotenoids have been found to be associated with human skin...,41,MED-3359,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4600,-0.18365547,-0.035292685,-0.060288306,42,4,38,10.724219034118516,-4.060546398162842,0,Top reranker,"Essentials of Healthy Eating: A Guide. Enough solid evidence now exists to offer women several fundamental strategies for healthy eating. They include emphasizing healthful unsaturated fats, whole grains, good protein “packages,” and fruits...",38,MED-4600,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-1340,0.067774914,0.39559942,-0.23590367,51,15,36,10.615016560464014,-6.397341728210449,0,Subiu,"Milk Consumption During Teenage Years and Risk of Hip Fractures in Older Adults. Importance Milk consumption during adolescence is recommended to promote peak bone mass and thereby reduce fracture risk in later life. However, its role in hi...",36,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-1709,-0.17383146,-0.11603964,-0.2245562,55,19,36,10.570162738372517,-6.822319507598877,0,Subiu,"Dietary sugar and body weight: have we reached a crisis in the epidemic of obesity and diabetes?: we have, but the pox on sugar is overwrought and .... In the preceding point narrative, Drs. Bray and Popkin provide their opinion and review ...",36,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4394,0.32203814,-0.41480556,-0.07257872,47,12,35,10.651819795280026,-5.923807144165039,0,Subiu,"Evidence for acne-promoting effects of milk and other insulinotropic dairy products.. Acne vulgaris, the most common skin disease of western civilization, has evolved to an epidemic affecting more than 85% of adolescents. Acne can be regard...",35,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4752,0.47458726,-0.21691138,-0.19614144,38,5,33,10.928536118974751,-4.740445613861084,0,Top reranker,"Acne, dairy and cancer. A potent link to dairy seems to exist for three hormone-responsive glands. Acne, breast cancer and prostate cancer have all been linked epidemiologically to dairy intake. Although mechanisms postulated here remain to...",33,MED-4752,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-2917,0.20693927,0.12893227,0.21369763,48,16,32,10.6415666673475,-6.423486232757568,0,Subiu,Nutrients and contaminants in human milk from mothers on macrobiotic and omnivorous diets.. The effect of alternative dietary habits and prolonged lactation on the nutrient and contaminant concentrations in human milk was studied. The study...,32,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-5283,-0.3845217,-0.0430793,-0.04721669,50,20,30,10.61799811804494,-6.913334369659424,0,Subiu,"Chocolate/cocoa and human health: a review.. Chocolate/cocoa has been known for its good taste and proposed health effects for centuries. Earlier, chocolate used to be criticised for its fat content and its consumption was a sin rather than...",30,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4366,-0.13516696,0.055691514,0.10553363,43,13,30,10.71463688995704,-6.265722751617432,0,Subiu,The marketing of dietary supplements in North America: the emperor is (almost) naked.. BACKGROUND: Many different dietary supplements are being sold in North America. The quality of the evidence supporting their efficacy covers a wide spect...,30,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4902,-0.16922261,-0.19976898,-0.10545855,44,14,30,10.710947776469867,-6.3176350593566895,0,Subiu,"Addition of milk prevents vascular protective effects of tea.. AIMS: Experimental and clinical studies indicate that tea exerts protection against cardiovascular diseases. However, a question of much debate is whether addition of milk modif...",30,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-3768,-0.24205227,0.22775929,-0.113132104,53,29,24,10.59348846143193,-7.59742546081543,0,Subiu,"The positive and negative health effects of alcohol- and the public health implications.. In this paper, the negative and the positive effects of alcohol on health are reviewed. It is first of all established facts that a high alcohol intak...",24,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4664,0.16616975,0.011819191,0.35215107,33,9,24,11.23822324236292,-5.83754825592041,0,Top reranker,Iodine toxicity from soy milk and seaweed ingestion is associated with serious thyroid dysfunction.. We report a series of cases of thyroid dysfunction in adults associated with ingestion of a brand of soy milk manufactured with kombu (seaw...,24,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-2117,0.19288303,-0.31424662,-0.12179102,31,8,23,11.289710327633006,-5.816667079925537,0,Top reranker,Diet in acne: further evidence for the role of nutrient signalling in acne pathogenesis.. Recent evidence underlines the role of Western diet in the pathogenesis of acne. Acne is absent in populations consuming Palaeolithic diets with low g...,23,MED-2117,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-3087,0.109858476,0.36559817,0.23604953,46,24,22,10.666331228913966,-7.181493759155273,0,Subiu,"Prevalence and public health significance of aluminum residues in milk and some dairy products.. Sixty random samples of bulk farm milk, market milk, locally manufactured processed cheese, and milk powder were collected to be analyzed for a...",22,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-1366,-0.3185613,0.062056594,-0.005150991,56,35,21,10.551308995172466,-8.0382080078125,0,Subiu,"Mediterranean diet and public health: personal reflections.. My concern about diet as a public health problem began in the early 1950s in Naples, where we observed very low incidences of coronary heart disease associated with what we later ...",21,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-1774,0.18726453,0.28069913,0.30744466,41,22,19,10.73717607707708,-6.9783501625061035,0,Subiu,"A national survey of persistent, bioaccumulative, and toxic (PBT) pollutants in the United States milk supply.. This study measured 21 persistent, bioaccumulative, and toxic (PBT) pollutants in the US milk supply. Since milk fat is likely t...",19,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-901,0.23604627,-0.024773162,0.50054216,57,39,18,10.536694986129707,-8.31875991821289,0,Subiu,"Cow's milk allergy is associated with recurrent otitis media during childhood.. To determine whether cow's milk allergy (CMA) in infancy is associated with recurrent otitis media (ROM) or other chronic ear infections, we conducted a cohort ...",18,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-5134,0.06592598,-0.013027342,0.30159706,37,21,16,10.943235219784865,-6.923487186431885,0,Subiu,Complementary feeding: a commentary by the ESPGHAN Committee on Nutrition.. This position paper on complementary feeding summarizes evidence for health effects of complementary foods. It focuses on healthy infants in Europe. After reviewing...,16,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-2057,0.16857958,0.10580775,0.32643753,60,46,14,10.478635782840634,-8.567683219909668,0,Subiu,The Role of Cow's Milk Allergy in Pediatric Chronic Constipation: A Randomized Clinical Trial. Objective Cow's milk allergy has different presentations in children and can cause functional bowel symptoms such as chronic constipation. The ai...,14,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-5013,-0.4132148,-0.110337794,-0.19075364,23,10,13,11.63896148274737,-5.878830432891846,2,Relevante no qrels,Impairment of endothelial function--a possible mechanism for atherosclerosis of a high-fat meal intake.. INTRODUCTION: Endothelial dysfunction is known to occur in patients with coronary artery disease. Flow-mediated dilation of the brachia...,13,MED-5013,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-2771,0.22107089,0.32487807,-0.35652888,36,23,13,11.181805879392515,-7.108025074005127,0,Subiu,Milk consumption is a risk factor for prostate cancer in Western countries: evidence from cohort studies.. We have previously found a positive association between milk consumption and prostate cancer risk using meta-analysis to analyze publ...,13,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-2136,0.35199678,-0.20736384,-0.3995587,39,26,13,10.818342878754173,-7.476839542388916,0,Subiu,The impact of cow's milk-mediated mTORC1-signaling in the initiation and progression of prostate cancer. Prostate cancer (PCa) is dependent on androgen receptor signaling and aberrations of the PI3K-Akt-mTORC1 pathway mediating excessive an...,13,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-1223,0.33854893,-0.051203243,-0.24485545,29,18,11,11.294822007063006,-6.699077129364014,0,Subiu,"Cow milk consumption, insulin-like growth factor-I, and human biology: a life history approach.. OBJECTIVE: To assess the life history consequences of cow milk consumption at different stages in early life (prenatal to adolescence), especia...",11,,Subiu
