dataset,pipeline,query_id,query_text,elapsed_sec,ndcg@5,mrr@5,recall@5,map@5,ndcg@10,mrr@10,recall@10,map@10,ndcg@20,mrr@20,recall@20,map@20,ndcg,mrr,recall,map
TREC-COVID,BM25 + BGE-Reranker,1,what is the origin of COVID-19,2.963940997999998,0.584790051318404,1.0,0.006279434850863423,0.71,0.4836253695564513,1.0,0.01098901098901099,0.575,0.4375210014703873,1.0,0.02040816326530612,0.5051498175027586,0.4836253695564513,1.0,0.01098901098901099,0.575
TREC-COVID,BM25 + BGE-Reranker,2,how does the coronavirus respond to changes in the weather,3.8099158579998402,1.0,1.0,0.01592356687898089,1.0,0.7958221994596777,1.0,0.025477707006369428,0.78,0.796408184700813,1.0,0.050955414012738856,0.7099314984551054,0.7958221994596777,1.0,0.025477707006369428,0.78
TREC-COVID,BM25 + BGE-Reranker,3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,3.567368283000178,0.16958010263680806,1.0,0.0015923566878980893,0.2,0.3129069660616436,1.0,0.007961783439490446,0.26051587301587303,0.4471392288816146,1.0,0.020700636942675158,0.37018871651224594,0.3129069660616436,1.0,0.007961783439490446,0.26051587301587303
TREC-COVID,BM25 + BGE-Reranker,4,what causes death from Covid-19?,3.208479482999792,0.3391602052736161,1.0,0.001890359168241966,0.2,0.28371255449703187,1.0,0.003780718336483932,0.12,0.2898584376619206,1.0,0.00945179584120983,0.09899122807017544,0.28371255449703187,1.0,0.003780718336483932,0.12
TREC-COVID,BM25 + BGE-Reranker,5,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?,4.109836319999886,0.38356636737133565,0.5,0.003257328990228013,0.2333333333333333,0.45821928353743857,0.5,0.009771986970684038,0.33936507936507937,0.5086808818030311,0.5,0.021172638436482084,0.39238064567011943,0.45821928353743857,0.5,0.009771986970684038,0.33936507936507937
TREC-COVID,BM25 + BGE-Reranker,6,what types of rapid testing for Covid-19 have been developed?,3.9342104760007715,1.0,1.0,0.005213764337851929,1.0,0.8884746192941302,1.0,0.009384775808133473,0.8521031746031745,0.8219052654465715,1.0,0.016684045881126174,0.7218925153793575,0.8884746192941302,1.0,0.009384775808133473,0.8521031746031745
TREC-COVID,BM25 + BGE-Reranker,7,are there serological tests that detect antibodies to coronavirus?,3.571761848999813,1.0,1.0,0.010395010395010396,1.0,0.9216017310213247,1.0,0.018711018711018712,0.8521031746031745,0.8959284210847784,1.0,0.037422037422037424,0.8255788758884733,0.9216017310213247,1.0,0.018711018711018712,0.8521031746031745
TREC-COVID,BM25 + BGE-Reranker,8,how has lack of testing availability led to underreporting of true incidence of Covid-19?,4.14452304400038,0.6813359790338589,1.0,0.006329113924050633,0.76,0.7148105858941862,1.0,0.012658227848101266,0.6842063492063492,0.6039046396802847,1.0,0.0189873417721519,0.48198412698412685,0.7148105858941862,1.0,0.012658227848101266,0.6842063492063492
TREC-COVID,BM25 + BGE-Reranker,9,how has COVID-19 affected Canada,3.097216094000032,0.3156484524795145,0.3333333333333333,0.010471204188481676,0.16666666666666666,0.34181895781690264,0.3333333333333333,0.020942408376963352,0.16619047619047617,0.3315411733779394,0.3333333333333333,0.04712041884816754,0.20774558774558774,0.34181895781690264,0.3333333333333333,0.020942408376963352,0.16619047619047617
TREC-COVID,BM25 + BGE-Reranker,10,has social distancing had an impact on slowing the spread of COVID-19?,4.015473610000299,0.8687949224876582,1.0,0.008421052631578947,0.8,0.8483308772905145,1.0,0.018947368421052633,0.8354365079365079,0.8307171180254982,1.0,0.037894736842105266,0.8172455425551401,0.8483308772905145,1.0,0.018947368421052633,0.8354365079365079
TREC-COVID,BM25 + BGE-Reranker,11,what are the guidelines for triaging patients infected with coronavirus?,3.6646959930003504,0.7227265726449519,1.0,0.007228915662650603,0.6,0.4690000933206748,1.0,0.007228915662650603,0.3,0.31884649222798933,1.0,0.00963855421686747,0.16,0.4690000933206748,1.0,0.007228915662650603,0.3
TREC-COVID,BM25 + BGE-Reranker,12,what are best practices in hospitals and at home in maintaining quarantine?,3.7701378310002838,0.21167088859887737,0.25,0.003246753246753247,0.13,0.30747174521586756,0.25,0.008116883116883116,0.2023015873015873,0.28736511116015034,0.25,0.01461038961038961,0.20387600961130375,0.30747174521586756,0.25,0.008116883116883116,0.2023015873015873
TREC-COVID,BM25 + BGE-Reranker,13,what are the transmission routes of coronavirus?,3.361898492000364,1.0,1.0,0.0057670126874279125,1.0,0.8603818544462509,1.0,0.00922722029988466,0.7675,0.789509091487699,1.0,0.01845444059976932,0.7271360175771941,0.8603818544462509,1.0,0.00922722029988466,0.7675
TREC-COVID,BM25 + BGE-Reranker,14,what evidence is there related to COVID-19 super spreaders,3.5903243809998457,0.13120507751234178,0.2,0.00392156862745098,0.04,0.08514311764162098,0.2,0.00392156862745098,0.02,0.2919973182250842,0.2,0.03137254901960784,0.12532974335605915,0.08514311764162098,0.2,0.00392156862745098,0.02
TREC-COVID,BM25 + BGE-Reranker,15,how long can the coronavirus live outside the body,3.687925983000241,0.0,0.0,0.0,0.0,0.07336392209936005,0.14285714285714285,0.002364066193853428,0.014285714285714285,0.10283157423859982,0.14285714285714285,0.0070921985815602835,0.02554945054945055,0.07336392209936005,0.14285714285714285,0.002364066193853428,0.014285714285714285
TREC-COVID,BM25 + BGE-Reranker,16,how long does coronavirus remain stable  on surfaces?,3.6103551630003494,0.830419897363192,1.0,0.012919896640826873,1.0,0.6797042935484945,1.0,0.023255813953488372,0.8788888888888889,0.6664018583741385,1.0,0.041343669250646,0.732780082619479,0.6797042935484945,1.0,0.023255813953488372,0.8788888888888889
TREC-COVID,BM25 + BGE-Reranker,17,are there any clinical trials available for the coronavirus,4.0288810680003735,0.7456298460447879,1.0,0.0074850299401197605,1.0,0.698984140860956,1.0,0.01347305389221557,0.9,0.5819923430820331,1.0,0.019461077844311378,0.6219128787878787,0.698984140860956,1.0,0.01347305389221557,0.9
TREC-COVID,BM25 + BGE-Reranker,18,what are the best masks for preventing infection by Covid-19?,3.8665262290005558,0.8274043288765652,1.0,0.007961783439490446,1.0,0.809598950263737,1.0,0.014331210191082803,0.8521031746031745,0.824121488671804,1.0,0.030254777070063694,0.8926130171428157,0.809598950263737,1.0,0.014331210191082803,0.8521031746031745
TREC-COVID,BM25 + BGE-Reranker,19,what type of hand sanitizer is needed to destroy Covid-19?,3.728913287999603,0.40777831251641367,1.0,0.02702702702702703,0.52,0.29774733445463286,1.0,0.036036036036036036,0.3044444444444444,0.280741451337312,1.0,0.06306306306306306,0.20952380952380953,0.29774733445463286,1.0,0.036036036036036036,0.3044444444444444
TREC-COVID,BM25 + BGE-Reranker,20,are patients taking Angiotensin-converting enzyme inhibitors (ACE) at increased risk for COVID-19?,4.330348191000667,1.0,1.0,0.007122507122507123,1.0,1.0,1.0,0.014245014245014245,1.0,0.9644899900915856,1.0,0.027065527065527065,0.9360244668042654,1.0,1.0,0.014245014245014245,1.0
TREC-COVID,BM25 + BGE-Reranker,21,what are the mortality rates overall and in specific populations,3.760487362999811,0.13120507751234178,0.2,0.0015873015873015873,0.04,0.29659339675602525,0.2,0.006349206349206349,0.13083333333333333,0.290052447135774,0.2,0.011111111111111112,0.1125950292397661,0.29659339675602525,0.2,0.006349206349206349,0.13083333333333333
TREC-COVID,BM25 + BGE-Reranker,22,are cardiac complications likely in patients with COVID-19?,3.7415699610000956,1.0,1.0,0.009157509157509158,1.0,1.0,1.0,0.018315018315018316,1.0,0.9621543057340861,1.0,0.03663003663003663,1.0,1.0,1.0,0.018315018315018316,1.0
TREC-COVID,BM25 + BGE-Reranker,23,what kinds of complications related to COVID-19 are associated with hypertension?,4.025445201000366,0.7691415988388896,1.0,0.01078167115902965,0.76,0.7415583376298142,1.0,0.0215633423180593,0.7068253968253967,0.6590644164729776,1.0,0.03773584905660377,0.5878515696549751,0.7415583376298142,1.0,0.0215633423180593,0.7068253968253967
TREC-COVID,BM25 + BGE-Reranker,24,what kinds of complications related to COVID-19 are associated with diabetes,4.217361793999771,0.915209948681596,1.0,0.012376237623762377,1.0,0.9118499466982855,1.0,0.024752475247524754,1.0,0.8760223699868815,1.0,0.04455445544554455,0.8916494668042654,0.9118499466982855,1.0,0.024752475247524754,1.0
TREC-COVID,BM25 + BGE-Reranker,25,which biomarkers predict the severe clinical course of 2019-nCOV infection?,3.8545645599997442,1.0,1.0,0.00945179584120983,1.0,0.8298881779744938,1.0,0.015122873345935728,0.7763888888888889,0.640612416677133,1.0,0.022684310018903593,0.5260398098633392,0.8298881779744938,1.0,0.015122873345935728,0.7763888888888889
TREC-COVID,BM25 + BGE-Reranker,26,what are the initial symptoms of Covid-19?,3.5242649789997813,0.830419897363192,1.0,0.005141388174807198,0.71,0.8205228949141826,1.0,0.010282776349614395,0.6818253968253967,0.800113869675002,1.0,0.02056555269922879,0.6798542715454481,0.8205228949141826,1.0,0.010282776349614395,0.6818253968253967
TREC-COVID,BM25 + BGE-Reranker,27,what is known about those infected with Covid-19 but are asymptomatic?,4.053634861000319,0.2530614822099702,0.5,0.002355712603062426,0.2,0.2327119414554839,0.5,0.004711425206124852,0.18285714285714288,0.34988696252250423,0.5,0.012956419316843345,0.28274266991178754,0.2327119414554839,0.5,0.004711425206124852,0.18285714285714288
TREC-COVID,BM25 + BGE-Reranker,28,what evidence is there for the value of hydroxychloroquine in treating Covid-19?,4.020671919000051,1.0,1.0,0.009074410163339383,1.0,0.9608008655106622,1.0,0.018148820326678767,1.0,0.9373954081462468,1.0,0.034482758620689655,0.9291197048995036,0.9608008655106622,1.0,0.018148820326678767,1.0
TREC-COVID,BM25 + BGE-Reranker,29,which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?,4.945023260999733,0.9269658250786468,1.0,0.008278145695364239,1.0,0.8493978516976801,1.0,0.016556291390728478,1.0,0.8304905796967773,1.0,0.03145695364238411,0.9391494668042654,0.8493978516976801,1.0,0.016556291390728478,1.0
TREC-COVID,BM25 + BGE-Reranker,30,is remdesivir an effective treatment for COVID-19,3.70262331000049,1.0,1.0,0.013513513513513514,1.0,1.0,1.0,0.02702702702702703,1.0,0.9818218560057307,1.0,0.05405405405405406,1.0,1.0,1.0,0.02702702702702703,1.0
TREC-COVID,BM25 + BGE-Reranker,31,How does the coronavirus differ from seasonal flu?,3.764981106999585,0.06560253875617089,0.2,0.0028328611898017,0.04,0.14287430806944224,0.2,0.0084985835694051,0.07857142857142857,0.16211024299225968,0.2,0.0169971671388102,0.08913419913419914,0.14287430806944224,0.2,0.0084985835694051,0.07857142857142857
TREC-COVID,BM25 + BGE-Reranker,32,"Does SARS-CoV-2 have any subtypes, and if so what are they?",3.9273144849994424,0.8687949224876582,1.0,0.018518518518518517,0.8,0.5637884576902256,1.0,0.018518518518518517,0.4,0.3638506620318613,1.0,0.018518518518518517,0.2,0.5637884576902256,1.0,0.018518518518518517,0.4
TREC-COVID,BM25 + BGE-Reranker,33,What vaccine candidates are being tested for Covid-19?,3.5994482460000654,0.7227265726449519,1.0,0.010676156583629894,0.6,0.6901935063354876,1.0,0.021352313167259787,0.513095238095238,0.6254565481088111,1.0,0.0498220640569395,0.5309084484916528,0.6901935063354876,1.0,0.021352313167259787,0.513095238095238
TREC-COVID,BM25 + BGE-Reranker,34,What are the longer-term complications of those who recover from COVID-19?,4.277109026999824,0.7469385177900298,1.0,0.023255813953488372,0.76,0.629085439713692,1.0,0.040697674418604654,0.619047619047619,0.4648045883212895,1.0,0.05232558139534884,0.3833874458874459,0.629085439713692,1.0,0.040697674418604654,0.619047619047619
