dataset,query_id,query,top10_overlap_count,top10_overlap_ratio,new_docs_after_bge,removed_docs_after_bge
SciFact,1,0-dimensional biomaterials show inductive properties.,2,0.2,"['38037690', '7734150', '28436879', '4363526', '825728', '1156322', '11016788', '121581019']","['10608397', '43385013', '40212412', '27049238', '803312', '10906636', '393001', '3770726']"
SciFact,3,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",6,0.6,"['13914198', '20280410', '4378885', '10944947']","['3672261', '19497526', '14019636', '25571386']"
SciFact,5,1/2000 in UK have abnormal PrP positivity.,2,0.2,"['841371', '18340282', '31942055', '8509018', '23124332', '20945963', '12442311', '849771']","['17333231', '42240424', '695938', '1292369', '16737163', '1171121', '11880289', '103007']"
SciFact,13,5% of perinatal mortality is due to low birth weight.,3,0.3,"['28633594', '4791384', '35714909', '9513785', '37480103', '26611834', '8529693']","['5487448', '12779444', '19799455', '8842332', '25182647', '22815457', '37118634']"
SciFact,36,A deficiency of vitamin B12 increases blood levels of homocysteine.,7,0.7,"['4442799', '3215494', '9813098']","['42441846', '19799455', '23267371']"
SciFact,42,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,4,0.4,"['27889071', '25830701', '42373943', '9254550', '8925851', '25420421']","['6315132', '4353857', '10326242', '16056514', '10128893', '17821387']"
SciFact,48,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",3,0.3,"['24943534', '5850219', '374902', '39550665', '46353045', '8524891', '13768432']","['13959707', '26016929', '15648443', '18344910', '22309946', '11718220', '3716075']"
SciFact,49,ADAR1 binds to Dicer to cleave pre-miRNA.,8,0.8,"['23913146', '18654430']","['946756', '14652521']"
SciFact,50,AIRE is expressed in some skin tumors.,6,0.6,"['301838', '8354687', '1583134', '13989491']","['42279414', '3952288', '15707049', '17844478']"
SciFact,51,ALDH1 expression is associated with better breast cancer outcomes.,4,0.4,"['22401720', '13906581', '27240667', '20839751', '37480103', '21033230']","['24341590', '2140497', '313403', '21439640', '4429932', '16734530']"
SciFact,53,ALDH1 expression is associated with poorer prognosis in breast cancer.,4,0.4,"['19882228', '22401720', '52925737', '7795952', '24349992', '32721137']","['10024681', '7821634', '5372432', '29366489', '313403', '16734530']"
SciFact,54,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,9,0.9,['7005276'],['22036571']
SciFact,56,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,4,0.4,"['10273147', '15347087', '1605196', '36637129', '37722384', '24512417']","['22185730', '13969173', '26336593', '11886686', '4459491', '665817']"
SciFact,57,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation, delaying GABA neuron degeneration.",4,0.4,"['10273147', '36637129', '37722384', '15347087', '1605196', '24512417']","['22185730', '13969173', '26336593', '11886686', '4459491', '665817']"
SciFact,70,Activation of PPM1D suppresses p53 function.,3,0.3,"['6670101', '9483851', '31624828', '21557055', '6896063', '27949347', '21521236']","['5254463', '24721866', '21307488', '23985464', '7225911', '43880096', '11903247']"
SciFact,72,Activator-inhibitor pairs are provided dorsally by Admpchordin.,3,0.3,"['30369606', '2158516', '2533768', '1550937', '30884033', '10937190', '40500438']","['18895793', '1744752', '9929089', '22711954', '11420613', '39506601', '27393799']"
SciFact,75,"Active H. pylori urease has a polymeric structure that compromises two subunits, UreA and UreB.",6,0.6,"['37768883', '29214508', '36233757', '38805486']","['26488879', '39550665', '20330519', '8654183']"
SciFact,94,Albendazole is used to treat lymphatic filariasis.,5,0.5,"['42279414', '12801438', '20610557', '10982689', '2973910']","['7662206', '46765242', '22613657', '13441037', '27567994']"
SciFact,99,Alizarin forms hydrogen bonds with residues involved in PGAM1 substrate binding.,3,0.3,"['1383826', '1225513', '35531883', '20649327', '12922760', '2617858', '6422576']","['12225214', '36855703', '39389082', '5953485', '25942757', '21754541', '29098525']"
SciFact,100,All hematopoietic stem cells segregate their chromosomes randomly.,2,0.2,"['14205246', '24558930', '8747771', '25041967', '13116880', '4816339', '1944452', '30658796']","['22186938', '34982259', '2547636', '25516011', '92499', '15728433', '7583161', '2701077']"
SciFact,113,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,8,0.8,"['44030361', '140098548']","['43417006', '6397191']"
SciFact,115,Anthrax spores can be disposed of easily after they are dispersed.,4,0.4,"['23244529', '7912', '22371455', '24351680', '51728753', '7681810']","['22490293', '15462523', '13915464', '14717500', '20101846', '9599194']"
SciFact,118,Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,6,0.6,"['20148808', '12658073', '33684572', '41120293']","['13714201', '4492358', '11336632', '2604063']"
SciFact,124,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,6,0.6,"['39984099', '601033', '28806780', '1986482']","['17077004', '4347374', '14806256', '45908102']"
SciFact,127,Arginine 90 in p150n is important for interaction with EB1.,5,0.5,"['45166582', '169264', '46153874', '2474731', '2842550']","['21943141', '293661', '38623601', '22029384', '26118532']"
SciFact,128,Arterioles have a larger lumen diameter than venules.,4,0.4,"['12899612', '1905095', '30058568', '13445579', '11109043', '46182525']","['2665425', '19685306', '12631182', '31154082', '79447', '25175997']"
SciFact,129,Articles published in open access format are less likely to be cited than traditional journals.,3,0.3,"['37578311', '145716849', '13097856', '32390525', '38180456', '41354899', '20008796']","['10577574', '2107238', '5641851', '4857085', '28017005', '97566194', '60515890']"
SciFact,130,Articles published in open access format are more likely to be cited than traditional journals.,3,0.3,"['6477536', '37578311', '32390525', '41354899', '145716849', '40935722', '38180456']","['10577574', '2107238', '97566194', '60515890', '8298120', '4857085', '28017005']"
SciFact,132,Aspirin inhibits the production of PGE2.,6,0.6,"['9159125', '26025370', '6766459', '44387884']","['7613033', '39903312', '15648443', '3866315']"
SciFact,133,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",4,0.4,"['11887584', '14405193', '12640810', '20738970', '9063688', '17934082']","['26688294', '19752008', '5914739', '11200685', '37964706', '35660758']"
SciFact,137,Asymptomatic visual impairment screening in elderly populations does not lead to improved vision.,5,0.5,"['24276304', '17081238', '26668245', '17930286', '1642727']","['18574146', '313394', '1358909', '10536636', '13959707']"
SciFact,141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,7,0.7,"['23331269', '313394', '42330403']","['3099497', '25416944', '26016929']"
SciFact,142,Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,5,0.5,"['43587663', '24101431', '19511011', '15728433', '7224723']","['3935126', '46353045', '23915841', '8563659', '24766509']"
SciFact,143,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,5,0.5,"['10359591', '15728433', '19511011', '24101431', '43587663']","['23915841', '40164383', '46353045', '8563659', '24766509']"
SciFact,146,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,5,0.5,"['5597586', '15728433', '24101431', '9412420', '19510470']","['23915841', '8790729', '23901235', '24766509', '8563659']"
SciFact,148,Autophagy declines in aged organisms.,5,0.5,"['6227220', '4452659', '33569870', '9178310', '9617381']","['52887689', '4407385', '53033275', '3504761', '11903247']"
SciFact,163,Bariatric surgery has a positive impact on mental health.,7,0.7,"['10463997', '79447', '39187170']","['31612088', '6129301', '29845974']"
SciFact,171,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,9,0.9,['13106686'],['7115651']
SciFact,179,Birth-weight is positively associated with breast cancer.,7,0.7,"['23557241', '4828631', '13831842']","['2140497', '38784540', '16098747']"
SciFact,180,Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 leads to increased TDP-43-induced neuronal loss.,4,0.4,"['4889228', '22549449', '935538', '17231273', '14434123', '7039855']","['14893425', '12149169', '22938539', '23403754', '40631095', '665817']"
SciFact,183,Bone marrow cells contribute to adult macrophage compartments.,4,0.4,"['42465769', '17271462', '26501027', '6270720', '20186814', '3118719']","['1122198', '46193388', '44562221', '9412420', '2853291', '24707550']"
SciFact,185,Breast cancer development is determined exclusively by genetic factors.,5,0.5,"['23557241', '13007205', '2015126', '16098747', '20839751']","['3524352', '52188256', '13831842', '22482820', '25973484']"
SciFact,198,CCL19 is absent within dLNs.,5,0.5,"['19511011', '2722988', '38623601', '4345757', '1848452']","['126549848', '24921368', '17368516', '15955172', '7177329']"
SciFact,208,CHEK2 is not associated with breast cancer.,3,0.3,"['17163294', '3355397', '37480103', '17450673', '16098747', '756887', '5372432']","['2140497', '313403', '16734530', '20839751', '16701509', '21439640', '38551172']"
SciFact,212,CR is associated with higher methylation age.,7,0.7,"['4679264', '9291668', '1754001']","['9558539', '7988832', '4414481']"
SciFact,213,CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery.,5,0.5,"['21048969', '25300664', '5558754', '9334631', '72933407']","['13625993', '20130904', '5884524', '7813993', '18872233']"
SciFact,216,CX3CR1 on the Th2 cells impairs T cell survival,1,0.1,"['2474731', '23801039', '30774694', '46926352', '23848916', '6961811', '8063697', '11666252', '25453683']","['10831818', '8639034', '17829012', '21363424', '14311986', '20388894', '22174015', '40365566', '2042250']"
SciFact,217,CX3CR1 on the Th2 cells promotes T cell survival,1,0.1,"['46926352', '24387017', '13636631', '2474731', '23801039', '30774694', '25453683', '40608679', '18429416']","['20388894', '10831818', '8639034', '21363424', '14311986', '40365566', '2042250', '41877386', '36242796']"
SciFact,218,CX3CR1 on the Th2 cells promotes airway inflammation.,5,0.5,"['1800734', '21395936', '20732789', '7433668', '5238341']","['888896', '26068103', '6417632', '7281161', '20388894']"
SciFact,219,CX3CR1 on the Th2 cells suppresses airway inflammation.,5,0.5,"['1800734', '7046487', '5238341', '21395936', '22852120']","['696006', '26068103', '6417632', '7281161', '2042250']"
SciFact,230,Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries.,3,0.3,"['18340282', '71625969', '13519661', '52072815', '14663842', '19487477', '5849439']","['8892905', '38028419', '45638119', '3285322', '1866911', '167469018', '8906858']"
SciFact,232,Cataract and trachoma are the primary cause of blindness in Southern Sudan.,7,0.7,"['1215116', '14500725', '36480032']","['21914176', '13619127', '21932050']"
SciFact,233,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,5,0.5,"['37822406', '46182525', '6913227', '2147704', '5415832']","['36708463', '4423327', '7426741', '39462488', '24142891']"
SciFact,236,Cell autonomous sex determination in somatic cells occurs in Passeriformes.,4,0.4,"['23581096', '41256402', '6913227', '2147704', '13702924', '16963081']","['7426741', '17844478', '15803282', '36708463', '21380232', '4423327']"
SciFact,237,Cells lacking clpC have a defect in sporulation efficiency in Bacillus subtilis.,4,0.4,"['2904102', '12824568', '464511', '18855191', '16472469', '8148304']","['27373088', '17416520', '35085326', '2851611', '5473074', '21943141']"
SciFact,238,Cells undergoing methionine restriction may activate miRNAs.,0,0.0,"['1748921', '5271210', '2251426', '21601459', '12582729', '2000038', '13290521', '27167110', '19358586', '19368793']","['4463811', '23017040', '28704738', '36654066', '10463997', '32556431', '26330861', '7185591', '6820680', '21909315']"
SciFact,239,Cellular aging closely links to an older appearance.,5,0.5,"['15521377', '7468449', '9291668', '22264117', '9559146']","['7042304', '3952288', '40349336', '6896063', '16233471']"
SciFact,248,Chenodeosycholic acid treatment increases whole-body energy expenditure.,5,0.5,"['29691654', '4319174', '24917562', '5268462', '597790']","['23369842', '45154987', '23017040', '21993510', '21547032']"
SciFact,249,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,6,0.6,"['13441037', '4319174', '29691654', '5268462']","['14865329', '45154987', '23017040', '21993510']"
SciFact,261,"Chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO.",6,0.6,"['17097974', '23513718', '26658659', '29148743']","['53779698', '41161366', '13902570', '40817021']"
SciFact,268,Cold exposure increases BAT recruitment.,6,0.6,"['25687558', '496873', '20532591', '14865329']","['1568684', '29381091', '25817686', '4319174']"
SciFact,269,Cold exposure reduces BAT recruitment.,6,0.6,"['496873', '40232172', '14865329', '25878014']","['29381091', '1568684', '4319174', '34582256']"
SciFact,274,Combination nicotine replacement therapies with varenicline or bupropion lead to significantly higher long-term abstinence rates at 52 weeks than varenicline monotherapy.,9,0.9,['7552215'],['21700295']
SciFact,275,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,3,0.3,"['28651643', '24190159', '7317051', '1044552', '38143689', '19752008', '4396105']","['1285713', '11200685', '41650417', '2272614', '21150010', '36310858', '17462437']"
SciFact,279,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,6,0.6,"['25799020', '1225513', '13702924', '16172576']","['46193478', '87986426', '14185503', '7451018']"
SciFact,294,Crossover hot spots are not found within gene promoters in Saccharomyces cerevisiae.,1,0.1,"['8210189', '26083387', '1631583', '8247597', '516867', '25462689', '1754001', '4429668', '36904081']","['10874408', '21170174', '16237005', '9704467', '23604601', '3514072', '42267740', '13949015', '43752562']"
SciFact,295,Crosstalk between dendritic cells (DCs) and innate lymphoid cells (ILCs) is important in the regulation of intestinal homeostasis.,4,0.4,"['26702468', '22791348', '2248870', '13231899', '1196631', '15425958']","['1022115', '12631182', '7370282', '3118719', '883747', '6501747']"
SciFact,298,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,6,0.6,"['7465900', '10852047', '14848619', '8654183']","['10698739', '6259170', '13931771', '3553087']"
SciFact,300,Cytosolic proteins bind to iron-responsive elements on mRNAs coding for DMT1. Cytosolic proteins bind to iron-responsive elements on mRNAs coding for proteins involved in iron uptake.,3,0.3,"['16929739', '2380002', '935538', '7968532', '20018321', '16167746', '8856690']","['15551129', '7970974', '12652963', '13338820', '27889071', '23727313', '4421742']"
SciFact,303,DMRT1 is a sex-determining gene that is epigenetically regulated by the MHM region.,5,0.5,"['140874', '13639330', '10024681', '14797520', '17587795']","['19572798', '4421547', '25830701', '25488034', '34846352']"
SciFact,312,De novo assembly of sequence data has more specific contigs than unassembled sequence data.,8,0.8,"['13123189', '19138874']","['15960670', '15966318']"
SciFact,314,Deamination of cytidine to uridine on the minus strand of viral DNA results in catastrophic G-to-A mutations in the viral genome.,4,0.4,"['34498325', '22623275', '4231060', '42065070', '9291596', '15472716']","['24896957', '2758012', '16172576', '6820680', '14376683', '25263810']"
SciFact,324,Deleting Raptor reduces G-CSF levels.,4,0.4,"['15248287', '5774746', '9878167', '38886345', '44562221', '22174015']","['4658268', '8724666', '1818578', '46565020', '654735', '13509809']"
SciFact,327,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,3,0.3,"['4391121', '18914652', '8477699', '24335068', '25576204', '1791714', '23912923']","['22544171', '12130690', '22312627', '2462673', '34753204', '1617327', '7717468']"
SciFact,338,Dexamethasone decreases risk of postoperative bleeding.,6,0.6,"['25293721', '24088502', '42465769', '21645205']","['14973286', '20130904', '14252892', '32001951']"
SciFact,343,Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,6,0.6,"['6158879', '44672703', '471921', '30981192']","['19945096', '308862', '27054878', '3462075']"
