dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label
SciFact,scifact,1,0-dimensional biomaterials show inductive properties.,10608397,-0.2598195,-0.1333813,-0.1505145,1,11,-10,10.173663486906072,-7.9169464111328125,0,Caiu,"High-performance neuroprosthetic control by an individual with tetraplegia.. BACKGROUND Paralysis or amputation of an arm results in the loss of the ability to orient the hand and grasp, manipulate, and carry objects, functions that are ess...",10,
SciFact,scifact,1,0-dimensional biomaterials show inductive properties.,43385013,0.19739461,0.46030667,0.024082588,2,15,-13,9.863533386166488,-8.05117416381836,0,Caiu,Epithelial and mesenchymal subpopulations within normal basal breast cell lines exhibit distinct stem cell/progenitor properties.. It has been proposed that epithelial-mesenchymal transition (EMT) in mammary epithelial cells and breast canc...,13,
SciFact,scifact,1,0-dimensional biomaterials show inductive properties.,40212412,-0.18487868,-0.07509866,-0.13721137,3,9,-6,9.556998622831742,-7.496697902679443,0,Top reranker,"Periosteal bone formation--a neglected determinant of bone strength.. Life forms that have low body mass can hunt for food on the undersurface of branches or along shear cliff faces quite unperturbed by gravity. For larger animals, the hunt...",6,
SciFact,scifact,1,0-dimensional biomaterials show inductive properties.,10931595,0.26553383,0.01204867,0.10644309,4,2,2,9.112927676965947,-6.682995796203613,0,Top 5 BM25 e BGE,"Geometry, epistasis, and developmental patterning.. Developmental signaling networks are composed of dozens of components whose interactions are very difficult to quantify in an embryo. Geometric reasoning enumerates a discrete hierarchy of...",2,10931595
SciFact,scifact,1,0-dimensional biomaterials show inductive properties.,27049238,-0.23642123,-0.08606319,-0.18350433,5,49,-44,8.914352928774871,-9.939542770385742,0,Caiu,Large deformation of red blood cell ghosts in a simple shear flow.. Red blood cells are known to change shape in response to local flow conditions. Deformability affects red blood cell physiological function and the hydrodynamic properties ...,44,27049238
SciFact,scifact,1,0-dimensional biomaterials show inductive properties.,803312,0.17153257,-0.023661805,-0.1736314,6,12,-6,8.233762629861436,-7.9184889793396,0,Caiu,"Cerebral organoids model human brain development and microcephaly. The complexity of the human brain has made it difficult to study many brain disorders in model organisms, highlighting the need for an in vitro model of human brain developm...",6,
SciFact,scifact,1,0-dimensional biomaterials show inductive properties.,10906636,0.13540417,0.06496404,0.1305546,7,54,-47,8.054265293307328,-10.13399600982666,0,Caiu,The carboxyl terminus of human cytomegalovirus-encoded 7 transmembrane receptor US28 camouflages agonism by mediating constitutive endocytosis.. US28 is one of four 7 transmembrane (7TM) chemokine receptors encoded by human cytomegalovirus ...,47,10906636
SciFact,scifact,1,0-dimensional biomaterials show inductive properties.,13231899,0.22506894,0.36937964,-0.12152499,8,4,4,7.5915430062282665,-7.021556377410889,0,Top reranker,"In situ regulation of DC subsets and T cells mediates tumor regression in mice.. Vaccines are largely ineffective for patients with established cancer, as advanced disease requires potent and sustained activation of CD8(+) cytotoxic T lymph...",4,13231899
SciFact,scifact,1,0-dimensional biomaterials show inductive properties.,393001,-0.17778149,-0.1673594,0.17113662,9,36,-27,7.556166752063967,-9.393187522888184,0,Caiu,"High Km soluble 5'-nucleotidase from human placenta. Properties and allosteric regulation by IMP and ATP.. A human placental soluble ""high Km"" 5'-nucleotidase has been separated from ""low Km"" 5'-nucleotidase and nonspecific phosphatase by A...",27,
SciFact,scifact,1,0-dimensional biomaterials show inductive properties.,3770726,0.012492697,-0.056429707,-0.12492095,10,18,-8,7.553791104281572,-8.474557876586914,0,Caiu,Microfluidic platform to evaluate migration of cells from patients with DYT1 dystonia.. BACKGROUND Microfluidic platforms for quantitative evaluation of cell biologic processes allow low cost and time efficient research studies of biologica...,8,
