dataset,query_id,bm25_ndcg,bm25_mrr,bm25_recall,bm25_map,reranker_ndcg,reranker_mrr,reranker_recall,reranker_map,delta_nDCG@10,delta_MRR@10,delta_Recall@10,delta_MAP@10,dataset_slug,query,interpretacao
SciFact,1382,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,scifact,aPKCz causes tumour enhancement by affecting glutamine metabolism.,reranker melhorou o ranking da query no topo
SciFact,1140,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,scifact,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,reranker melhorou o ranking da query no topo
SciFact,575,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,scifact,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",reranker melhorou o ranking da query no topo
SciFact,72,0.3010299956639812,0.1111111111111111,1.0,0.1111111111111111,1.0,1.0,1.0,1.0,0.6989700043360187,0.8888888888888888,0.0,0.8888888888888888,scifact,Activator-inhibitor pairs are provided dorsally by Admpchordin.,reranker melhorou o ranking da query no topo
SciFact,1245,0.31546487678572877,0.125,1.0,0.125,1.0,1.0,1.0,1.0,0.6845351232142712,0.875,0.0,0.875,scifact,The one-child policy has been successful in lowering population growth.,reranker melhorou o ranking da query no topo
SciFact,1194,0.31546487678572877,0.125,1.0,0.125,1.0,1.0,1.0,1.0,0.6845351232142712,0.875,0.0,0.875,scifact,The arm density of TatAd complexes is due to structural rearrangements within Class1 TatAd complexes such as the 'charge zipper mechanism'.,reranker melhorou o ranking da query no topo
SciFact,660,0.38685280723454163,0.2,1.0,0.2,1.0,1.0,1.0,1.0,0.6131471927654584,0.8,0.0,0.8,scifact,Ivermectin is used to treat onchocerciasis.,reranker melhorou o ranking da query no topo
SciFact,1207,0.43067655807339306,0.25,1.0,0.25,1.0,1.0,1.0,1.0,0.5693234419266069,0.75,0.0,0.75,scifact,The composition of myosin-II isoform switches from the polarizable B isoform to the more homogenous A isoform during hematopoietic differentiation.,reranker melhorou o ranking da query no topo
SciFact,784,0.43067655807339306,0.25,1.0,0.25,1.0,1.0,1.0,1.0,0.5693234419266069,0.75,0.0,0.75,scifact,MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,reranker melhorou o ranking da query no topo
SciFact,1379,0.33424620450682646,0.3333333333333333,0.5,0.16666666666666666,0.8665427526082052,1.0,1.0,0.7041666666666666,0.5322965481013788,0.6666666666666667,0.5,0.5375,scifact,Women with a higher birth weight are more likely to develop breast cancer later in life.,reranker melhorou o ranking da query no topo
SciFact,1266,0.5,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.6666666666666667,0.0,0.6666666666666667,scifact,"The risk of breast cancer among parous women increases with placental weight of pregnancies, and this association is strongest for premenopausal breast cancer.",reranker melhorou o ranking da query no topo
SciFact,834,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,scifact,NOX2-independent pathways can generate peroxynitrite by reacting with nitrogen intermediates.,reranker melhorou o ranking da query no topo
SciFact,690,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,scifact,Less than 10% of the gabonese children with Schimmelpenning-Feuerstein-Mims syndrome (SFM) had a plasma lactate of more than 5mmol/L.,reranker melhorou o ranking da query no topo
