dataset,query_id,query,candidate_recall@100,num_relevant_qrels,num_bm25_relevant_top10,num_bge_relevant_top10,bm25_relevant_top10,bge_relevant_top10,delta_nDCG@10,failure_type
SciFact,1,0-dimensional biomaterials show inductive properties.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,3,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",1.0,1,1,1,['14717500'],['14717500'],0.0,sem_mudanca_relevante
SciFact,5,1/2000 in UK have abnormal PrP positivity.,1.0,1,1,1,['13734012'],['13734012'],0.0,sem_mudanca_relevante
SciFact,13,5% of perinatal mortality is due to low birth weight.,1.0,1,0,0,[],[],0.0,relevantes_existiam_nos_candidatos_mas_ficaram_fora_top10
SciFact,36,A deficiency of vitamin B12 increases blood levels of homocysteine.,1.0,2,1,1,['11705328'],['11705328'],0.01879027595113203,sucesso_do_reranker
SciFact,42,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,1.0,1,1,1,['18174210'],['18174210'],0.0,sem_mudanca_relevante
SciFact,48,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",1.0,1,1,1,['13734012'],['13734012'],0.0,sem_mudanca_relevante
SciFact,49,ADAR1 binds to Dicer to cleave pre-miRNA.,1.0,1,1,1,['5953485'],['5953485'],0.0,sem_mudanca_relevante
SciFact,50,AIRE is expressed in some skin tumors.,1.0,1,1,1,['12580014'],['12580014'],0.0,sem_mudanca_relevante
SciFact,51,ALDH1 expression is associated with better breast cancer outcomes.,1.0,1,1,1,['45638119'],['45638119'],0.0,sem_mudanca_relevante
SciFact,53,ALDH1 expression is associated with poorer prognosis in breast cancer.,1.0,1,1,1,['45638119'],['45638119'],0.0,sem_mudanca_relevante
SciFact,54,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,1.0,1,1,1,['49556906'],['49556906'],0.14379281289197782,sucesso_do_reranker
SciFact,56,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,1.0,1,1,1,['4709641'],['4709641'],0.0,sem_mudanca_relevante
SciFact,57,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation, delaying GABA neuron degeneration.",1.0,1,1,1,['4709641'],['4709641'],0.0,sem_mudanca_relevante
SciFact,70,Activation of PPM1D suppresses p53 function.,1.0,2,2,2,"['5956380', '4414547']","['4414547', '5956380']",-0.5315494798389231,falha_ou_piora_do_reranker
SciFact,72,Activator-inhibitor pairs are provided dorsally by Admpchordin.,1.0,1,1,1,['6076903'],['6076903'],0.6989700043360187,sucesso_do_reranker
SciFact,75,"Active H. pylori urease has a polymeric structure that compromises two subunits, UreA and UreB.",1.0,1,1,1,['4387784'],['4387784'],0.36907024642854247,sucesso_do_reranker
SciFact,94,Albendazole is used to treat lymphatic filariasis.,1.0,1,1,1,['1215116'],['1215116'],0.0,sem_mudanca_relevante
SciFact,99,Alizarin forms hydrogen bonds with residues involved in PGAM1 substrate binding.,1.0,1,1,1,['18810195'],['18810195'],0.0,sem_mudanca_relevante
SciFact,100,All hematopoietic stem cells segregate their chromosomes randomly.,1.0,1,1,1,['4381486'],['4381486'],0.0,sem_mudanca_relevante
SciFact,113,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,1.0,1,1,1,['6157837'],['6157837'],0.0,sem_mudanca_relevante
SciFact,115,Anthrax spores can be disposed of easily after they are dispersed.,1.0,1,1,1,['33872649'],['33872649'],0.0,sem_mudanca_relevante
SciFact,118,Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,1.0,1,1,1,['6372244'],['6372244'],0.0,sem_mudanca_relevante
SciFact,124,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,1.0,1,1,1,['4883040'],['4883040'],0.0,sem_mudanca_relevante
SciFact,127,Arginine 90 in p150n is important for interaction with EB1.,1.0,1,1,1,['21598000'],['21598000'],0.5,sucesso_do_reranker
SciFact,128,Arterioles have a larger lumen diameter than venules.,1.0,1,1,1,['8290953'],['8290953'],0.13092975357145753,sucesso_do_reranker
SciFact,129,Articles published in open access format are less likely to be cited than traditional journals.,1.0,1,1,1,['27768226'],['27768226'],0.0,sem_mudanca_relevante
SciFact,130,Articles published in open access format are more likely to be cited than traditional journals.,1.0,1,1,1,['27768226'],['27768226'],0.0,sem_mudanca_relevante
SciFact,132,Aspirin inhibits the production of PGE2.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,133,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",0.8,5,1,3,['16280642'],"['16280642', '12640810', '17934082']",0.22595595991959372,sucesso_do_reranker
SciFact,137,Asymptomatic visual impairment screening in elderly populations does not lead to improved vision.,1.0,1,1,1,['26016929'],['26016929'],0.0,sem_mudanca_relevante
SciFact,141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,1.0,2,2,2,"['14437255', '6955746']","['14437255', '6955746']",-0.1227846846619507,falha_ou_piora_do_reranker
SciFact,142,Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,1.0,1,1,1,['10582939'],['10582939'],0.0,sem_mudanca_relevante
SciFact,143,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,1.0,1,1,1,['10582939'],['10582939'],0.0,sem_mudanca_relevante
SciFact,146,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,1.0,1,1,1,['10582939'],['10582939'],0.0,sem_mudanca_relevante
SciFact,148,Autophagy declines in aged organisms.,1.0,1,1,1,['1084345'],['1084345'],0.0,sem_mudanca_relevante
SciFact,163,Bariatric surgery has a positive impact on mental health.,1.0,1,1,1,['18872233'],['18872233'],-0.36907024642854247,falha_ou_piora_do_reranker
SciFact,171,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,1.0,1,1,1,['12670680'],['12670680'],0.0,sem_mudanca_relevante
SciFact,179,Birth-weight is positively associated with breast cancer.,0.75,4,2,3,"['16322674', '17450673']","['16322674', '17450673', '23557241']",0.16812753627111754,sucesso_do_reranker
SciFact,180,Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 leads to increased TDP-43-induced neuronal loss.,1.0,1,1,1,['16966326'],['16966326'],0.0,sem_mudanca_relevante
SciFact,183,Bone marrow cells contribute to adult macrophage compartments.,1.0,1,1,1,['12827098'],['12827098'],0.11521168128766429,sucesso_do_reranker
SciFact,185,Breast cancer development is determined exclusively by genetic factors.,1.0,1,1,1,['18340282'],['18340282'],-0.13092975357145753,falha_ou_piora_do_reranker
SciFact,198,CCL19 is absent within dLNs.,1.0,1,1,1,['2177022'],['2177022'],-0.11314719276545837,falha_ou_piora_do_reranker
SciFact,208,CHEK2 is not associated with breast cancer.,1.0,1,1,1,['13519661'],['13519661'],0.0,sem_mudanca_relevante
SciFact,212,CR is associated with higher methylation age.,1.0,1,1,1,['22038539'],['22038539'],-0.36907024642854247,falha_ou_piora_do_reranker
SciFact,213,CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery.,1.0,1,1,0,['13625993'],[],-0.3562071871080222,falha_ou_piora_do_reranker
SciFact,216,CX3CR1 on the Th2 cells impairs T cell survival,1.0,1,1,1,['21366394'],['21366394'],0.0,sem_mudanca_relevante
SciFact,217,CX3CR1 on the Th2 cells promotes T cell survival,1.0,1,1,1,['21366394'],['21366394'],0.0,sem_mudanca_relevante
SciFact,218,CX3CR1 on the Th2 cells promotes airway inflammation.,1.0,1,1,1,['21366394'],['21366394'],0.0,sem_mudanca_relevante
SciFact,219,CX3CR1 on the Th2 cells suppresses airway inflammation.,1.0,1,1,1,['21366394'],['21366394'],0.0,sem_mudanca_relevante
SciFact,230,Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries.,1.0,1,1,1,['3067015'],['3067015'],0.0,sem_mudanca_relevante
SciFact,232,Cataract and trachoma are the primary cause of blindness in Southern Sudan.,1.0,1,1,1,['10536636'],['10536636'],0.0,sem_mudanca_relevante
SciFact,233,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,1.0,1,1,1,['4388470'],['4388470'],0.0,sem_mudanca_relevante
SciFact,236,Cell autonomous sex determination in somatic cells occurs in Passeriformes.,1.0,1,1,1,['4388470'],['4388470'],0.0,sem_mudanca_relevante
SciFact,237,Cells lacking clpC have a defect in sporulation efficiency in Bacillus subtilis.,1.0,1,1,1,['4942718'],['4942718'],0.0,sem_mudanca_relevante
SciFact,238,Cells undergoing methionine restriction may activate miRNAs.,1.0,1,0,1,[],['2251426'],0.5,sucesso_do_reranker
SciFact,239,Cellular aging closely links to an older appearance.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,248,Chenodeosycholic acid treatment increases whole-body energy expenditure.,1.0,1,1,1,['1568684'],['1568684'],0.0,sem_mudanca_relevante
SciFact,249,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,1.0,1,1,1,['1568684'],['1568684'],0.36907024642854247,sucesso_do_reranker
SciFact,261,"Chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO.",0.5,2,1,1,['1122279'],['1122279'],-0.07064171895532007,falha_ou_piora_do_reranker
SciFact,268,Cold exposure increases BAT recruitment.,1.0,1,1,1,['970012'],['970012'],0.36907024642854247,sucesso_do_reranker
SciFact,269,Cold exposure reduces BAT recruitment.,1.0,1,1,1,['970012'],['970012'],0.36907024642854247,sucesso_do_reranker
SciFact,274,Combination nicotine replacement therapies with varenicline or bupropion lead to significantly higher long-term abstinence rates at 52 weeks than varenicline monotherapy.,1.0,1,1,1,['11614737'],['11614737'],0.0,sem_mudanca_relevante
SciFact,275,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,0.6666666666666666,3,1,1,['4961038'],['4961038'],0.0,sem_mudanca_relevante
SciFact,279,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,1.0,1,1,1,['14376683'],['14376683'],0.0,sem_mudanca_relevante
SciFact,294,Crossover hot spots are not found within gene promoters in Saccharomyces cerevisiae.,1.0,1,1,0,['10874408'],[],-1.0,falha_ou_piora_do_reranker
SciFact,295,Crosstalk between dendritic cells (DCs) and innate lymphoid cells (ILCs) is important in the regulation of intestinal homeostasis.,1.0,1,1,1,['20310709'],['20310709'],0.0,sem_mudanca_relevante
SciFact,298,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,1.0,1,1,1,['39381118'],['39381118'],0.0,sem_mudanca_relevante
SciFact,300,Cytosolic proteins bind to iron-responsive elements on mRNAs coding for DMT1. Cytosolic proteins bind to iron-responsive elements on mRNAs coding for proteins involved in iron uptake.,1.0,1,1,1,['3553087'],['3553087'],0.06932344192660694,sucesso_do_reranker
SciFact,303,DMRT1 is a sex-determining gene that is epigenetically regulated by the MHM region.,1.0,1,1,1,['4388470'],['4388470'],-0.2975964202381242,falha_ou_piora_do_reranker
SciFact,312,De novo assembly of sequence data has more specific contigs than unassembled sequence data.,1.0,1,1,1,['6173523'],['6173523'],0.0,sem_mudanca_relevante
SciFact,314,Deamination of cytidine to uridine on the minus strand of viral DNA results in catastrophic G-to-A mutations in the viral genome.,1.0,1,1,1,['4347374'],['4347374'],0.0,sem_mudanca_relevante
SciFact,324,Deleting Raptor reduces G-CSF levels.,1.0,1,1,1,['2014909'],['2014909'],-0.14161173175550518,falha_ou_piora_do_reranker
SciFact,327,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,1.0,1,1,1,['17997584'],['17997584'],0.0,sem_mudanca_relevante
SciFact,338,Dexamethasone decreases risk of postoperative bleeding.,1.0,1,1,1,['23349986'],['23349986'],0.0,sem_mudanca_relevante
SciFact,343,Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,1.0,2,2,2,"['5884524', '7873737']","['5884524', '7873737']",-0.12593989660623928,falha_ou_piora_do_reranker
SciFact,350,Discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3.,1.0,1,1,1,['16927286'],['16927286'],0.0,sem_mudanca_relevante
SciFact,354,Downregulation and mislocalization of Scribble prevents cell transformation and mammary tumorigenesis.,1.0,1,1,1,['8774475'],['8774475'],0.0,sem_mudanca_relevante
SciFact,362,During the primary early antibody response activated B cells migrate toward the inner-and outer paracortical areas where oxysterol accumulation is generated by stromal cells.,1.0,1,1,1,['38587347'],['38587347'],0.0,sem_mudanca_relevante
SciFact,380,Enhanced early production of inflammatory chemokines improves viral control in the lung.,1.0,1,1,1,['19005293'],['19005293'],0.0,sem_mudanca_relevante
SciFact,384,Epidemiological disease burden from noncommunicable diseases is more prevalent in low economic settings.,1.0,1,0,0,[],[],0.0,relevantes_existiam_nos_candidatos_mas_ficaram_fora_top10
