dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label,direction
NF-Corpus,nfcorpus,PLAIN-1537,low-carb diets,MED-4305,-0.14669101,-0.50039655,-0.024615156,56,13,43,5.422052339543163,-0.5957978963851929,0,Subiu,"Macronutrient intake, plasma large neutral amino acids and mood during weight-reducing diets.. Influence of diet composition on mood during weight-reducing diets was studied in healthy young women of normal weight. A broad range of macronut...",43,MED-4305,Subiu
NF-Corpus,nfcorpus,PLAIN-1537,low-carb diets,MED-823,-0.19014986,-0.06920416,0.002949181,48,8,40,5.7044113933630225,0.673292875289917,0,Top reranker,"Dietary composition in the treatment of polycystic ovary syndrome: a systematic review to inform evidence-based guidelines.. While lifestyle management is recommended as first-line treatment of polycystic ovary syndrome (PCOS), the optimal ...",40,MED-823,Subiu
NF-Corpus,nfcorpus,PLAIN-1537,low-carb diets,MED-1478,-0.1395589,-0.09317381,-0.17902283,57,19,38,5.347243043058054,-1.1988798379898071,1,Relevante no qrels,"Paleolithic nutrition: twenty-five years later.. A quarter century has passed since the first publication of the evolutionary discordance hypothesis, according to which departures from the nutrition and activity patterns of our hunter-gathe...",38,MED-1478,Subiu
NF-Corpus,nfcorpus,PLAIN-1537,low-carb diets,MED-1323,-0.07530475,-0.013410978,0.30051693,39,4,35,5.901508231021122,5.429687976837158,0,Top reranker,Low-carbohydrate diet scores and risk of type 2 diabetes in men. Background: Fat and protein sources may influence whether low-carbohydrate diets are associated with type 2 diabetes (T2D). Objective: The objective was to compare the associa...,35,MED-1323,Subiu
NF-Corpus,nfcorpus,PLAIN-1537,low-carb diets,MED-2511,0.052237555,-0.12149265,-0.105519846,40,9,31,5.890549848519294,0.0942191481590271,0,Top reranker,"The Okinawan diet: health implications of a low-calorie, nutrient-dense, antioxidant-rich dietary pattern low in glycemic load.. Residents of Okinawa, the southernmost prefecture of Japan, are known for their long average life expectancy, h...",31,,Subiu
NF-Corpus,nfcorpus,PLAIN-1537,low-carb diets,MED-1874,0.36240378,0.120577,-0.29111412,50,21,29,5.604499294672549,-1.4725347757339478,0,Subiu,"The Garden of Eden--plant based diets, the genetic drive to conserve cholesterol and its implications for heart disease in the 21st century.. It is likely that plant food consumption throughout much of human evolution shaped the dietary req...",29,,Subiu
NF-Corpus,nfcorpus,PLAIN-1537,low-carb diets,MED-2432,0.36240378,0.12057699,-0.29111412,51,22,29,5.604499294672549,-1.4725347757339478,1,Relevante no qrels,"The Garden of Eden--plant based diets, the genetic drive to conserve cholesterol and its implications for heart disease in the 21st century.. It is likely that plant food consumption throughout much of human evolution shaped the dietary req...",29,MED-2432,Subiu
NF-Corpus,nfcorpus,PLAIN-1537,low-carb diets,MED-1997,0.014097713,0.013995995,0.22080886,49,23,26,5.680106295154525,-1.5572704076766968,0,Subiu,Vegetarian diets and childhood obesity prevention.. The increased prevalence of childhood overweight and obesity is not unique to industrialized societies; dramatic increases are occurring in urbanized areas of developing countries. In ligh...,26,,Subiu
NF-Corpus,nfcorpus,PLAIN-1537,low-carb diets,MED-4299,0.012214673,0.0077426634,-0.14527379,60,39,21,5.314987558485747,-2.5455496311187744,0,Subiu,"Evolution of the human diet: linking our ancestral diet to modern functional foods as a means of chronic disease prevention.. The evolution of the human diet over the past 10,000 years from a Paleolithic diet to our current modern pattern o...",21,,Subiu
NF-Corpus,nfcorpus,PLAIN-1537,low-carb diets,MED-4515,0.3363989,0.052916612,0.09982935,18,2,16,6.7160290956215505,5.571365833282471,1,Relevante no qrels,"The effect of a plant-based low-carbohydrate (""Eco-Atkins"") diet on body weight and blood lipid concentrations in hyperlipidemic subjects.. BACKGROUND: Low-carbohydrate, high-animal protein diets, which are advocated for weight loss, may no...",16,MED-4515,Subiu
NF-Corpus,nfcorpus,PLAIN-1537,low-carb diets,MED-1714,-0.22262862,0.07334523,0.097732596,32,16,16,6.206558827149031,-0.9221892356872559,0,Subiu,"Long-term low-protein, low-calorie diet and endurance exercise modulate metabolic factors associated with cancer risk.. BACKGROUND: Western diets, obesity, and sedentary lifestyles are associated with increased cancer risk. The mechanisms r...",16,,Subiu
NF-Corpus,nfcorpus,PLAIN-1537,low-carb diets,MED-4514,-0.07201764,0.040786333,0.29242903,19,3,16,6.6873918679091515,5.452325344085693,1,Relevante no qrels,Low-carbohydrate diets and all-cause and cause-specific mortality: Two cohort Studies. Background Data on the long-term association between low-carbohydrate diets and mortality are sparse. Objective To examine the association of low-carbohy...,16,MED-4514,Subiu
NF-Corpus,nfcorpus,PLAIN-1537,low-carb diets,MED-2294,-0.089480914,-0.158438,0.24021338,38,24,14,5.9536465385911015,-1.6007283926010132,0,Subiu,"Comparison of Nutritional Quality of the Vegan, Vegetarian, Semi-Vegetarian, Pesco-Vegetarian and Omnivorous Diet. The number of studies comparing nutritional quality of restrictive diets is limited. Data on vegan subjects are especially la...",14,,Subiu
NF-Corpus,nfcorpus,PLAIN-1537,low-carb diets,MED-4517,-0.63154227,0.28239664,-0.021711934,58,44,14,5.328565333983846,-2.9903812408447266,0,Subiu,"Fecal weight, colon cancer risk, and dietary intake of nonstarch polysaccharides (dietary fiber). Low fecal weight and slow bowel transit time are thought to be associated with bowel cancer risk, but few published data defining bowel habits...",14,,Subiu
