dataset,dataset_slug,query_id,num_relevant_docs,num_judged_docs
SciFact,scifact,1,1,1
SciFact,scifact,3,1,1
SciFact,scifact,5,1,1
SciFact,scifact,13,1,1
SciFact,scifact,36,2,2
SciFact,scifact,42,1,1
SciFact,scifact,48,1,1
SciFact,scifact,49,1,1
SciFact,scifact,50,1,1
SciFact,scifact,51,1,1
SciFact,scifact,53,1,1
SciFact,scifact,54,1,1
SciFact,scifact,56,1,1
SciFact,scifact,57,1,1
SciFact,scifact,70,2,2
SciFact,scifact,72,1,1
SciFact,scifact,75,1,1
SciFact,scifact,94,1,1
SciFact,scifact,99,1,1
SciFact,scifact,100,1,1
SciFact,scifact,113,1,1
SciFact,scifact,115,1,1
SciFact,scifact,118,1,1
SciFact,scifact,124,1,1
SciFact,scifact,127,1,1
SciFact,scifact,128,1,1
SciFact,scifact,129,1,1
SciFact,scifact,130,1,1
SciFact,scifact,132,1,1
SciFact,scifact,133,5,5
SciFact,scifact,137,1,1
SciFact,scifact,141,2,2
SciFact,scifact,142,1,1
SciFact,scifact,143,1,1
SciFact,scifact,146,1,1
SciFact,scifact,148,1,1
SciFact,scifact,163,1,1
SciFact,scifact,171,1,1
SciFact,scifact,179,4,4
SciFact,scifact,180,1,1
SciFact,scifact,183,1,1
SciFact,scifact,185,1,1
SciFact,scifact,198,1,1
SciFact,scifact,208,1,1
SciFact,scifact,212,1,1
SciFact,scifact,213,1,1
SciFact,scifact,216,1,1
SciFact,scifact,217,1,1
SciFact,scifact,218,1,1
SciFact,scifact,219,1,1
SciFact,scifact,230,1,1
SciFact,scifact,232,1,1
SciFact,scifact,233,1,1
SciFact,scifact,236,1,1
SciFact,scifact,237,1,1
SciFact,scifact,238,1,1
SciFact,scifact,239,1,1
SciFact,scifact,248,1,1
SciFact,scifact,249,1,1
SciFact,scifact,261,2,2
SciFact,scifact,268,1,1
SciFact,scifact,269,1,1
SciFact,scifact,274,1,1
SciFact,scifact,275,3,3
SciFact,scifact,279,1,1
SciFact,scifact,294,1,1
SciFact,scifact,295,1,1
SciFact,scifact,298,1,1
SciFact,scifact,300,1,1
SciFact,scifact,303,1,1
SciFact,scifact,312,1,1
SciFact,scifact,314,1,1
SciFact,scifact,324,1,1
SciFact,scifact,327,1,1
SciFact,scifact,338,1,1
SciFact,scifact,343,2,2
SciFact,scifact,350,1,1
SciFact,scifact,354,1,1
SciFact,scifact,362,1,1
SciFact,scifact,380,1,1
SciFact,scifact,384,1,1
SciFact,scifact,385,2,2
SciFact,scifact,386,1,1
SciFact,scifact,388,1,1
SciFact,scifact,399,1,1
SciFact,scifact,410,1,1
SciFact,scifact,411,1,1
SciFact,scifact,415,1,1
SciFact,scifact,421,1,1
SciFact,scifact,431,1,1
SciFact,scifact,436,1,1
SciFact,scifact,437,1,1
SciFact,scifact,439,1,1
SciFact,scifact,440,1,1
SciFact,scifact,443,1,1
SciFact,scifact,452,2,2
SciFact,scifact,475,1,1
SciFact,scifact,478,1,1
SciFact,scifact,491,1,1
SciFact,scifact,501,1,1
SciFact,scifact,502,1,1
SciFact,scifact,507,1,1
SciFact,scifact,508,1,1
SciFact,scifact,513,1,1
SciFact,scifact,514,1,1
SciFact,scifact,516,1,1
SciFact,scifact,517,1,1
SciFact,scifact,521,1,1
SciFact,scifact,525,1,1
SciFact,scifact,527,1,1
SciFact,scifact,528,1,1
SciFact,scifact,532,1,1
SciFact,scifact,533,1,1
SciFact,scifact,535,1,1
SciFact,scifact,536,1,1
SciFact,scifact,539,1,1
SciFact,scifact,540,2,2
SciFact,scifact,544,1,1
SciFact,scifact,549,1,1
SciFact,scifact,551,1,1
SciFact,scifact,552,1,1
SciFact,scifact,554,1,1
SciFact,scifact,560,1,1
SciFact,scifact,569,1,1
SciFact,scifact,575,1,1
SciFact,scifact,577,1,1
SciFact,scifact,578,1,1
SciFact,scifact,587,1,1
SciFact,scifact,589,1,1
SciFact,scifact,593,1,1
SciFact,scifact,597,3,3
SciFact,scifact,598,1,1
SciFact,scifact,613,1,1
SciFact,scifact,619,2,2
SciFact,scifact,623,1,1
SciFact,scifact,628,1,1
SciFact,scifact,636,1,1
SciFact,scifact,637,1,1
SciFact,scifact,641,2,2
SciFact,scifact,644,1,1
SciFact,scifact,649,1,1
SciFact,scifact,659,1,1
SciFact,scifact,660,1,1
SciFact,scifact,674,1,1
SciFact,scifact,684,1,1
SciFact,scifact,690,1,1
SciFact,scifact,691,1,1
SciFact,scifact,692,1,1
SciFact,scifact,693,1,1
SciFact,scifact,700,1,1
SciFact,scifact,702,1,1
SciFact,scifact,715,1,1
SciFact,scifact,716,1,1
SciFact,scifact,718,1,1
SciFact,scifact,721,1,1
SciFact,scifact,723,1,1
SciFact,scifact,727,1,1
SciFact,scifact,728,2,2
SciFact,scifact,729,1,1
SciFact,scifact,742,1,1
SciFact,scifact,743,1,1
SciFact,scifact,744,1,1
SciFact,scifact,756,1,1
SciFact,scifact,759,1,1
SciFact,scifact,768,1,1
SciFact,scifact,770,1,1
SciFact,scifact,775,1,1
SciFact,scifact,781,1,1
SciFact,scifact,783,1,1
SciFact,scifact,784,1,1
SciFact,scifact,785,1,1
SciFact,scifact,793,1,1
SciFact,scifact,800,1,1
SciFact,scifact,805,1,1
SciFact,scifact,808,1,1
SciFact,scifact,811,1,1
SciFact,scifact,814,1,1
SciFact,scifact,820,1,1
SciFact,scifact,821,1,1
SciFact,scifact,823,1,1
SciFact,scifact,830,1,1
SciFact,scifact,831,1,1
SciFact,scifact,832,1,1
SciFact,scifact,834,1,1
SciFact,scifact,837,1,1
SciFact,scifact,839,1,1
SciFact,scifact,845,1,1
SciFact,scifact,847,1,1
SciFact,scifact,852,1,1
SciFact,scifact,859,1,1
SciFact,scifact,870,1,1
SciFact,scifact,873,5,5
SciFact,scifact,879,1,1
SciFact,scifact,880,1,1
SciFact,scifact,882,1,1
SciFact,scifact,887,1,1
SciFact,scifact,903,1,1
SciFact,scifact,904,1,1
SciFact,scifact,907,1,1
SciFact,scifact,911,1,1
SciFact,scifact,913,1,1
SciFact,scifact,914,1,1
SciFact,scifact,921,1,1
SciFact,scifact,922,1,1
SciFact,scifact,936,1,1
SciFact,scifact,956,1,1
SciFact,scifact,957,1,1
SciFact,scifact,960,1,1
SciFact,scifact,967,2,2
SciFact,scifact,971,4,4
SciFact,scifact,975,1,1
SciFact,scifact,982,1,1
SciFact,scifact,985,1,1
SciFact,scifact,993,1,1
SciFact,scifact,1012,1,1
SciFact,scifact,1014,1,1
SciFact,scifact,1019,1,1
SciFact,scifact,1020,1,1
SciFact,scifact,1021,1,1
SciFact,scifact,1024,1,1
SciFact,scifact,1029,3,3
SciFact,scifact,1041,2,2
SciFact,scifact,1049,1,1
SciFact,scifact,1062,1,1
SciFact,scifact,1086,1,1
SciFact,scifact,1088,1,1
SciFact,scifact,1089,1,1
SciFact,scifact,1099,1,1
SciFact,scifact,1100,1,1
SciFact,scifact,1104,1,1
SciFact,scifact,1107,1,1
SciFact,scifact,1110,1,1
SciFact,scifact,1121,1,1
SciFact,scifact,1130,1,1
SciFact,scifact,1132,2,2
SciFact,scifact,1137,1,1
SciFact,scifact,1140,1,1
SciFact,scifact,1144,1,1
SciFact,scifact,1146,1,1
SciFact,scifact,1150,1,1
SciFact,scifact,1163,1,1
SciFact,scifact,1175,1,1
SciFact,scifact,1179,1,1
SciFact,scifact,1180,1,1
SciFact,scifact,1185,1,1
SciFact,scifact,1187,1,1
SciFact,scifact,1191,1,1
SciFact,scifact,1194,1,1
SciFact,scifact,1196,1,1
SciFact,scifact,1197,1,1
SciFact,scifact,1199,1,1
SciFact,scifact,1200,1,1
SciFact,scifact,1202,1,1
SciFact,scifact,1204,1,1
SciFact,scifact,1207,1,1
SciFact,scifact,1213,1,1
SciFact,scifact,1216,1,1
SciFact,scifact,1221,1,1
SciFact,scifact,1225,1,1
SciFact,scifact,1226,1,1
SciFact,scifact,1232,1,1
SciFact,scifact,1241,1,1
SciFact,scifact,1245,1,1
SciFact,scifact,1259,1,1
SciFact,scifact,1262,1,1
SciFact,scifact,1266,1,1
SciFact,scifact,1270,1,1
