dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,29aqx87q,-0.49585548,-0.38075972,0.22534311,1,54,-53,29.844249968459266,-7.120560169219971,0,Caiu,Evaluation and mechanism for outcomes exploration of providing public health care in contract service in Rural China: a multiple-case study with complex adaptive systems design. BACKGROUND: The Chinese government has increased the funding f...,53,29aqx87q
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,2qnto8gw,0.05725041,0.01275864,-0.10316188,2,8,-6,29.28169175522782,5.678097248077393,0,Top reranker,"Opioid Use Disorder and COVID-19: Biological Plausibility for Worsened Outcomes.. BACKGROUND Alarms have been raised that COVID-19 may disproportionately affect certain populations with substance use disorders, particularly Opioid Use Disor...",6,2qnto8gw
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,qmp2h3h2,-0.016670542,-0.2627406,0.030896893,3,42,-39,26.862426603134537,1.8385989665985107,0,Caiu,Case-Initiated COVID-19 Contact Tracing Using Anonymous Notifications. We discuss the concept of a participatory digital contact notification approach to assist tracing of contacts who are exposed to confirmed cases of coronavirus disease (...,39,qmp2h3h2
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,jkmihpt5,0.071958564,-0.005833565,0.11865825,4,31,-27,26.769408797490524,3.107085704803467,0,Caiu,"Defining Essential Services for Deaf and Hard of Hearing Children during the COVID-19 Pandemic.. COVID-19 is a rapidly growing global pandemic caused by a novel coronavirus. With no vaccine or definitive treatment, public health authorities...",27,
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,uiy18hx9,0.06779235,-0.007050981,0.12087515,5,28,-23,26.769408797490524,3.3057045936584473,0,Caiu,"Defining Essential Services for Deaf and Hard of Hearing Children during the COVID-19 Pandemic. COVID-19 is a rapidly growing global pandemic caused by a novel coronavirus. With no vaccine or definitive treatment, public health authorities ...",23,
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,03vy3uaj,0.49695584,0.16002712,0.17185791,6,5,1,26.400248339390746,5.903432846069336,2,Relevante no qrels,"Coronavirus Disease (COVID-19) in Children - What We Know So Far and What We Do Not?. Pediatric coronavirus disease - 19 (COVID-19) infection is relatively mild when compared to adults, and children are reported to have a better prognosis M...",1,03vy3uaj
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,18q23z8l,0.49500093,0.15626869,0.16680878,7,3,4,26.367977535433123,6.245641708374023,2,Relevante no qrels,"Coronavirus Disease 2019 (COVID-19) in Children - What We Know So Far and What We Do Not. Pediatric coronavirus disease-19 (COVID-19) infection is relatively mild when compared to adults, and children are reported to have a better prognosis...",4,18q23z8l
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,t38qv5py,-0.15041035,-0.19268563,-0.20203973,8,35,-27,26.12150680552946,2.8499057292938232,0,Caiu,"Disability-inclusive COVID-19 response: What it is, why it is important and what we can learn from the United Kingdom’s response. All too often, disabled people are left behind in emergencies, and this is a risk in the ongoing COVID-19 pand...",27,
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,lbsacgr7,0.17780255,0.37208566,-0.22702159,9,12,-3,26.04020982212328,4.713288307189941,1,Relevante no qrels,"Neurotropic mechanisms in COVID-19 and their potential influence on neuropsychological outcomes in children.. Children have shown more physical resilience to COVID-19 than adults, but there is a cohort of vulnerable infants and young childr...",3,lbsacgr7
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,nun9nh9k,0.27670777,-0.19253016,-0.098715924,10,25,-15,26.012706141846124,3.5689759254455566,0,Caiu,Considerations for Heart Failure Care During the Coronavirus Disease 2019 (COVID-19) Pandemic. Abstract The coronavirus disease 2019 (COVID-19) pandemic has affected the care of patients with HF who contract COVID-19 as well as those withou...,15,
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,1ij25a7u,0.36219558,-0.1539887,-0.048394185,11,38,-27,25.84323426977774,2.4533393383026123,0,Caiu,"Novel Coronavirus (nCoV): a Bitter Old Enemy in a New Avatar. Currently, pandemic coronavirus disease 2019 (COVID-19) is the biggest threat to all human beings globally. Till June 8, 2020, it has infected 6,931,000 people and caused 400,857...",27,
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,54d3p49g,0.10485935,-0.3850721,-0.0037806323,12,19,-7,25.75472059237859,3.9744064807891846,0,Caiu,"Should we wait or not? The preferable option for patients with stage IV oral cancer in COVID-19 pandemic. BACKGROUND: The coronavirus infection is rapidly spreading, putting a strain on health care services across the globe. Patients with o...",7,
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,jqkp8u5v,0.09254729,-0.38519824,0.007620262,13,30,-17,25.75472059237859,3.2142252922058105,0,Caiu,"Should we wait or not? The preferable option for patients with stage IV oral cancer in COVID‐19 pandemic. BACKGROUND: The coronavirus infection is rapidly spreading, putting a strain on health care services across the globe. Patients with o...",17,
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,p8aztarb,0.28240106,0.18999386,0.008016848,14,17,-3,25.716566992863466,4.3174872398376465,2,Relevante no qrels,"Development of child immunity in the context of COVID-19 pandemic. Children, because of having an immature immune system, are usually more prone than the adults to the microbial infections and have more severe symptoms, which is especially ...",3,p8aztarb
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,1wrwxb9b,0.16313551,0.36281464,-0.22428286,15,9,6,25.700815083035355,5.385097980499268,1,Relevante no qrels,"Neurotropic mechanisms in COVID-19 and their potential influence on neuropsychological outcomes in children. Children have shown more physical resilience to COVID-19 than adults, but there is a cohort of vulnerable infants and young childre...",6,1wrwxb9b
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,b426t461,-0.3216849,-0.045522753,0.21692614,16,60,-44,25.681978177567846,-10.196412086486816,0,Caiu,"Meaning of dangerous goods. The parties to a contract for the carriage of goods by sea, whether this is embodied in a bill of lading or one of the standard charterparty forms, customarily negotiate its terms against a background of both com...",44,b426t461
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,njrh6apv,-0.39586648,0.2534282,0.19573326,17,45,-28,25.58386006823119,-2.5403900146484375,0,Caiu,"Garden-based interventions and early childhood health: a protocol for an umbrella review.. BACKGROUND Garden-based interventions have the potential to impact young children's health in a number of ways, including enhancing dietary intake, i...",28,
TREC-COVID,trec_covid,47,what are the health outcomes for children who contract COVID-19?,77fx5tty,-0.22358625,0.36156723,-0.38341746,18,7,11,25.521085587583233,5.806334972381592,0,Top reranker,Shifting from survival to supporting resilience in children and families in the COVID-19 pandemic: Lessons for informing U.S. mental health priorities.. This commentary contextualizes potential mental health outcomes for children during and...,11,77fx5tty
