dataset,pipeline,query_id,query_text,elapsed_sec,ndcg@5,mrr@5,recall@5,map@5,ndcg@10,mrr@10,recall@10,map@10,ndcg@20,mrr@20,recall@20,map@20,ndcg,mrr,recall,map
TREC-COVID,BM25,1,what is the origin of COVID-19,0.7402607309995801,0.2765732350040718,1.0,0.0031397174254317113,0.4,0.21615906613549737,1.0,0.004709576138147566,0.24285714285714283,0.17633352253493503,1.0,0.007849293563579277,0.15467032967032968,0.21615906613549737,1.0,0.004709576138147566,0.24285714285714283
TREC-COVID,BM25,2,how does the coronavirus respond to changes in the weather,1.0126020729994707,0.4468535299918563,0.3333333333333333,0.009554140127388535,0.2866666666666666,0.4658996209235437,0.3333333333333333,0.01910828025477707,0.3296428571428571,0.42138950065020053,0.3333333333333333,0.03184713375796178,0.26482142857142854,0.4658996209235437,0.3333333333333333,0.01910828025477707,0.3296428571428571
TREC-COVID,BM25,3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,0.8807111989999612,0.7129795603441191,1.0,0.006369426751592357,0.6433333333333333,0.6471864012386492,1.0,0.011146496815286623,0.5782142857142857,0.47586814342001016,1.0,0.014331210191082803,0.3629707792207792,0.6471864012386492,1.0,0.011146496815286623,0.5782142857142857
TREC-COVID,BM25,4,what causes death from Covid-19?,0.47062466500028677,0.16958010263680806,0.3333333333333333,0.001890359168241966,0.06666666666666667,0.17947710508581735,0.3333333333333333,0.003780718336483932,0.05833333333333333,0.11582866341850039,0.3333333333333333,0.003780718336483932,0.029166666666666664,0.17947710508581735,0.3333333333333333,0.003780718336483932,0.05833333333333333
TREC-COVID,BM25,5,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?,1.151409285000227,0.7204111965093014,1.0,0.006514657980456026,0.6433333333333333,0.6886909856522943,1.0,0.011400651465798045,0.5782142857142857,0.6228050800598481,1.0,0.02280130293159609,0.5511712483423009,0.6886909856522943,1.0,0.011400651465798045,0.5782142857142857
TREC-COVID,BM25,6,what types of rapid testing for Covid-19 have been developed?,0.8824088000001211,0.6608397947263839,0.5,0.004171011470281543,0.5433333333333333,0.6378891765242928,0.5,0.0072992700729927005,0.4958730158730159,0.60606504493975,0.5,0.013555787278415016,0.4499621579400991,0.6378891765242928,0.5,0.0072992700729927005,0.4958730158730159
TREC-COVID,BM25,7,are there serological tests that detect antibodies to coronavirus?,0.7360468540000511,0.8687949224876582,1.0,0.008316008316008316,0.8,0.841492960259019,1.0,0.016632016632016633,0.716111111111111,0.8256478089848152,1.0,0.033264033264033266,0.6765148946340898,0.841492960259019,1.0,0.016632016632016633,0.716111111111111
TREC-COVID,BM25,8,how has lack of testing availability led to underreporting of true incidence of Covid-19?,1.2358599450008114,0.6608397947263839,0.5,0.006329113924050633,0.5433333333333333,0.5587148206871071,0.5,0.00949367088607595,0.38722222222222225,0.5391365416887189,0.5,0.0189873417721519,0.3903142853878149,0.5587148206871071,0.5,0.00949367088607595,0.38722222222222225
TREC-COVID,BM25,9,how has COVID-19 affected Canada,0.4985945239995999,0.13863671367752411,0.25,0.010471204188481676,0.13,0.1266477020552659,0.25,0.015706806282722512,0.10785714285714285,0.15190601259797337,0.25,0.02617801047120419,0.08247108155002891,0.1266477020552659,0.25,0.015706806282722512,0.10785714285714285
TREC-COVID,BM25,10,has social distancing had an impact on slowing the spread of COVID-19?,1.0553502680004385,0.9269658250786468,1.0,0.010526315789473684,1.0,0.8513642017789715,1.0,0.018947368421052633,0.8788888888888889,0.8145453650439518,1.0,0.04,0.9060058742856729,0.8513642017789715,1.0,0.018947368421052633,0.8788888888888889
