dataset,pipeline,query_id,recall_level,precision
SciFact,BM25,1,0.0,0.0
SciFact,BM25,1,0.1,0.0
SciFact,BM25,1,0.2,0.0
SciFact,BM25,1,0.30000000000000004,0.0
SciFact,BM25,1,0.4,0.0
SciFact,BM25,1,0.5,0.0
SciFact,BM25,1,0.6000000000000001,0.0
SciFact,BM25,1,0.7000000000000001,0.0
SciFact,BM25,1,0.8,0.0
SciFact,BM25,1,0.9,0.0
SciFact,BM25,1,1.0,0.0
SciFact,BM25,3,0.0,1.0
SciFact,BM25,3,0.1,1.0
SciFact,BM25,3,0.2,1.0
SciFact,BM25,3,0.30000000000000004,1.0
SciFact,BM25,3,0.4,1.0
SciFact,BM25,3,0.5,1.0
SciFact,BM25,3,0.6000000000000001,1.0
SciFact,BM25,3,0.7000000000000001,1.0
SciFact,BM25,3,0.8,1.0
SciFact,BM25,3,0.9,1.0
SciFact,BM25,3,1.0,1.0
SciFact,BM25,5,0.0,1.0
SciFact,BM25,5,0.1,1.0
SciFact,BM25,5,0.2,1.0
SciFact,BM25,5,0.30000000000000004,1.0
SciFact,BM25,5,0.4,1.0
SciFact,BM25,5,0.5,1.0
SciFact,BM25,5,0.6000000000000001,1.0
SciFact,BM25,5,0.7000000000000001,1.0
SciFact,BM25,5,0.8,1.0
SciFact,BM25,5,0.9,1.0
SciFact,BM25,5,1.0,1.0
SciFact,BM25,13,0.0,0.0
SciFact,BM25,13,0.1,0.0
SciFact,BM25,13,0.2,0.0
SciFact,BM25,13,0.30000000000000004,0.0
SciFact,BM25,13,0.4,0.0
SciFact,BM25,13,0.5,0.0
SciFact,BM25,13,0.6000000000000001,0.0
SciFact,BM25,13,0.7000000000000001,0.0
SciFact,BM25,13,0.8,0.0
SciFact,BM25,13,0.9,0.0
SciFact,BM25,13,1.0,0.0
SciFact,BM25,36,0.0,0.16666666666666666
SciFact,BM25,36,0.1,0.16666666666666666
SciFact,BM25,36,0.2,0.16666666666666666
SciFact,BM25,36,0.30000000000000004,0.16666666666666666
SciFact,BM25,36,0.4,0.16666666666666666
SciFact,BM25,36,0.5,0.16666666666666666
SciFact,BM25,36,0.6000000000000001,0.0
SciFact,BM25,36,0.7000000000000001,0.0
SciFact,BM25,36,0.8,0.0
SciFact,BM25,36,0.9,0.0
SciFact,BM25,36,1.0,0.0
SciFact,BM25,42,0.0,1.0
SciFact,BM25,42,0.1,1.0
SciFact,BM25,42,0.2,1.0
SciFact,BM25,42,0.30000000000000004,1.0
SciFact,BM25,42,0.4,1.0
SciFact,BM25,42,0.5,1.0
SciFact,BM25,42,0.6000000000000001,1.0
SciFact,BM25,42,0.7000000000000001,1.0
SciFact,BM25,42,0.8,1.0
SciFact,BM25,42,0.9,1.0
SciFact,BM25,42,1.0,1.0
SciFact,BM25,48,0.0,0.5
SciFact,BM25,48,0.1,0.5
SciFact,BM25,48,0.2,0.5
SciFact,BM25,48,0.30000000000000004,0.5
SciFact,BM25,48,0.4,0.5
SciFact,BM25,48,0.5,0.5
SciFact,BM25,48,0.6000000000000001,0.5
SciFact,BM25,48,0.7000000000000001,0.5
SciFact,BM25,48,0.8,0.5
SciFact,BM25,48,0.9,0.5
SciFact,BM25,48,1.0,0.5
SciFact,BM25,49,0.0,1.0
SciFact,BM25,49,0.1,1.0
SciFact,BM25,49,0.2,1.0
SciFact,BM25,49,0.30000000000000004,1.0
SciFact,BM25,49,0.4,1.0
SciFact,BM25,49,0.5,1.0
SciFact,BM25,49,0.6000000000000001,1.0
SciFact,BM25,49,0.7000000000000001,1.0
SciFact,BM25,49,0.8,1.0
SciFact,BM25,49,0.9,1.0
SciFact,BM25,49,1.0,1.0
SciFact,BM25,50,0.0,1.0
SciFact,BM25,50,0.1,1.0
SciFact,BM25,50,0.2,1.0
SciFact,BM25,50,0.30000000000000004,1.0
SciFact,BM25,50,0.4,1.0
SciFact,BM25,50,0.5,1.0
SciFact,BM25,50,0.6000000000000001,1.0
SciFact,BM25,50,0.7000000000000001,1.0
SciFact,BM25,50,0.8,1.0
SciFact,BM25,50,0.9,1.0
SciFact,BM25,50,1.0,1.0
SciFact,BM25,51,0.0,1.0
SciFact,BM25,51,0.1,1.0
SciFact,BM25,51,0.2,1.0
SciFact,BM25,51,0.30000000000000004,1.0
SciFact,BM25,51,0.4,1.0
SciFact,BM25,51,0.5,1.0
SciFact,BM25,51,0.6000000000000001,1.0
SciFact,BM25,51,0.7000000000000001,1.0
SciFact,BM25,51,0.8,1.0
SciFact,BM25,51,0.9,1.0
SciFact,BM25,51,1.0,1.0
SciFact,BM25,53,0.0,1.0
SciFact,BM25,53,0.1,1.0
SciFact,BM25,53,0.2,1.0
SciFact,BM25,53,0.30000000000000004,1.0
SciFact,BM25,53,0.4,1.0
SciFact,BM25,53,0.5,1.0
SciFact,BM25,53,0.6000000000000001,1.0
SciFact,BM25,53,0.7000000000000001,1.0
SciFact,BM25,53,0.8,1.0
SciFact,BM25,53,0.9,1.0
SciFact,BM25,53,1.0,1.0
SciFact,BM25,54,0.0,0.16666666666666666
SciFact,BM25,54,0.1,0.16666666666666666
SciFact,BM25,54,0.2,0.16666666666666666
SciFact,BM25,54,0.30000000000000004,0.16666666666666666
SciFact,BM25,54,0.4,0.16666666666666666
SciFact,BM25,54,0.5,0.16666666666666666
SciFact,BM25,54,0.6000000000000001,0.16666666666666666
SciFact,BM25,54,0.7000000000000001,0.16666666666666666
SciFact,BM25,54,0.8,0.16666666666666666
SciFact,BM25,54,0.9,0.16666666666666666
SciFact,BM25,54,1.0,0.16666666666666666
SciFact,BM25,56,0.0,1.0
SciFact,BM25,56,0.1,1.0
SciFact,BM25,56,0.2,1.0
SciFact,BM25,56,0.30000000000000004,1.0
