dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label
SciFact,scifact,513,High cardiopulmonary fitness causes increased mortality rate.,13230773,-0.23261522,-0.48872232,-0.01816142,1,10,-9,19.167633873402497,-2.223431348800659,1,Relevante no qrels,"Prevalence and cardiovascular disease correlates of low cardiorespiratory fitness in adolescents and adults.. CONTEXT Population surveys indicate that physical activity levels are low in the United States. One consequence of inactivity, low...",9,13230773
SciFact,scifact,513,High cardiopulmonary fitness causes increased mortality rate.,12770738,-0.22891136,-0.48414406,-0.04569969,2,1,1,18.18047864424916,1.2916322946548462,0,Top 5 BM25 e BGE,"Cardiorespiratory fitness and body mass index as predictors of cardiovascular disease mortality among men with diabetes.. BACKGROUND Questions remain as to whether higher levels of cardiorespiratory fitness, a measure of regular physical ac...",1,12770738
SciFact,scifact,513,High cardiopulmonary fitness causes increased mortality rate.,36288526,0.054071423,-0.10690038,0.36091977,3,19,-16,15.50620328687117,-3.6814534664154053,0,Caiu,Effect of hydroxyethyl starch on bleeding after cardiopulmonary bypass: a meta-analysis of randomized trials.. OBJECTIVE The effects of hydroxyethyl starch on bleeding after cardiopulmonary bypass were determined. METHODS A meta-analysis wa...,16,
SciFact,scifact,513,High cardiopulmonary fitness causes increased mortality rate.,11441172,0.35688815,0.13659027,0.0017489025,4,31,-27,14.374679821796967,-4.830628871917725,0,Caiu,"Fluconazole prophylaxis: can we eliminate invasive Candida infections in the neonatal ICU?. PURPOSE OF REVIEW Owing to the high mortality, risk of neurodevelopmental impairment and end-organ involvement with fungal infections in the neonate...",27,
SciFact,scifact,513,High cardiopulmonary fitness causes increased mortality rate.,40156901,-0.017054204,-0.066621356,0.5359508,5,5,0,13.99607750674851,-1.8048341274261475,0,Top 5 BM25 e BGE,Dose-dependent effect of statins on the incidence of acute kidney injury after cardiac surgery.. BACKGROUND Acute kidney injury (AKI) after cardiac surgery is associated with increased morbidity and mortality. METHODS We assessed whether st...,0,40156901
SciFact,scifact,513,High cardiopulmonary fitness causes increased mortality rate.,2575938,-0.14214522,-0.5703039,-0.12371504,6,56,-50,13.765118663383287,-6.335551738739014,0,Caiu,"Relationship between activity levels, aerobic fitness, and body fat in 8- to 10-yr-old children.. The relationships between children's activity, aerobic fitness, and fatness are unclear. Indirect estimates of activity, e.g., heart rate (HR)...",50,2575938
SciFact,scifact,513,High cardiopulmonary fitness causes increased mortality rate.,2424794,0.12247562,-0.4337162,-0.2233757,7,40,-33,13.31259208400971,-5.265709400177002,0,Caiu,"A neuroimaging investigation of the association between aerobic fitness, hippocampal volume, and memory performance in preadolescent children.. Because children are becoming overweight, unhealthy, and unfit, understanding the neurocognitive...",33,
SciFact,scifact,513,High cardiopulmonary fitness causes increased mortality rate.,35495268,-0.25089592,-0.29374883,0.14548749,8,13,-5,13.020710123964925,-2.8810882568359375,0,Caiu,"Cardiovascular effects of intensive lifestyle intervention in type 2 diabetes.. BACKGROUND Weight loss is recommended for overweight or obese patients with type 2 diabetes on the basis of short-term studies, but long-term effects on cardiov...",5,
SciFact,scifact,513,High cardiopulmonary fitness causes increased mortality rate.,15830352,0.5128975,-0.2553859,-0.39464888,9,58,-49,12.84654379076731,-6.7179975509643555,0,Caiu,"Resonating circadian clocks enhance fitness in cyanobacteria.. In some organisms longevity, growth, and developmental rate are improved when they are maintained on a light/dark cycle, the period of which ""resonates"" optimally with the perio...",49,15830352
SciFact,scifact,513,High cardiopulmonary fitness causes increased mortality rate.,4463588,-0.06618121,-0.64881104,0.02709051,10,27,-17,12.4705412104972,-4.578907489776611,0,Caiu,"Effects of exercise intensity on cardiovascular fitness, total body composition, and visceral adiposity of obese adolescents.. BACKGROUND Little is known about how the intensity of exercise influences cardiovascular fitness and body composi...",17,
