dataset,pipeline,query_id,query_text,rank,doc_id,score,relevance,doc_text,doc_preview
TREC-COVID,BM25,1,what is the origin of COVID-19,1,dv9m19yk,34.78496572568657,1,"[What is the origin of SARS-CoV-2?]. Every time a pandemic occurs, dozens of theories emerge to attribute the origin of the event to different facts. The COVID-19 pandemic that has hit virtually all the globe has been no exception. What is known so far about the origin of the virus that causes COVID 19? The first investigations on the origin of this disease have determined that it is a new type of virus, the origin of which is most likely zoonotic.","[What is the origin of SARS-CoV-2?]. Every time a pandemic occurs, dozens of theories emerge to attribute the origin of the event to different facts. The COVID-19 pandemic that has hit virtually all the globe has been no exception. What is known so far about the origin of the virus that causes COVID 19? The first investigations on the origin of this disease have determined that it is a new type of virus, the origin of which is most likely zoonotic."
TREC-COVID,BM25,1,what is the origin of COVID-19,2,hmvo5b0q,27.62010416827735,1,"Understanding Coronavirus. Since the identification of the first cases of the coronavirus in December 2019 in Wuhan, China, there has been a significant amount of confusion regarding the origin and spread of the so-called 'coronavirus', officially named SARS-CoV-2, and the cause of the disease COVID-19 Conflicting messages from the media and officials across different countries and organizations, the abundance of disparate sources of information, unfounded conspiracy theories on the origins of the newly emerging virus and the inconsistent public health measures across different countries, have all served to increase the level of anxiety in the population Where did the virus come from? How is it transmitted? How does it cause disease? Is it like flu? What is a pandemic? What can we do to stop its spread? Written by a leading expert, this concise and accessible introduction provides answers to the most common questions surrounding coronavirus for a general audience","Understanding Coronavirus. Since the identification of the first cases of the coronavirus in December 2019 in Wuhan, China, there has been a significant amount of confusion regarding the origin and spread of the so-called 'coronavirus', officially named SARS-CoV-2, and the cause of the disease COVID-19 Conflicting messages from the media and officials across different countries and organizations, the abundance of disparate sources of information, unfounded conspiracy theories on the origins of t..."
TREC-COVID,BM25,1,what is the origin of COVID-19,3,5d7zien3,27.346148251385223,0,"The COVID‐19 epidemic of manuscripts. In the midst of the novel coronavirus pandemic—referred to as COVID‐19—there has been much uncertainty. We remain uncertain about its precise origin, its structure and composition, how best to test for it, or for resulting immunity, whether or not exposure leads to immunity, whether or not disposable surgical masks are effective, why men and some ethnic minorities are more susceptible and just exactly what the death rate as a result of this virus is. However, one thing is absolutely clear, there has been an epidemic of manuscripts on the subject of COVID‐19 to nursing journals and, amongst these new manuscripts the rejection rate is, unfortunately, very high.","The COVID‐19 epidemic of manuscripts. In the midst of the novel coronavirus pandemic—referred to as COVID‐19—there has been much uncertainty. We remain uncertain about its precise origin, its structure and composition, how best to test for it, or for resulting immunity, whether or not exposure leads to immunity, whether or not disposable surgical masks are effective, why men and some ethnic minorities are more susceptible and just exactly what the death rate as a result of this virus is. However..."
TREC-COVID,BM25,1,what is the origin of COVID-19,4,0paafp5j,27.31292443396948,0,"Anesthesia and COVID-19: What We Should Know and What We Should Do.. Coronavirus disease 2019 (COVID-19), caused by Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2), was first reported in Wuhan, Hubei, China, and has spread to more than 200 other countries around the world. COVID-19 is a highly contagious disease with continuous human-to-human transmission. The origin of the virus is unknown. Airway manipulations and intubations, which are common during anesthesia procedures may increasingly expose anesthesia providers and intensive care unit team members to SARS-CoV-2. Through a comprehensive review of existing studies on COVID-19, this article presents the epidemiological and clinical characteristics of COVID-19, reviews current medical management, and suggests ways to improve the safety of anesthetic procedures. Owing to the highly contagious nature of the virus and the lack of therapeutic drugs or vaccines, precautions should be taken to prevent medical staff from COVID-19.","Anesthesia and COVID-19: What We Should Know and What We Should Do.. Coronavirus disease 2019 (COVID-19), caused by Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2), was first reported in Wuhan, Hubei, China, and has spread to more than 200 other countries around the world. COVID-19 is a highly contagious disease with continuous human-to-human transmission. The origin of the virus is unknown. Airway manipulations and intubations, which are common during anesthesia procedures may incr..."
TREC-COVID,BM25,1,what is the origin of COVID-19,5,96zsd27n,27.31292443396948,0,"Anesthesia and COVID-19: What We Should Know and What We Should Do. Coronavirus disease 2019 (COVID-19), caused by Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2), was first reported in Wuhan, Hubei, China, and has spread to more than 200 other countries around the world. COVID-19 is a highly contagious disease with continuous human-to-human transmission. The origin of the virus is unknown. Airway manipulations and intubations, which are common during anesthesia procedures may increasingly expose anesthesia providers and intensive care unit team members to SARS-CoV-2. Through a comprehensive review of existing studies on COVID-19, this article presents the epidemiological and clinical characteristics of COVID-19, reviews current medical management, and suggests ways to improve the safety of anesthetic procedures. Owing to the highly contagious nature of the virus and the lack of therapeutic drugs or vaccines, precautions should be taken to prevent medical staff from COVID-19.","Anesthesia and COVID-19: What We Should Know and What We Should Do. Coronavirus disease 2019 (COVID-19), caused by Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2), was first reported in Wuhan, Hubei, China, and has spread to more than 200 other countries around the world. COVID-19 is a highly contagious disease with continuous human-to-human transmission. The origin of the virus is unknown. Airway manipulations and intubations, which are common during anesthesia procedures may incre..."
TREC-COVID,BM25,1,what is the origin of COVID-19,6,fk60pph3,26.73477047209109,0,"The Origin and Prevention of Pandemics. Despite the fact that most emerging diseases stem from the transmission of pathogenic agents from animals to humans, the factors that mediate this process are still ill defined. What is known, however, is that the interface between humans and animals is of paramount importance in the process. This review will discuss the importance of the human-animal interface to the disease emergence process. We also provide an overview of factors that are believed to contribute to the origin and global spread of emerging infectious diseases and offer suggestions that may serve as future prevention strategies, such as social mobilization, public health education, behavioral change and communication strategies. Since there exists no comprehensive global surveillance system to monitor zoonotic disease emergence, the intervention measures discussed herein may prove effective temporary alternatives.","The Origin and Prevention of Pandemics. Despite the fact that most emerging diseases stem from the transmission of pathogenic agents from animals to humans, the factors that mediate this process are still ill defined. What is known, however, is that the interface between humans and animals is of paramount importance in the process. This review will discuss the importance of the human-animal interface to the disease emergence process. We also provide an overview of factors that are believed to co..."
TREC-COVID,BM25,1,what is the origin of COVID-19,7,fqs40ivc,26.51739858260385,1,"Emergence of COVID-19 Infection: What Is Known and What Is to Be Expected-Narrative Review Article. BACKGROUND: The discovery of the coronavirus disease 2019 (COVID-19) during a pneumonia outbreak in Wuhan city (China) has raised a global public health concern, as the city consists of around 11 million people and is considered a major transport and logistics hub. This deadly virus caused the world to be in high alert as the death toll and the number of confirmed cases is continuously rising since the first case was reported. The Chinese government warned that the transmission ability of the virus is increasing, and international efforts are needed to overcome this outbreak. The purpose of this review is to focus on the published articles about the new virus, which will give an insight into the current state of research and data available, as well as recommending future studies. METHODS: For this narrative review, more than 20 relevant scientific articles and reports were considered from various databases (e.g., Google Scholar, PubMed and Science Direct) using keywords such as Coronavirus Outbreak, COVID-19, Emerging Epidemics, Emerging Infections, and Novel Coronavirus. RESULTS: The results from this review show that the situation is rapidly evolving, as human-to-human transmission is occurring, and the number of new cases and mortalities is increasing by the day and on a global level. There is still ambiguity about mutation risks and how the virus spreads as the source was not yet identified. Major gaps in knowledge about the origin of the virus, epidemiology and transmission impose a great challenge, which emphasizes the need for further studies in the future.","Emergence of COVID-19 Infection: What Is Known and What Is to Be Expected-Narrative Review Article. BACKGROUND: The discovery of the coronavirus disease 2019 (COVID-19) during a pneumonia outbreak in Wuhan city (China) has raised a global public health concern, as the city consists of around 11 million people and is considered a major transport and logistics hub. This deadly virus caused the world to be in high alert as the death toll and the number of confirmed cases is continuously rising sinc..."
TREC-COVID,BM25,1,what is the origin of COVID-19,8,fybo3ltn,26.07127130458058,0,"Diagnosing COVID-19: Did We Miss Anything?. In late 2019, a mass of patients showing symptoms of a pneumonia-like disease of unknown origin emerged in Wuhan, China. Little did the world know it was the prelude of what would be a devastating pandemic. Samples were collected from these patients and the use of unbiased sequencing, and subsequent isolation of the pathogen using human airway epithelial cells led to the discovery of a novel coronavirus, named 2019-nCoV by the World Health Organization (WHO) and Severe Acute Respiratory Syndrome CoronaVirus-2 (SARS-CoV-2) by the International Committee on Taxonomy of Viruses. The disease caused by this virus is officially called the coronavirus disease 2019 (COVID-19).","Diagnosing COVID-19: Did We Miss Anything?. In late 2019, a mass of patients showing symptoms of a pneumonia-like disease of unknown origin emerged in Wuhan, China. Little did the world know it was the prelude of what would be a devastating pandemic. Samples were collected from these patients and the use of unbiased sequencing, and subsequent isolation of the pathogen using human airway epithelial cells led to the discovery of a novel coronavirus, named 2019-nCoV by the World Health Organization..."
TREC-COVID,BM25,1,what is the origin of COVID-19,9,hf2m7imf,25.848257802118077,0,"COVID-19, chronicle of an expected pandemic. What is COVID-19? What are the causes, parameters, and effects of this disease? What are the short- and long-term prospects? Philippe Sansonetti, Infectious disease specialist and Chief Editor of EMBO Molecular Medicine, explains why the fate of the epidemic is in our hands.","COVID-19, chronicle of an expected pandemic. What is COVID-19? What are the causes, parameters, and effects of this disease? What are the short- and long-term prospects? Philippe Sansonetti, Infectious disease specialist and Chief Editor of EMBO Molecular Medicine, explains why the fate of the epidemic is in our hands."
TREC-COVID,BM25,1,what is the origin of COVID-19,10,1ij25a7u,25.838871525299528,0,"Novel Coronavirus (nCoV): a Bitter Old Enemy in a New Avatar. Currently, pandemic coronavirus disease 2019 (COVID-19) is the biggest threat to all human beings globally. Till June 8, 2020, it has infected 6,931,000 people and caused 400,857 deaths worldwide. The first case was identified in a patient with influenza-like symptoms along with severe acute respiratory syndrome in Wuhan, China, in December 2019 and now it has spread in more than 200 countries. Since there is no approved cure for this disease until now, there is a lot of mass fear, apprehensions, and questions globally regarding (i) genetic origin and history of the novel coronavirus, (ii) what are the first-line therapies for those who contract this disease, and (iii) what could be the potential vaccine targets. In this short review, we have tried to address these queries in the simplest manner and compiled the history of previous coronaviruses, recent developments in the COVID-19 research, potential future therapeutics, and possible targets to cure the disease.","Novel Coronavirus (nCoV): a Bitter Old Enemy in a New Avatar. Currently, pandemic coronavirus disease 2019 (COVID-19) is the biggest threat to all human beings globally. Till June 8, 2020, it has infected 6,931,000 people and caused 400,857 deaths worldwide. The first case was identified in a patient with influenza-like symptoms along with severe acute respiratory syndrome in Wuhan, China, in December 2019 and now it has spread in more than 200 countries. Since there is no approved cure for this..."
