dataset,pipeline,query_id,query_text,elapsed_sec,ndcg@5,mrr@5,recall@5,map@5,ndcg@10,mrr@10,recall@10,map@10,ndcg@20,mrr@20,recall@20,map@20,ndcg,mrr,recall,map
SciFact,RRF BM25 + BGE,1,0-dimensional biomaterials show inductive properties.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SciFact,RRF BM25 + BGE,3,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,5,1/2000 in UK have abnormal PrP positivity.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,13,5% of perinatal mortality is due to low birth weight.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SciFact,RRF BM25 + BGE,36,A deficiency of vitamin B12 increases blood levels of homocysteine.,0.0,0.23719771276929622,0.2,0.5,0.1,0.23719771276929622,0.2,0.5,0.1,0.23719771276929622,0.2,0.5,0.1,0.23719771276929622,0.2,0.5,0.1
SciFact,RRF BM25 + BGE,42,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,48,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",0.0,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5
SciFact,RRF BM25 + BGE,49,ADAR1 binds to Dicer to cleave pre-miRNA.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,50,AIRE is expressed in some skin tumors.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,51,ALDH1 expression is associated with better breast cancer outcomes.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,53,ALDH1 expression is associated with poorer prognosis in breast cancer.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,54,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,0.0,0.43067655807339306,0.25,1.0,0.25,0.43067655807339306,0.25,1.0,0.25,0.43067655807339306,0.25,1.0,0.25,0.43067655807339306,0.25,1.0,0.25
SciFact,RRF BM25 + BGE,56,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,57,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation, delaying GABA neuron degeneration.",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,70,Activation of PPM1D suppresses p53 function.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,72,Activator-inhibitor pairs are provided dorsally by Admpchordin.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,75,"Active H. pylori urease has a polymeric structure that compromises two subunits, UreA and UreB.",0.0,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5
SciFact,RRF BM25 + BGE,94,Albendazole is used to treat lymphatic filariasis.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,99,Alizarin forms hydrogen bonds with residues involved in PGAM1 substrate binding.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,100,All hematopoietic stem cells segregate their chromosomes randomly.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,113,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,115,Anthrax spores can be disposed of easily after they are dispersed.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,118,Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,124,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,127,Arginine 90 in p150n is important for interaction with EB1.,0.0,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5
SciFact,RRF BM25 + BGE,128,Arterioles have a larger lumen diameter than venules.,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333
SciFact,RRF BM25 + BGE,129,Articles published in open access format are less likely to be cited than traditional journals.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,130,Articles published in open access format are more likely to be cited than traditional journals.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,132,Aspirin inhibits the production of PGE2.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SciFact,RRF BM25 + BGE,133,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",0.0,0.16958010263680806,0.3333333333333333,0.2,0.06666666666666667,0.29039140533630226,0.3333333333333333,0.4,0.13333333333333333,0.3849977520429666,0.3333333333333333,0.6,0.18787878787878787,0.29039140533630226,0.3333333333333333,0.4,0.13333333333333333
SciFact,RRF BM25 + BGE,137,Asymptomatic visual impairment screening in elderly populations does not lead to improved vision.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,0.0,0.9197207891481876,1.0,1.0,0.8333333333333333,0.9197207891481876,1.0,1.0,0.8333333333333333,0.9197207891481876,1.0,1.0,0.8333333333333333,0.9197207891481876,1.0,1.0,0.8333333333333333
SciFact,RRF BM25 + BGE,142,Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,143,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,146,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,148,Autophagy declines in aged organisms.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,163,Bariatric surgery has a positive impact on mental health.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,171,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,179,Birth-weight is positively associated with breast cancer.,0.0,0.6366824387328317,1.0,0.5,0.5,0.6366824387328317,1.0,0.5,0.5,0.7421780229679421,1.0,0.75,0.5625,0.6366824387328317,1.0,0.5,0.5
SciFact,RRF BM25 + BGE,180,Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 leads to increased TDP-43-induced neuronal loss.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,183,Bone marrow cells contribute to adult macrophage compartments.,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333
SciFact,RRF BM25 + BGE,185,Breast cancer development is determined exclusively by genetic factors.,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333
SciFact,RRF BM25 + BGE,198,CCL19 is absent within dLNs.,0.0,0.43067655807339306,0.25,1.0,0.25,0.43067655807339306,0.25,1.0,0.25,0.43067655807339306,0.25,1.0,0.25,0.43067655807339306,0.25,1.0,0.25
SciFact,RRF BM25 + BGE,208,CHEK2 is not associated with breast cancer.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,212,CR is associated with higher methylation age.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,213,CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery.,0.0,0.0,0.0,0.0,0.0,0.3562071871080222,0.16666666666666666,1.0,0.16666666666666666,0.3562071871080222,0.16666666666666666,1.0,0.16666666666666666,0.3562071871080222,0.16666666666666666,1.0,0.16666666666666666
SciFact,RRF BM25 + BGE,216,CX3CR1 on the Th2 cells impairs T cell survival,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,217,CX3CR1 on the Th2 cells promotes T cell survival,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,218,CX3CR1 on the Th2 cells promotes airway inflammation.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,219,CX3CR1 on the Th2 cells suppresses airway inflammation.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,230,Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,232,Cataract and trachoma are the primary cause of blindness in Southern Sudan.,0.0,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5
SciFact,RRF BM25 + BGE,233,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,236,Cell autonomous sex determination in somatic cells occurs in Passeriformes.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,237,Cells lacking clpC have a defect in sporulation efficiency in Bacillus subtilis.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,238,Cells undergoing methionine restriction may activate miRNAs.,0.0,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5
SciFact,RRF BM25 + BGE,239,Cellular aging closely links to an older appearance.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SciFact,RRF BM25 + BGE,248,Chenodeosycholic acid treatment increases whole-body energy expenditure.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,249,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,0.0,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5
SciFact,RRF BM25 + BGE,261,"Chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO.",0.0,0.23719771276929622,0.2,0.5,0.1,0.23719771276929622,0.2,0.5,0.1,0.23719771276929622,0.2,0.5,0.1,0.23719771276929622,0.2,0.5,0.1
SciFact,RRF BM25 + BGE,268,Cold exposure increases BAT recruitment.,0.0,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5
SciFact,RRF BM25 + BGE,269,Cold exposure reduces BAT recruitment.,0.0,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5
SciFact,RRF BM25 + BGE,274,Combination nicotine replacement therapies with varenicline or bupropion lead to significantly higher long-term abstinence rates at 52 weeks than varenicline monotherapy.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,275,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,0.0,0.46927872602275644,1.0,0.3333333333333333,0.3333333333333333,0.6049306994552042,1.0,0.6666666666666666,0.39999999999999997,0.6049306994552042,1.0,0.6666666666666666,0.39999999999999997,0.6049306994552042,1.0,0.6666666666666666,0.39999999999999997
SciFact,RRF BM25 + BGE,279,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,294,Crossover hot spots are not found within gene promoters in Saccharomyces cerevisiae.,0.0,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5
SciFact,RRF BM25 + BGE,295,Crosstalk between dendritic cells (DCs) and innate lymphoid cells (ILCs) is important in the regulation of intestinal homeostasis.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,298,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,300,Cytosolic proteins bind to iron-responsive elements on mRNAs coding for DMT1. Cytosolic proteins bind to iron-responsive elements on mRNAs coding for proteins involved in iron uptake.,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333
SciFact,RRF BM25 + BGE,303,DMRT1 is a sex-determining gene that is epigenetically regulated by the MHM region.,0.0,0.43067655807339306,0.25,1.0,0.25,0.43067655807339306,0.25,1.0,0.25,0.43067655807339306,0.25,1.0,0.25,0.43067655807339306,0.25,1.0,0.25
SciFact,RRF BM25 + BGE,312,De novo assembly of sequence data has more specific contigs than unassembled sequence data.,0.0,0.43067655807339306,0.25,1.0,0.25,0.43067655807339306,0.25,1.0,0.25,0.43067655807339306,0.25,1.0,0.25,0.43067655807339306,0.25,1.0,0.25
SciFact,RRF BM25 + BGE,314,Deamination of cytidine to uridine on the minus strand of viral DNA results in catastrophic G-to-A mutations in the viral genome.,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333
SciFact,RRF BM25 + BGE,324,Deleting Raptor reduces G-CSF levels.,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333
SciFact,RRF BM25 + BGE,327,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,338,Dexamethasone decreases risk of postoperative bleeding.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,343,Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,0.0,0.5706417189553201,0.3333333333333333,1.0,0.41666666666666663,0.5706417189553201,0.3333333333333333,1.0,0.41666666666666663,0.5706417189553201,0.3333333333333333,1.0,0.41666666666666663,0.5706417189553201,0.3333333333333333,1.0,0.41666666666666663
SciFact,RRF BM25 + BGE,350,Discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,354,Downregulation and mislocalization of Scribble prevents cell transformation and mammary tumorigenesis.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,362,During the primary early antibody response activated B cells migrate toward the inner-and outer paracortical areas where oxysterol accumulation is generated by stromal cells.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,380,Enhanced early production of inflammatory chemokines improves viral control in the lung.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,RRF BM25 + BGE,384,Epidemiological disease burden from noncommunicable diseases is more prevalent in low economic settings.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
