dataset,pipeline,query_id,query_text,elapsed_sec,ndcg@5,mrr@5,recall@5,map@5,ndcg@10,mrr@10,recall@10,map@10,ndcg@20,mrr@20,recall@20,map@20,ndcg,mrr,recall,map
SciFact,BM25 + BGE-Reranker,1,0-dimensional biomaterials show inductive properties.,3.238244147999467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SciFact,BM25 + BGE-Reranker,3,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",2.6263036820000707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,BM25 + BGE-Reranker,5,1/2000 in UK have abnormal PrP positivity.,2.771686662999855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,BM25 + BGE-Reranker,13,5% of perinatal mortality is due to low birth weight.,2.72787496500041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SciFact,BM25 + BGE-Reranker,36,A deficiency of vitamin B12 increases blood levels of homocysteine.,2.6365433609998945,0.23719771276929622,0.2,0.5,0.1,0.23719771276929622,0.2,0.5,0.1,0.37906661463529034,0.2,1.0,0.15263157894736842,0.23719771276929622,0.2,0.5,0.1
SciFact,BM25 + BGE-Reranker,42,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,2.6792681940005423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,BM25 + BGE-Reranker,48,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",2.6894464320002953,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5
SciFact,BM25 + BGE-Reranker,49,ADAR1 binds to Dicer to cleave pre-miRNA.,2.7548283099995388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,BM25 + BGE-Reranker,50,AIRE is expressed in some skin tumors.,2.663823162999506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,BM25 + BGE-Reranker,51,ALDH1 expression is associated with better breast cancer outcomes.,2.697185177999927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,BM25 + BGE-Reranker,53,ALDH1 expression is associated with poorer prognosis in breast cancer.,2.671852512999976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,BM25 + BGE-Reranker,54,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,2.708375660999991,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333
SciFact,BM25 + BGE-Reranker,56,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,3.1692164520000006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,BM25 + BGE-Reranker,57,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation, delaying GABA neuron degeneration.",3.0476196080007867,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,BM25 + BGE-Reranker,70,Activation of PPM1D suppresses p53 function.,2.6744912909998675,0.2640681225725909,0.25,0.5,0.125,0.46845052016107697,0.25,1.0,0.26785714285714285,0.46845052016107697,0.25,1.0,0.26785714285714285,0.46845052016107697,0.25,1.0,0.26785714285714285
SciFact,BM25 + BGE-Reranker,72,Activator-inhibitor pairs are provided dorsally by Admpchordin.,2.7173926569994364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,BM25 + BGE-Reranker,75,"Active H. pylori urease has a polymeric structure that compromises two subunits, UreA and UreB.",2.7550252640003237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,BM25 + BGE-Reranker,94,Albendazole is used to treat lymphatic filariasis.,3.2663651650000247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,BM25 + BGE-Reranker,99,Alizarin forms hydrogen bonds with residues involved in PGAM1 substrate binding.,3.473381021000023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,BM25 + BGE-Reranker,100,All hematopoietic stem cells segregate their chromosomes randomly.,3.1838671399991654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,BM25 + BGE-Reranker,113,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,2.8339279969995914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,BM25 + BGE-Reranker,115,Anthrax spores can be disposed of easily after they are dispersed.,2.7545398639995256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SciFact,BM25 + BGE-Reranker,118,Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,2.9278561219998664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
