dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label
TREC-COVID,trec_covid,14,what evidence is there related to COVID-19 super spreaders,p48bw6s4,0.15689905,0.19527625,-0.056017056,1,15,-14,42.12399892726242,1.867117166519165,2,Relevante no qrels,Significance of super spreader events in COVID-19. The number of secondary cases from each primary case determines how fast an epidemic grows. It is known that all cases do not spread the infection equally; super spreaders play an important...,14,p48bw6s4
TREC-COVID,trec_covid,14,what evidence is there related to COVID-19 super spreaders,na3vrf5q,0.15518992,0.19614631,-0.05689053,2,8,-6,42.12399892726242,2.2261013984680176,2,Relevante no qrels,Significance of super spreader events in COVID-19.. The number of secondary cases from each primary case determines how fast an epidemic grows. It is known that all cases do not spread the infection equally; super spreaders play an importan...,6,na3vrf5q
TREC-COVID,trec_covid,14,what evidence is there related to COVID-19 super spreaders,s9dy7iyf,0.071099326,0.18851161,-0.1542355,3,5,-2,36.02290088870339,2.8854708671569824,2,Top 5 BM25 e BGE,COVID-19 Super-spreaders: Definitional Quandaries and Implications. Uncertainty around the role ‘super-spreaders’ play in the transmission and escalation of infectious disease is compounded by its broad and vague definition. It is a term th...,2,s9dy7iyf
TREC-COVID,trec_covid,14,what evidence is there related to COVID-19 super spreaders,v0vjkwy9,0.07380613,0.18904668,-0.1539406,4,6,-2,36.02290088870339,2.854280710220337,2,Relevante no qrels,COVID-19 Super-spreaders: Definitional Quandaries and Implications. Uncertainty around the role 'super-spreaders' play in the transmission and escalation of infectious disease is compounded by its broad and vague definition. It is a term th...,2,v0vjkwy9
TREC-COVID,trec_covid,14,what evidence is there related to COVID-19 super spreaders,cywjp5jh,0.3825962,0.13035308,0.05464431,5,42,-37,34.47101429822959,-1.99228036403656,1,Relevante no qrels,"Spatial super-spreaders and super-susceptibles in human movement networks. As lockdowns and stay-at-home orders start to be lifted across the globe, governments are struggling to establish effective and practical guidelines to reopen their ...",37,cywjp5jh
TREC-COVID,trec_covid,14,what evidence is there related to COVID-19 super spreaders,j74wnaef,0.14616157,-0.12185089,0.08076464,6,30,-24,32.403186387250344,-0.40736910700798035,1,Relevante no qrels,"Super-spreaders in infectious diseases. Summary Early studies that explored host–pathogen interactions assumed that infected individuals within a population have equal chances of transmitting the infection to others. Subsequently, in what b...",24,j74wnaef
TREC-COVID,trec_covid,14,what evidence is there related to COVID-19 super spreaders,8ngri1x0,0.07923839,0.14609435,-0.1694862,7,1,6,31.972955407230884,3.777446746826172,2,Relevante no qrels,"Super-Spreader Businesses and Risk of COVID-19 Transmission. Purpose: The United States has the highest number of confirmed COVID-19 cases in the world to date, with over 94,000 COVID-19-related deaths. The true risk of a COVID-19 resurgenc...",6,8ngri1x0
TREC-COVID,trec_covid,14,what evidence is there related to COVID-19 super spreaders,37katpp3,0.12794842,-0.08688841,-0.031075668,8,12,-4,31.84233157624083,1.9942339658737183,2,Relevante no qrels,"A super-spreader of COVID-19 in Ningbo city in China. An outbreak of Coronavirus Disease 2019 (COVID-19) has spread rapidly. It is imperative to control the epidemic by understanding the epidemiological feature, preventative quarantine, and...",4,37katpp3
TREC-COVID,trec_covid,14,what evidence is there related to COVID-19 super spreaders,q9lfnu6s,0.22019415,0.0147146955,-0.075126864,9,46,-37,31.788170914059307,-2.619210720062256,1,Relevante no qrels,"Using Modelling to Disentangle the Relative Contributions of Zoonotic and Anthroponotic Transmission: The Case of Lassa Fever. BACKGROUND: Zoonotic infections, which transmit from animals to humans, form the majority of new human pathogens....",37,q9lfnu6s
TREC-COVID,trec_covid,14,what evidence is there related to COVID-19 super spreaders,414grqif,0.16016906,-0.04601803,0.04949981,10,44,-34,31.769594364517303,-2.3470778465270996,1,Relevante no qrels,"MERS, SARS, and Ebola: The Role of Super-Spreaders in Infectious Disease. Super-spreading occurs when a single patient infects a disproportionate number of contacts. The 2015 MERS-CoV, 2003 SARS-CoV, and to a lesser extent 2014–15 Ebola vir...",34,414grqif
TREC-COVID,trec_covid,14,what evidence is there related to COVID-19 super spreaders,qla3go2i,0.4015674,0.1056702,-0.047468107,11,17,-6,31.628578801657284,1.6505447626113892,2,Relevante no qrels,Unlinking super-linkers: the topology of epidemic response (Covid-19). A key characteristic of the spread of infectious diseases is their ability to use efficient transmission paths within contact graphs. This enables the pathogen to maximi...,6,qla3go2i
TREC-COVID,trec_covid,14,what evidence is there related to COVID-19 super spreaders,zy1byu51,-0.09832824,0.080984615,-0.26420712,12,60,-48,31.316790625930935,-6.766207218170166,0,Caiu,Children are not COVID-19 super spreaders: time to go back to school.,48,zy1byu51
TREC-COVID,trec_covid,14,what evidence is there related to COVID-19 super spreaders,m005jyta,-0.0886591,0.06787664,-0.27117485,13,57,-44,31.316790625930935,-5.714818477630615,0,Caiu,Children are not COVID-19 super spreaders: time to go back to school..,44,m005jyta
