dataset,query_id,query_text,delta_nDCG@10,rerank_beneficial,query_char_count,query_word_count,query_unique_ratio,query_avg_word_length,query_digit_ratio,query_punctuation_ratio
SciFact,1,0-dimensional biomaterials show inductive properties.,0.0,0,53,6,1.0,7.833333333333333,0.018867924528301886,0.03773584905660377
SciFact,3,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",0.0,0,148,21,0.9047619047619048,6.0476190476190474,0.02702702702702703,0.013513513513513514
SciFact,5,1/2000 in UK have abnormal PrP positivity.,0.0,0,42,8,1.0,4.25,0.11904761904761904,0.047619047619047616
SciFact,13,5% of perinatal mortality is due to low birth weight.,0.0,0,53,10,1.0,4.2,0.018867924528301886,0.03773584905660377
SciFact,36,A deficiency of vitamin B12 increases blood levels of homocysteine.,0.01879027595113203,1,67,10,0.9,5.7,0.029850746268656716,0.014925373134328358
SciFact,42,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,0.0,0,120,15,1.0,6.666666666666667,0.0,0.041666666666666664
SciFact,48,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",0.0,0,78,15,0.9333333333333333,4.2,0.05128205128205128,0.02564102564102564
SciFact,49,ADAR1 binds to Dicer to cleave pre-miRNA.,0.0,0,41,8,0.875,4.125,0.024390243902439025,0.04878048780487805
SciFact,50,AIRE is expressed in some skin tumors.,0.0,0,38,7,1.0,4.428571428571429,0.0,0.02631578947368421
SciFact,51,ALDH1 expression is associated with better breast cancer outcomes.,0.0,0,66,9,1.0,6.333333333333333,0.015151515151515152,0.015151515151515152
SciFact,53,ALDH1 expression is associated with poorer prognosis in breast cancer.,0.0,0,70,10,1.0,6.0,0.014285714285714285,0.014285714285714285
SciFact,54,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,0.14379281289197782,1,100,13,1.0,6.538461538461538,0.0,0.05
SciFact,56,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,0.0,0,129,16,1.0,7.0625,0.007751937984496124,0.015503875968992248
SciFact,57,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation, delaying GABA neuron degeneration.",0.0,0,131,16,1.0,7.125,0.007633587786259542,0.022900763358778626
SciFact,70,Activation of PPM1D suppresses p53 function.,-0.5315494798389231,0,44,6,1.0,6.333333333333333,0.06818181818181818,0.022727272727272728
SciFact,72,Activator-inhibitor pairs are provided dorsally by Admpchordin.,0.6989700043360187,1,63,8,1.0,6.875,0.0,0.031746031746031744
SciFact,75,"Active H. pylori urease has a polymeric structure that compromises two subunits, UreA and UreB.",0.36907024642854247,1,95,15,1.0,5.2,0.0,0.031578947368421054
SciFact,94,Albendazole is used to treat lymphatic filariasis.,0.0,0,50,7,1.0,6.142857142857143,0.0,0.02
SciFact,99,Alizarin forms hydrogen bonds with residues involved in PGAM1 substrate binding.,0.0,0,80,11,1.0,6.2727272727272725,0.0125,0.0125
SciFact,100,All hematopoietic stem cells segregate their chromosomes randomly.,0.0,0,66,8,1.0,7.25,0.0,0.015151515151515152
SciFact,113,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,0.0,0,111,13,1.0,7.538461538461538,0.0,0.009009009009009009
SciFact,115,Anthrax spores can be disposed of easily after they are dispersed.,0.0,0,66,11,1.0,5.0,0.0,0.015151515151515152
SciFact,118,Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,0.0,0,100,12,1.0,7.416666666666667,0.0,0.0
SciFact,124,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,0.0,0,88,13,0.9230769230769231,5.769230769230769,0.011363636363636364,0.011363636363636364
SciFact,127,Arginine 90 in p150n is important for interaction with EB1.,0.5,1,59,10,1.0,4.9,0.1016949152542373,0.01694915254237288
SciFact,128,Arterioles have a larger lumen diameter than venules.,0.13092975357145753,1,53,8,1.0,5.625,0.0,0.018867924528301886
SciFact,129,Articles published in open access format are less likely to be cited than traditional journals.,0.0,0,95,15,1.0,5.333333333333333,0.0,0.010526315789473684
SciFact,130,Articles published in open access format are more likely to be cited than traditional journals.,0.0,0,95,15,1.0,5.333333333333333,0.0,0.010526315789473684
SciFact,132,Aspirin inhibits the production of PGE2.,0.0,0,40,6,1.0,5.666666666666667,0.025,0.025
SciFact,133,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",0.22595595991959372,1,155,22,0.8636363636363636,6.045454545454546,0.012903225806451613,0.025806451612903226
