dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label
TREC-COVID,trec_covid,1,what is the origin of COVID-19,dv9m19yk,0.052845538,-0.1821843,0.24021448,1,9,-8,34.78496572568657,3.9138364791870117,1,Relevante no qrels,"[What is the origin of SARS-CoV-2?]. Every time a pandemic occurs, dozens of theories emerge to attribute the origin of the event to different facts. The COVID-19 pandemic that has hit virtually all the globe has been no exception. What is ...",8,dv9m19yk
TREC-COVID,trec_covid,1,what is the origin of COVID-19,hmvo5b0q,0.14087598,-0.038716804,0.32835534,2,27,-25,27.62010416827735,0.7527142763137817,1,Relevante no qrels,"Understanding Coronavirus. Since the identification of the first cases of the coronavirus in December 2019 in Wuhan, China, there has been a significant amount of confusion regarding the origin and spread of the so-called 'coronavirus', off...",25,hmvo5b0q
TREC-COVID,trec_covid,1,what is the origin of COVID-19,5d7zien3,0.12158287,0.076249376,-0.0020843172,3,31,-28,27.346148251385223,0.5345014333724976,0,Caiu,"The COVID‐19 epidemic of manuscripts. In the midst of the novel coronavirus pandemic—referred to as COVID‐19—there has been much uncertainty. We remain uncertain about its precise origin, its structure and composition, how best to test for ...",28,
TREC-COVID,trec_covid,1,what is the origin of COVID-19,0paafp5j,0.20323808,-0.2698042,-0.14479987,4,4,0,27.31292443396948,4.948669910430908,0,Top 5 BM25 e BGE,"Anesthesia and COVID-19: What We Should Know and What We Should Do.. Coronavirus disease 2019 (COVID-19), caused by Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2), was first reported in Wuhan, Hubei, China, and has spread to m...",0,0paafp5j
TREC-COVID,trec_covid,1,what is the origin of COVID-19,96zsd27n,0.20286569,-0.26737177,-0.14325324,5,5,0,27.31292443396948,4.712624549865723,0,Top 5 BM25 e BGE,"Anesthesia and COVID-19: What We Should Know and What We Should Do. Coronavirus disease 2019 (COVID-19), caused by Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2), was first reported in Wuhan, Hubei, China, and has spread to mo...",0,96zsd27n
TREC-COVID,trec_covid,1,what is the origin of COVID-19,fk60pph3,-0.040033646,0.26351005,0.21239598,6,56,-50,26.73477047209109,-8.876523971557617,0,Caiu,"The Origin and Prevention of Pandemics. Despite the fact that most emerging diseases stem from the transmission of pathogenic agents from animals to humans, the factors that mediate this process are still ill defined. What is known, however...",50,fk60pph3
TREC-COVID,trec_covid,1,what is the origin of COVID-19,fqs40ivc,0.21058796,-0.093841776,0.26759353,7,12,-5,26.51739858260385,3.5751750469207764,1,Relevante no qrels,Emergence of COVID-19 Infection: What Is Known and What Is to Be Expected-Narrative Review Article. BACKGROUND: The discovery of the coronavirus disease 2019 (COVID-19) during a pneumonia outbreak in Wuhan city (China) has raised a global p...,5,fqs40ivc
TREC-COVID,trec_covid,1,what is the origin of COVID-19,fybo3ltn,0.24019215,-0.22335596,0.16290374,8,13,-5,26.07127130458058,3.3839733600616455,0,Caiu,"Diagnosing COVID-19: Did We Miss Anything?. In late 2019, a mass of patients showing symptoms of a pneumonia-like disease of unknown origin emerged in Wuhan, China. Little did the world know it was the prelude of what would be a devastating...",5,
TREC-COVID,trec_covid,1,what is the origin of COVID-19,hf2m7imf,0.15728949,0.26965627,-0.012818157,9,39,-30,25.848257802118077,-0.9125502109527588,0,Caiu,"COVID-19, chronicle of an expected pandemic. What is COVID-19? What are the causes, parameters, and effects of this disease? What are the short- and long-term prospects? Philippe Sansonetti, Infectious disease specialist and Chief Editor of...",30,hf2m7imf
TREC-COVID,trec_covid,1,what is the origin of COVID-19,1ij25a7u,0.11346141,-0.2151983,0.22396164,10,21,-11,25.838871525299528,1.3127442598342896,0,Caiu,"Novel Coronavirus (nCoV): a Bitter Old Enemy in a New Avatar. Currently, pandemic coronavirus disease 2019 (COVID-19) is the biggest threat to all human beings globally. Till June 8, 2020, it has infected 6,931,000 people and caused 400,857...",11,
TREC-COVID,trec_covid,1,what is the origin of COVID-19,xqqn1t4e,0.2470652,0.07604853,0.17851606,11,17,-6,25.826396622889124,2.630891799926758,0,Caiu,"In this issue of Occupational Medicine. The recent COVID-19 outbreak in Wuhan city (Hubei Province of central China), presents significant public health challenges not only in china but across all affected countries worldwide. Koh [1] succi...",6,
TREC-COVID,trec_covid,1,what is the origin of COVID-19,yoy3hj3j,0.20739022,0.23054507,0.007164582,12,43,-31,25.709319620154783,-1.1124424934387207,0,Caiu,"COVID‐19, chronicle of an expected pandemic. What is COVID‐19? What are the causes, parameters, and effects of this disease? What are the short‐ and long‐term prospects? Philippe Sansonetti, Infectious disease specialist and Chief Editor of...",31,yoy3hj3j
TREC-COVID,trec_covid,1,what is the origin of COVID-19,cniyembt,0.0373037,0.265726,0.41675895,13,7,6,25.54302366147516,4.456048965454102,1,Relevante no qrels,Could India be the origin of next COVID-19 like epidemic?. The COVID-19 global pandemic is not even over yet but it has already taught us a lot of lessons - the hard way. The vast majority of the global community has blamed the Chinese Ille...,6,cniyembt
