dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-4555,0.32489735,-0.19193229,0.22967544,1,7,-6,21.18066729929361,-2.8241281509399414,2,Relevante no qrels,Analysis of risk factors for abdominal aortic aneurysm in a cohort of more than 3 million individuals.. BACKGROUND: Abdominal aortic aneurysm (AAA) disease is an insidious condition with an 85% chance of death after rupture. Ultrasound scre...,6,MED-4555
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-4423,0.13570043,-0.57182145,-0.29167795,2,3,-1,18.013049827288647,-1.437382698059082,0,Top 5 BM25 e BGE,The Collateral Network Concept: A Reassessment of the Anatomy of Spinal Cord Perfusion. OBJECTIVE Prevention of paraplegia following repair of thoracoabdominal aortic aneurysms (TAAA) requires understanding the anatomy and physiology of the...,1,MED-4423
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-3180,-0.04734803,-0.5015463,-0.3967991,3,40,-37,15.338709274196294,-6.288968563079834,0,Caiu,Aneurysm and Neurocysticercosis: Casual or Causal Relationship? Case Report and Review of the Literature. Four cases of suggestive inflammatory aneurysms in patients with neurocysticercosis have been described. We report a case of a 49-year...,37,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1705,0.32230523,0.01754693,-0.12242015,4,39,-35,15.111735739248562,-6.279964923858643,0,Caiu,"A turning point for Alzheimer's disease?. Despite an archive of over 73,000 research papers published in the last two decades on the subject of Alzheimer's disease (AD), little clinical progress has been made relative to how people get spor...",35,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-2718,0.105781004,0.21492454,0.15563065,5,41,-36,15.097548522469912,-6.329692363739014,0,Caiu,"Energy Balance and Obesity. This paper describes the interplay among energy intake, energy expenditure and body energy stores and illustrates how an understanding of energy balance can help develop strategies to reduce obesity. First, reduc...",36,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-3427,0.358656,-0.046277657,-0.08180044,6,11,-5,14.01777748830127,-3.227252960205078,0,Caiu,The link between erectile and cardiovascular health: the canary in the coal mine.. Lifestyle and nutrition have been increasingly recognized as central factors influencing vascular nitric oxide (NO) production and erectile function. This re...,5,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-3253,0.4503834,-0.2895404,0.23952876,7,28,-21,13.935315159285919,-4.965199947357178,0,Caiu,Pathobiological determinants of atherosclerosis in youth risk scores are associated with early and advanced atherosclerosis.. OBJECTIVES: Atherosclerosis begins in childhood and progresses during adolescence and young adulthood. The Pathobi...,21,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-4421,0.25091055,-0.19945438,-0.020441588,8,31,-23,13.795205190080903,-5.2733025550842285,0,Caiu,"Effects of watermelon supplementation on aortic blood pressure and wave reflection in individuals with prehypertension: a pilot study.. BACKGROUND: Oral L-citrulline is efficiently converted to L-arginine, the precursor for endothelial nitr...",23,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1467,0.24259894,0.13138513,0.011113193,9,32,-23,13.523492482814095,-5.318769454956055,0,Caiu,"Adiposity and insulin resistance in humans: the role of the different tissue and cellular lipid depots.. Human adiposity has long been associated with insulin resistance and increased cardiovascular risk, and abdominal adiposity is consider...",23,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-4424,0.20679246,-0.3592806,0.111828364,10,9,1,13.409928812338835,-3.1222174167633057,0,Top reranker,"Atherosclerosis and disc degeneration/low-back pain--a systematic review.. OBJECTIVES: Atherosclerosis can obstruct branching arteries of the abdominal aorta, including four paired lumbar arteries and the middle sacral artery that feed the ...",1,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1309,-0.086072624,0.26785493,0.12806432,11,10,1,13.213310678610707,-3.2251203060150146,0,Top reranker,"Oat prevents obesity and abdominal fat distribution, and improves liver function in humans.. Obesity is associated with a great diversity of diseases including non-alcoholic fatty liver disease. Our recent report suggested that oat, rich in...",1,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-4922,0.005617834,0.31383762,-0.12273871,12,60,-48,12.898555913026382,-9.602770805358887,0,Caiu,"A ""glyconutrient sham"".. The discipline of glycobiology contributes to our understanding of human health and disease through research, most of which is published in peer-reviewed scientific journals. Recently, legitimate discoveries in glyc...",48,MED-4922
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-2044,0.19653301,0.19769564,-0.21642192,13,37,-24,12.677897366965187,-6.101104259490967,0,Caiu,Can exercise-related improvements in immunity influence cancer prevention and prognosis in the elderly?. Cancer incidence increases with advancing age. Over 60% of new cancers and 70% of cancer deaths occur in individuals aged 65 years or o...,24,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-2303,0.30390877,0.2045025,0.21022838,14,22,-8,12.446447336637444,-4.432343482971191,0,Caiu,"Balancing life-style and genomics research for disease prevention.. Genetic and environmental factors, including diet and life-style, both contribute to cardiovascular disease, cancers, and other major causes of mortality, but various lines...",8,
