dataset,query_id,bm25_ndcg,bm25_mrr,bm25_recall,bm25_map,reranker_ndcg,reranker_mrr,reranker_recall,reranker_map,delta_nDCG@10,delta_MRR@10,delta_Recall@10,delta_MAP@10,dataset_slug,query,interpretacao
TREC-COVID,47,0.1848893028052299,0.16666666666666666,0.007142857142857143,0.07857142857142856,0.7645308661049757,1.0,0.01904761904761905,0.788888888888889,0.5796415632997458,0.8333333333333334,0.011904761904761908,0.7103174603174605,trec_covid,what are the health outcomes for children who contract COVID-19?,reranker melhorou o ranking da query no topo
TREC-COVID,11,0.0,0.0,0.0,0.0,0.4690000933206748,1.0,0.007228915662650603,0.3,0.4690000933206748,1.0,0.007228915662650603,0.3,trec_covid,what are the guidelines for triaging patients infected with coronavirus?,reranker melhorou o ranking da query no topo
TREC-COVID,37,0.25983227167304035,0.5,0.006666666666666667,0.13999999999999999,0.6997742431027909,1.0,0.02,0.7571031746031747,0.43994197142975056,0.5,0.013333333333333332,0.6171031746031747,trec_covid,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,reranker melhorou o ranking da query no topo
TREC-COVID,32,0.13886244387355454,0.5,0.004629629629629629,0.05,0.5637884576902256,1.0,0.018518518518518517,0.4,0.42492601381667106,0.5,0.013888888888888888,0.35000000000000003,trec_covid,"Does SARS-CoV-2 have any subtypes, and if so what are they?",reranker melhorou o ranking da query no topo
TREC-COVID,26,0.407793217603673,1.0,0.005141388174807198,0.22194444444444442,0.8205228949141826,1.0,0.010282776349614395,0.6818253968253967,0.41272967731050964,0.0,0.005141388174807198,0.4598809523809523,trec_covid,what are the initial symptoms of Covid-19?,reranker melhorou o ranking da query no topo
TREC-COVID,2,0.4658996209235437,0.3333333333333333,0.01910828025477707,0.3296428571428571,0.7958221994596777,1.0,0.025477707006369428,0.78,0.329922578536134,0.6666666666666667,0.006369426751592359,0.4503571428571429,trec_covid,how does the coronavirus respond to changes in the weather,reranker melhorou o ranking da query no topo
TREC-COVID,50,0.19125630062807827,0.2,0.021897810218978103,0.08607142857142858,0.5173633627401372,1.0,0.029197080291970802,0.315,0.32610706211205887,0.8,0.007299270072992699,0.22892857142857143,trec_covid,what is known about an mRNA vaccine for the SARS-CoV-2 virus?,reranker melhorou o ranking da query no topo
TREC-COVID,46,0.22101098802379993,0.2,0.027472527472527472,0.20174603174603173,0.5173633627401372,1.0,0.02197802197802198,0.315,0.29635237471633724,0.8,-0.005494505494505492,0.11325396825396827,trec_covid,what evidence is there for dexamethasone as a treatment for COVID-19?,reranker melhorou o ranking da query no topo
TREC-COVID,1,0.21615906613549737,1.0,0.004709576138147566,0.24285714285714283,0.4836253695564513,1.0,0.01098901098901099,0.575,0.2674663034209539,0.0,0.0062794348508634235,0.33214285714285713,trec_covid,what is the origin of COVID-19,reranker melhorou o ranking da query no topo
TREC-COVID,6,0.6378891765242928,0.5,0.0072992700729927005,0.4958730158730159,0.8884746192941302,1.0,0.009384775808133473,0.8521031746031745,0.2505854427698374,0.5,0.0020855057351407726,0.3562301587301586,trec_covid,what types of rapid testing for Covid-19 have been developed?,reranker melhorou o ranking da query no topo
TREC-COVID,9,0.1266477020552659,0.25,0.015706806282722512,0.10785714285714285,0.34181895781690264,0.3333333333333333,0.020942408376963352,0.16619047619047617,0.21517125576163673,0.08333333333333331,0.00523560209424084,0.05833333333333332,trec_covid,how has COVID-19 affected Canada,reranker melhorou o ranking da query no topo
TREC-COVID,34,0.4220949603708207,0.5,0.023255813953488372,0.2583333333333333,0.629085439713692,1.0,0.040697674418604654,0.619047619047619,0.2069904793428713,0.5,0.017441860465116282,0.36071428571428565,trec_covid,What are the longer-term complications of those who recover from COVID-19?,reranker melhorou o ranking da query no topo
