dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label,direction
TREC-COVID,trec_covid,21,what are the mortality rates overall and in specific populations,vzmn6zep,-0.2631081,0.087739944,-0.14119495,60,9,51,29.044413538149225,0.327732115983963,2,Relevante no qrels,"The potential effect of the African population age structure on COVID-19 mortality. Currently (mid May 2020), most active cases of COVID-19 are found in Europe and North America while it is still in the initial phases in Africa. As COVID-19...",51,vzmn6zep,Subiu
TREC-COVID,trec_covid,21,what are the mortality rates overall and in specific populations,l42w2jyk,-0.14999355,-0.21846174,0.32124546,53,3,50,29.296859064744854,0.92573082447052,0,Top reranker,"Is investing in religious institutions a viable pathway to reduce mortality in the population?. There is established and consistent findings from epidemiologic studies, among individuals, that religion— broadly assessed through frequency of...",50,l42w2jyk,Subiu
TREC-COVID,trec_covid,21,what are the mortality rates overall and in specific populations,sgg922q5,0.11171815,0.2678603,-0.15947318,52,10,42,29.355855186330814,0.2864389419555664,0,Top reranker,Age-specific and sex-specific morbidity and mortality from avian influenza A(H7N9). Abstract We used data on age and sex for 136 laboratory confirmed human A(H7N9) cases reported as of 11 August 2013 to compare age-specific and sex-specific...,42,sgg922q5,Subiu
TREC-COVID,trec_covid,21,what are the mortality rates overall and in specific populations,j5p5mtiq,0.12803292,0.26382098,-0.13646644,45,6,39,29.590702498927307,0.7255216836929321,0,Top reranker,Excess mortality from seasonal influenza is negligible below the age of 50 in Israel: implications for vaccine policy. PURPOSE: Evaluation of the severity of pandemic influenza requires reliable estimates of mortality attributable to the se...,39,j5p5mtiq,Subiu
TREC-COVID,trec_covid,21,what are the mortality rates overall and in specific populations,iwqr2d0r,0.36225453,0.15712523,-0.036460336,55,20,35,29.17615353346613,-0.5985395908355713,0,Subiu,"Descriptive epidemiology of fatal respiratory outbreaks and detection of a human‐related metapneumovirus in wild chimpanzees (Pan troglodytes) at Mahale Mountains National Park, Western Tanzania. Over the past several years, acute and fatal...",35,,Subiu
TREC-COVID,trec_covid,21,what are the mortality rates overall and in specific populations,qabil0vc,0.24503487,-0.18933365,-0.087681696,39,8,31,30.096240968131262,0.6504088640213013,0,Top reranker,"Burden of serious fungal infections in the Netherlands. BACKGROUND: Fungal diseases have an ever‐increasing global disease burden, although regional estimates for specific fungal diseases are often unavailable or dispersed. OBJECTIVES: Here...",31,qabil0vc,Subiu
TREC-COVID,trec_covid,21,what are the mortality rates overall and in specific populations,ex28i7he,0.24344593,0.062619425,-0.12748641,57,27,30,29.085439359664534,-1.016800880432129,0,Subiu,Epidemiological features of and changes in incidence of infectious diseases in China in the first decade after the SARS outbreak: an observational trend study. Summary Background The model of infectious disease prevention and control change...,30,,Subiu
TREC-COVID,trec_covid,21,what are the mortality rates overall and in specific populations,fyna1euk,-0.28569958,-0.28145096,0.10639676,49,23,26,29.476238947789135,-0.8943178653717041,2,Relevante no qrels,Improved measurement of racial/ethnic disparities in COVID-19 mortality in the United States. Different estimation methods produce diverging accounts of racial/ethnic disparities in COVID-19 mortality in the United States. The Center for Di...,26,fyna1euk,Subiu
TREC-COVID,trec_covid,21,what are the mortality rates overall and in specific populations,0tz35c3x,0.021668915,-0.37162262,-0.31076008,56,32,24,29.165878132176825,-1.273537278175354,0,Subiu,"Evaluation of modified Estimation of Physiologic Ability and Surgical Stress in gastric carcinoma surgery.. BACKGROUND We recently modified our prediction scoring system ""Estimation of Physiologic Ability and Surgical Stress"" and have desig...",24,,Subiu
TREC-COVID,trec_covid,21,what are the mortality rates overall and in specific populations,ao5676lc,-0.069188856,0.20552826,-0.0604719,24,1,23,30.716236024169113,1.355372667312622,0,Top reranker,Global Mortality Impact of the 1957–1959 Influenza Pandemic. Background. Quantitative estimates of the global burden of the 1957 influenza pandemic are lacking. Here we fill this gap by modeling historical mortality statistics. Methods. We ...,23,ao5676lc,Subiu
TREC-COVID,trec_covid,21,what are the mortality rates overall and in specific populations,lr4l368z,-0.15970239,-0.20691389,-0.20564061,35,14,21,30.21434169448122,-0.15899032354354858,0,Subiu,"Mortality among dentists in Taiwan, 1985–2009. Background/Purpose Controversy exists in the literature regarding whether dentists with multiple occupational exposures suffer from premature mortality. A cohort mortality study was conducted t...",21,,Subiu
TREC-COVID,trec_covid,21,what are the mortality rates overall and in specific populations,h0plbvg3,0.10405367,0.21090649,0.14591669,40,19,21,30.046657587001338,-0.581781268119812,1,Relevante no qrels,"On case-fatality rate: review and hypothesis.. The relationship between log cumulative number of patients (X) and that of deaths (Y) in an epidemic follows the equation logY = klogX - klogN(0), where k is a constant determining the slope an...",21,h0plbvg3,Subiu
TREC-COVID,trec_covid,21,what are the mortality rates overall and in specific populations,osyoizng,-0.063032635,0.11322132,-0.18514208,31,11,20,30.4573616071216,0.21551385521888733,0,Subiu,"Trends in Infectious Disease Mortality, South Korea, 1983–2015. We used national statistics from 1983–2015 to evaluate trends in mortality caused by infectious diseases in South Korea. Age-standardized mortality from infectious disease decr...",20,,Subiu
TREC-COVID,trec_covid,21,what are the mortality rates overall and in specific populations,l7qozj7u,0.14428018,-0.5455829,0.050046366,44,24,20,29.637622091754434,-0.9102239608764648,0,Subiu,"Asthma prevalence and control characteristics by race/ethnicity--United States, 2002.. During 1980-1999, asthma prevalence, morbidity, and mortality increased among U.S. adults. These annual rates were higher among certain racial/ethnic min...",20,,Subiu
