dataset,query_id,bm25_ndcg,bm25_mrr,bm25_recall,bm25_map,reranker_ndcg,reranker_mrr,reranker_recall,reranker_map,delta_nDCG@10,delta_MRR@10,delta_Recall@10,delta_MAP@10,dataset_slug,query,interpretacao
NF-Corpus,PLAIN-3151,0.07716607426375235,0.1,0.05555555555555555,0.01,0.6911751783860757,1.0,0.3333333333333333,0.4308333333333333,0.6140091041223233,0.9,0.2777777777777778,0.4208333333333333,nfcorpus,Too Much Iodine Can Be as Bad as Too Little,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-1537,0.0,0.0,0.0,0.0,0.5481351590340573,0.5,0.13333333333333333,0.37249999999999994,0.5481351590340573,0.5,0.13333333333333333,0.37249999999999994,nfcorpus,low-carb diets,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-1635,0.5017100640839688,0.5,0.013921113689095127,0.3055555555555556,0.9266360779006401,1.0,0.02088167053364269,0.866388888888889,0.4249260138166713,0.5,0.0069605568445475635,0.5608333333333334,nfcorpus,milk,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-827,0.43808927588501717,0.5,0.020491803278688523,0.24555555555555558,0.8611375561264454,1.0,0.036885245901639344,0.7571031746031747,0.4230482802414282,0.5,0.01639344262295082,0.5115476190476191,nfcorpus,carcinogens,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-1441,0.4288398090337664,0.5,0.021505376344086023,0.27166666666666667,0.8512360941594274,1.0,0.043010752688172046,0.745436507936508,0.42239628512566096,0.5,0.021505376344086023,0.4737698412698413,nfcorpus,Japan,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-2730,0.31400945942777175,0.3333333333333333,0.13793103448275862,0.14952380952380953,0.7228077339137017,1.0,0.20689655172413793,0.4864285714285714,0.4087982744859299,0.6666666666666667,0.06896551724137931,0.3369047619047618,nfcorpus,Anti-Angiogenesis: Cutting Off Tumor Supply Lines,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-1409,0.06362078819895171,0.1,0.003952569169960474,0.01,0.3971921948634016,0.5,0.015810276679841896,0.22666666666666666,0.3335714066644499,0.4,0.011857707509881422,0.21666666666666665,nfcorpus,industrial toxins,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-207,0.2866919347890071,0.5,0.05454545454545454,0.12083333333333332,0.6046855387118412,1.0,0.09090909090909091,0.40555555555555556,0.31799360392283404,0.5,0.03636363636363637,0.2847222222222222,nfcorpus,Avoiding Cooked Meat Carcinogens,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-165,0.21454222631433517,0.5,0.08333333333333333,0.14999999999999997,0.5298517090631136,1.0,0.1388888888888889,0.3319444444444445,0.31530948274877846,0.5,0.055555555555555566,0.18194444444444452,nfcorpus,Breast Cancer & Alcohol: How Much is Safe?,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-3382,0.2684006981258608,1.0,0.21428571428571427,0.16666666666666666,0.5768260756109673,1.0,0.2857142857142857,0.4,0.3084253774851065,0.0,0.07142857142857142,0.23333333333333336,nfcorpus,Are Artificial Colors Bad for You?,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-3422,0.03542769807752961,0.1111111111111111,0.03225806451612903,0.01111111111111111,0.30793074344000987,1.0,0.0967741935483871,0.15833333333333333,0.27250304536248027,0.8888888888888888,0.06451612903225806,0.14722222222222223,nfcorpus,Vitamin Supplements Worth Taking,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-2261,0.44903378752009243,0.5,0.08333333333333333,0.2571428571428571,0.715550648768261,1.0,0.1,0.569047619047619,0.2665168612481686,0.5,0.016666666666666677,0.3119047619047619,nfcorpus,trans fats,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-2600,0.1976921351711604,0.2,0.2,0.045,0.4590828233913731,1.0,0.2,0.2,0.26139068822021266,0.8,0.0,0.15500000000000003,nfcorpus,Eggs and Arterial Function,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-1262,0.2082936658103318,0.5,0.2,0.075,0.4690000933206748,1.0,0.3,0.3,0.260706427510343,0.5,0.09999999999999998,0.22499999999999998,nfcorpus,Global Burden of Disease Study,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-701,0.361879195385413,1.0,0.25,0.1875,0.6012628110727576,1.0,0.5,0.40625,0.23938361568734456,0.0,0.25,0.21875,nfcorpus,black raspberries,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-987,0.23463936301137822,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.46927872602275644,1.0,0.3333333333333333,0.3333333333333333,0.23463936301137822,0.6666666666666667,0.0,0.2222222222222222,nfcorpus,cumin,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-383,0.10699313236726378,0.125,0.2,0.025,0.3391602052736161,1.0,0.2,0.2,0.23216707290635236,0.875,0.0,0.17500000000000002,nfcorpus,What do you think of Dr. Jenkins' take on paleolithic diets?,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-3181,0.0,0.0,0.0,0.0,0.22400556151517553,0.5,0.07407407407407407,0.09,0.22400556151517553,0.5,0.07407407407407407,0.09,nfcorpus,Is Dragon Fruit Good For You?,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-2690,0.06943122193677727,0.5,0.023255813953488372,0.05,0.28952298823485745,1.0,0.046511627906976744,0.2,0.2200917662980802,0.5,0.023255813953488372,0.15000000000000002,nfcorpus,Chronic Headaches and Pork Tapeworms,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-2740,0.45545502446461517,0.5,0.08,0.23166666666666663,0.6563570285653477,1.0,0.1,0.3726984126984127,0.20090200410073256,0.5,0.020000000000000004,0.14103174603174606,nfcorpus,Cancer Risk From CT Scan Radiation,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-102,0.12530682344457728,0.2,0.041666666666666664,0.02,0.3239134396887189,1.0,0.041666666666666664,0.1,0.1986066162441416,0.8,0.0,0.08,nfcorpus,Stopping Heart Disease in Childhood,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-2900,0.08879873949105598,0.125,0.08333333333333333,0.0125,0.2814853444092611,1.0,0.08333333333333333,0.1,0.1926866049182051,0.875,0.0,0.08750000000000001,nfcorpus,Boosting Good Bacteria in the Colon Without Probiotics,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-2680,0.2705340951674102,0.5,0.14285714285714285,0.1,0.45263779293556244,0.5,0.2857142857142857,0.20666666666666664,0.18210369776815222,0.0,0.14285714285714285,0.10666666666666663,nfcorpus,Counteracting the Effects of Dioxins Through Diet,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-956,0.3882047626431879,0.25,0.024271844660194174,0.2094444444444444,0.5670429581667766,1.0,0.024271844660194174,0.36476190476190473,0.17883819552358876,0.75,0.0,0.15531746031746033,nfcorpus,cooking methods,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-2102,0.5352543167750639,1.0,0.009501187648456057,0.34444444444444444,0.7065632165480471,1.0,0.0166270783847981,0.5164285714285715,0.17130889977298325,0.0,0.007125890736342042,0.17198412698412702,nfcorpus,smoking,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-3352,0.0,0.0,0.0,0.0,0.16195671984435944,1.0,0.02564102564102564,0.1,0.16195671984435944,1.0,0.02564102564102564,0.1,nfcorpus,Boosting Heart Nerve Control,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-3312,0.12065389290783826,0.16666666666666666,0.15384615384615385,0.041666666666666664,0.28232225823355495,0.3333333333333333,0.3076923076923077,0.15666666666666665,0.16166836532571668,0.16666666666666666,0.15384615384615385,0.11499999999999999,nfcorpus,Sexually Transmitted Fish Toxin,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-2700,0.1890570933316362,0.5,0.1,0.05,0.3495898039969803,1.0,0.2,0.12857142857142856,0.1605327106653441,0.5,0.1,0.07857142857142856,nfcorpus,Heart Disease Starts in Childhood,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-613,0.06362078819895171,0.1,0.1,0.01,0.22009176629808017,1.0,0.1,0.1,0.15647097809912847,0.9,0.0,0.09000000000000001,nfcorpus,ascorbic acid,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-270,0.22009176629808017,1.0,0.019230769230769232,0.1,0.37566986542073233,0.5,0.07692307692307693,0.19,0.15557809912265216,-0.5,0.057692307692307696,0.09,nfcorpus,Is Caffeinated Tea Really Dehydrating?,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-966,0.14126697285982898,0.1111111111111111,0.3333333333333333,0.037037037037037035,0.2960819109658652,0.5,0.3333333333333333,0.16666666666666666,0.15481493810603625,0.3888888888888889,0.0,0.12962962962962962,nfcorpus,cortisol,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-977,0.14126697285982898,0.1111111111111111,0.3333333333333333,0.037037037037037035,0.2960819109658652,0.5,0.3333333333333333,0.16666666666666666,0.15481493810603625,0.3888888888888889,0.0,0.12962962962962962,nfcorpus,crib death,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-2560,0.78180487222265,1.0,0.3333333333333333,0.6468253968253967,0.9363792118010483,1.0,0.42857142857142855,0.9,0.15457433957839828,0.0,0.09523809523809523,0.2531746031746033,nfcorpus,Childhood Constipation and Cow’s Milk,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-761,0.15130120674940672,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.30260241349881345,1.0,0.16666666666666666,0.16666666666666666,0.15130120674940672,0.6666666666666667,0.0,0.1111111111111111,nfcorpus,breast pain,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-2670,0.2996484034259831,1.0,0.02857142857142857,0.1,0.44947260513897463,1.0,0.05714285714285714,0.16666666666666666,0.14982420171299154,0.0,0.02857142857142857,0.06666666666666665,nfcorpus,Is Caramel Color Carcinogenic?,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-1225,0.5363559634917963,0.5,0.2222222222222222,0.35297619047619044,0.6809047493604335,1.0,0.2222222222222222,0.49833333333333324,0.1445487858686373,0.5,0.0,0.1453571428571428,nfcorpus,fructose,reranker melhorou o ranking da query no topo
NF-Corpus,PLAIN-1762,0.26852556974265224,0.5,0.25,0.125,0.41253177989255346,1.0,0.25,0.25,0.14400621014990123,0.5,0.0,0.125,nfcorpus,oral intraepithelial neoplasia,reranker melhorou o ranking da query no topo
