dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label,direction
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-1258,-0.36791697,0.03243972,-0.3541927,52,2,50,8.553874711401699,-1.3975433111190796,0,Top reranker,"The effect of combining plant sterols, soy protein, viscous fibers, and almonds in treating hypercholesterolemia.. Reductions in low-density lipoprotein-cholesterol (LDL-C) result from diets containing almonds, or diets that are either low ...",50,MED-1258,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2258,0.17115726,0.15110952,0.057905428,59,10,49,8.43867735318429,-4.754579067230225,0,Top reranker,"Environmental cadmium and breast cancer risk. Breast cancer is the most prevalent women's cancer, with an age-adjusted incidence of 122.9 per 100,000 US women. Cadmium, a ubiquitous carcinogenic pollutant with multiple biological effects, h...",49,MED-2258,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2525,-0.45546997,0.091236286,-0.25545326,50,4,46,8.648372933129671,-2.2902979850769043,0,Top reranker,A global survey of physicians' perceptions on cholesterol management: the From The Heart study.. AIMS: Guidelines for cardiovascular disease (CVD) prevention cite high levels of low-density lipoprotein cholesterol (LDL-C) as a major risk fa...,46,MED-2525,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2824,0.3086692,-0.3504872,-0.06459701,51,14,37,8.587902800364875,-5.385636329650879,0,Subiu,"Curcumin and cancer: an ""old-age"" disease with an ""age-old"" solution.. Cancer is primarily a disease of old age, and that life style plays a major role in the development of most cancers is now well recognized. While plant-based formulation...",37,MED-2824,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-4532,0.38582593,-0.3086812,0.019045986,48,12,36,8.773561616127168,-4.9922637939453125,0,Subiu,"Cytotoxic response of breast cancer cell lines, MCF 7 and T 47 D to triphala and its modification by antioxidants.. The cytotoxic effects of Triphala (TPL), an Indian Ayurvedic formulation with known anti-cancer properties, has been investi...",36,MED-4532,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2437,0.27365202,0.43215513,-0.08348685,58,24,34,8.45510463302227,-6.613009452819824,1,Relevante no qrels,Diet and breast cancer: understanding risks and benefits.. BACKGROUND: Breast cancer is the most commonly diagnosed cancer among women in the United States. Extensive research has been completed to evaluate the relationship between dietary ...,34,MED-2437,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-1490,-0.33154112,-0.040811174,0.042005,55,25,30,8.49018555648253,-6.666190147399902,0,Subiu,Are preventive drugs preventive enough? A study of patients' expectation of benefit from preventive drugs.. OBJECTIVES: The study aimed to find the threshold of benefit for a hypothetical cholesterol-lowering drug below which the subject wo...,30,,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2440,-0.0862821,0.13418706,-0.24779338,35,8,27,9.490311001379908,-4.286782741546631,1,Relevante no qrels,"Total Cholesterol and Cancer Risk in a Large Prospective Study in Korea. Purpose To further clarify the relationship between total cholesterol and cancer, which remains unclear. Methods We prospectively examined the association between tota...",27,MED-2440,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-3875,0.30805132,-0.36483234,0.027381912,56,33,23,8.484071104389436,-7.357534408569336,0,Subiu,"Effect of mammalian lignans on the growth of prostate cancer cell lines.. BACKGROUND: Mammalian lignans, enterolactone (EL) and enterodiol (ED), have been shown to inhibit breast and colon carcinoma. To date, there have been no reports of t...",23,,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-4694,0.14530848,0.1284967,0.2508715,60,38,22,8.431200318634197,-8.025655746459961,0,Subiu,"Total visual blindness is protective against breast cancer.. OBJECTIVE: Observational data, though sparse and based on small studies with limited ability to control for known breast cancer risk factors, support a lower risk of breast cancer...",22,,Subiu
