dataset,query_id,bm25_ndcg,bm25_mrr,bm25_recall,bm25_map,reranker_ndcg,reranker_mrr,reranker_recall,reranker_map,delta_nDCG@10,delta_MRR@10,delta_Recall@10,delta_MAP@10,dataset_slug,query,interpretacao
SciFact,294,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,scifact,Crossover hot spots are not found within gene promoters in Saccharomyces cerevisiae.,reranker piorou o ranking da query no topo
SciFact,513,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,scifact,High cardiopulmonary fitness causes increased mortality rate.,reranker piorou o ranking da query no topo
SciFact,1303,1.0,1.0,1.0,1.0,0.3333333333333333,0.14285714285714285,1.0,0.14285714285714285,-0.6666666666666667,-0.8571428571428572,0.0,-0.8571428571428572,scifact,Tirasemtiv has no effect on fast-twitch muscle.,reranker piorou o ranking da query no topo
SciFact,521,1.0,1.0,1.0,1.0,0.38685280723454163,0.2,1.0,0.2,-0.6131471927654584,-0.8,0.0,-0.8,scifact,High-sensitivity cardiac troponin T (HSCT-T) dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before acute myocardial injury (AMI).,reranker piorou o ranking da query no topo
SciFact,70,1.0,1.0,1.0,1.0,0.46845052016107697,0.25,1.0,0.26785714285714285,-0.5315494798389231,-0.75,0.0,-0.7321428571428572,scifact,Activation of PPM1D suppresses p53 function.,reranker piorou o ranking da query no topo
SciFact,507,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.3333333333333333,-0.5,-0.6666666666666667,0.0,-0.6666666666666667,scifact,Helminths interfere with immune system control of macrophages activated by IL-4 favor Mycobacterium tuberculosis replication.,reranker piorou o ranking da query no topo
SciFact,1204,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.3333333333333333,-0.5,-0.6666666666666667,0.0,-0.6666666666666667,scifact,The combination of H3K4me3 and H3K79me2 is found in quiescent hair follicle stem cells.,reranker piorou o ranking da query no topo
SciFact,388,0.5,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,-0.5,-0.3333333333333333,-1.0,-0.3333333333333333,scifact,Ethanol stress decreases the expression of IBP in bacteria.,reranker piorou o ranking da query no topo
SciFact,551,0.43067655807339306,0.25,1.0,0.25,0.0,0.0,0.0,0.0,-0.43067655807339306,-0.25,-1.0,-0.25,scifact,ITAM phosphorylation prevents the transfer of the T cell receptor (TCR) signal from the echo-domain to the cytoplasmic tail of the T cell receptor (TCR).,reranker piorou o ranking da query no topo
SciFact,1320,1.0,1.0,1.0,1.0,0.6309297535714575,0.5,1.0,0.5,-0.36907024642854247,-0.5,0.0,-0.5,scifact,Transplanted human glial progenitor cells are incapable of forming a neural network with host animals' neurons.,reranker piorou o ranking da query no topo
TREC-COVID,14,0.8532918008631815,1.0,0.0392156862745098,1.0,0.08514311764162098,0.2,0.00392156862745098,0.02,-0.7681486832215605,-0.8,-0.03529411764705882,-0.98,trec_covid,what evidence is there related to COVID-19 super spreaders,reranker piorou o ranking da query no topo
TREC-COVID,21,0.6515213700280398,0.5,0.012698412698412698,0.5877777777777778,0.29659339675602525,0.2,0.006349206349206349,0.13083333333333333,-0.35492797327201453,-0.3,-0.006349206349206349,-0.4569444444444445,trec_covid,what are the mortality rates overall and in specific populations,reranker piorou o ranking da query no topo
TREC-COVID,3,0.6471864012386492,1.0,0.011146496815286623,0.5782142857142857,0.3129069660616436,1.0,0.007961783439490446,0.26051587301587303,-0.33427943517700565,0.0,-0.0031847133757961776,-0.31769841269841265,trec_covid,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,reranker piorou o ranking da query no topo
TREC-COVID,48,0.8817297706311845,1.0,0.02027027027027027,0.8354365079365079,0.5556227085191257,1.0,0.01126126126126126,0.3822222222222222,-0.32610706211205887,0.0,-0.00900900900900901,-0.45321428571428574,trec_covid,what are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?,reranker piorou o ranking da query no topo
TREC-COVID,27,0.5150966638129112,1.0,0.007067137809187279,0.35555555555555557,0.2327119414554839,0.5,0.004711425206124852,0.18285714285714288,-0.2823847223574273,-0.5,-0.0023557126030624266,-0.17269841269841268,trec_covid,what is known about those infected with Covid-19 but are asymptomatic?,reranker piorou o ranking da query no topo
TREC-COVID,5,0.6886909856522943,1.0,0.011400651465798045,0.5782142857142857,0.45821928353743857,0.5,0.009771986970684038,0.33936507936507937,-0.23047170211485568,-0.5,-0.0016286644951140072,-0.2388492063492063,trec_covid,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?,reranker piorou o ranking da query no topo
TREC-COVID,15,0.251902160397556,1.0,0.004728132387706856,0.12,0.07336392209936005,0.14285714285714285,0.002364066193853428,0.014285714285714285,-0.17853823829819593,-0.8571428571428572,-0.002364066193853428,-0.1057142857142857,trec_covid,how long can the coronavirus live outside the body,reranker piorou o ranking da query no topo
TREC-COVID,19,0.3978202572925396,0.5,0.05405405405405406,0.41809523809523813,0.29774733445463286,1.0,0.036036036036036036,0.3044444444444444,-0.10007292283790675,0.5,-0.01801801801801802,-0.11365079365079372,trec_covid,what type of hand sanitizer is needed to destroy Covid-19?,reranker piorou o ranking da query no topo
TREC-COVID,36,0.933745776545611,1.0,0.014729950900163666,0.89,0.8521705090845474,1.0,0.01309328968903437,0.7434920634920634,-0.08157526746106358,0.0,-0.0016366612111292957,-0.1465079365079366,trec_covid,What is the protein structure of the SARS-CoV-2 spike?,reranker piorou o ranking da query no topo
TREC-COVID,49,0.1584091525685025,0.25,0.008097165991902834,0.045,0.1257924511634507,0.25,0.008097165991902834,0.05833333333333333,-0.032616701405051796,0.0,0.0,0.013333333333333329,trec_covid,"do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and T-cell mediated immunity, to prevent re-infection?",reranker piorou o ranking da query no topo
NF-Corpus,PLAIN-3074,1.0,1.0,1.0,1.0,0.3010299956639812,0.1111111111111111,1.0,0.1111111111111111,-0.6989700043360187,-0.8888888888888888,0.0,-0.8888888888888888,nfcorpus,How to Help Prevent Abdominal Aortic Aneurysms,reranker piorou o ranking da query no topo
