dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label,direction
SciFact,scifact,1303,Tirasemtiv has no effect on fast-twitch muscle.,20363389,0.08067904,0.14135854,-0.050582383,51,9,42,7.131324079402536,-8.169976234436035,0,Top reranker,"Cloning of rat uncoupling protein-3 and uncoupling protein-2 cDNAs: their gene expression in rats fed high-fat diet.. In order to elucidate energy balance in the skeletal muscle, we cloned cDNA of a homologue of uncoupling protein (UCP) fro...",42,20363389,Subiu
SciFact,scifact,1303,Tirasemtiv has no effect on fast-twitch muscle.,6417632,-0.11517312,-0.01775882,-0.16129221,48,7,41,7.245382600393079,-7.786867141723633,0,Top reranker,"Neutrophilic infiltration within the airway smooth muscle in patients with COPD.. BACKGROUND COPD is an inflammatory disorder characterised by chronic airflow limitation, but the extent to which airway inflammation is related to functional ...",41,6417632,Subiu
SciFact,scifact,1303,Tirasemtiv has no effect on fast-twitch muscle.,5431268,-0.38613027,-0.21795736,-0.1604975,54,19,35,6.976152421645134,-8.983023643493652,0,Subiu,Role of common hypnotics on the phenotypic causes of obstructive sleep apnoea: paradoxical effects of zolpidem.. Hypnotics are contraindicated in obstructive sleep apnoea (OSA) because of concerns of pharyngeal muscle relaxation and delayed...,35,5431268,Subiu
SciFact,scifact,1303,Tirasemtiv has no effect on fast-twitch muscle.,7734150,-0.35868603,0.09072177,-0.04287937,39,6,33,7.479524955721351,-7.783132076263428,0,Top reranker,"Diaphragm Atrophy and Contractile Dysfunction in a Murine Model of Pulmonary Hypertension. Pulmonary hypertension (PH) causes loss of body weight and inspiratory (diaphragm) muscle dysfunction. A model of PH induced by drug (monocrotaline, ...",33,7734150,Subiu
SciFact,scifact,1303,Tirasemtiv has no effect on fast-twitch muscle.,46743299,-0.3565868,0.26733437,0.1050657,49,16,33,7.157078859134649,-8.664745330810547,0,Subiu,Chronic Exercise Increases Both Inducible and Endothelial Nitric Oxide Synthase Gene Expression in Endothelial Cells of Rat Aorta. Chronic exercise upregulates endothelial nitric oxide synthase (eNOS) gene expression. Whether the expression...,33,46743299,Subiu
SciFact,scifact,1303,Tirasemtiv has no effect on fast-twitch muscle.,25822299,-0.360379,0.17365906,0.22966386,44,13,31,7.374669277679059,-8.466059684753418,0,Subiu,"Effects of exercise training of 8 weeks and detraining on plasma levels of endothelium-derived factors, endothelin-1 and nitric oxide, in healthy young humans.. Vascular endothelial cells produce nitric oxide (NO), which is a potent vasodil...",31,,Subiu
SciFact,scifact,1303,Tirasemtiv has no effect on fast-twitch muscle.,23974474,-0.05564171,0.057726424,0.15818128,57,27,30,6.889645274988357,-9.502298355102539,0,Subiu,PKD1 Inhibits AMPKα2 through Phosphorylation of Serine 491 and Impairs Insulin Signaling in Skeletal Muscle Cells.. AMP-activated protein kinase (AMPK) is an energy-sensing enzyme whose activity is inhibited in settings of insulin resistanc...,30,,Subiu
SciFact,scifact,1303,Tirasemtiv has no effect on fast-twitch muscle.,17546486,0.1372851,0.31504837,0.13714667,41,11,30,7.43262757238224,-8.311466217041016,0,Subiu,Angiotensin II Evokes Angiogenic Signals within Skeletal Muscle through Co-ordinated Effects on Skeletal Myocytes and Endothelial Cells. Skeletal muscle overload induces the expression of angiogenic factors such as vascular endothelial grow...,30,,Subiu
SciFact,scifact,1303,Tirasemtiv has no effect on fast-twitch muscle.,19204979,0.27184534,0.14914094,0.24096486,55,26,29,6.963865680692602,-9.474969863891602,0,Subiu,"Pericytes of human skeletal muscle are myogenic precursors distinct from satellite cells. Cells derived from blood vessels of human skeletal muscle can regenerate skeletal muscle, similarly to embryonic mesoangioblasts. However, adult cells...",29,,Subiu
SciFact,scifact,1303,Tirasemtiv has no effect on fast-twitch muscle.,29657303,-0.5147434,-0.11674596,0.063921496,25,4,21,8.639185022539817,-7.486022472381592,0,Top reranker,"Anorectic drugs and pulmonary hypertension from the bedside to the bench.. Anorectic drugs have been used for more than 30 years as an aid in weight reduction for obese persons. The use of aminorex, an amphetamine analog that increases nore...",21,29657303,Subiu
