dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label,direction
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,1900152,0.10388572,-0.019458272,-0.4156208,53,13,40,15.040156134540494,-3.4823741912841797,0,Subiu,Beyond melanoma: inhibiting the PD-1/PD-L1 pathway in solid tumors.. Immune checkpoint inhibitors have been identified as breakthrough treatment in melanoma given its dramatic response to PD-1/PD-L1 blockade. This is likely to extend to man...,40,1900152,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,15648443,-0.08009876,0.35576707,-0.1458936,59,22,37,14.706432314949005,-3.978489398956299,0,Subiu,Long-term effect of aspirin on cancer risk in carriers of hereditary colorectal cancer: an analysis from the CAPP2 randomised controlled trial. BACKGROUND Observational studies report reduced colorectal cancer in regular aspirin consumers. ...,37,15648443,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,30353437,0.2725668,0.04932545,0.14976697,49,18,31,15.220410443412966,-3.694197177886963,0,Subiu,"ATM and ataxia telangiectasia.. Ataxia telangiectasia (AT) has long intrigued the biomedical research community owing to the spectrum of defects that are characteristic of the disease, including neurodegeneration, immune dysfunction, radios...",31,30353437,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,8659426,-0.18300913,-0.03919732,-0.1825306,32,3,29,15.965650978328425,-1.439903736114502,0,Top reranker,"Cancer chemoprevention: a rapidly evolving field. Cancer chemoprevention involves the chronic administration of a synthetic, natural or biological agent to reduce or delay the occurrence of malignancy. The potential value of this approach h...",29,8659426,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,46617075,0.013742854,-0.16873953,-0.06666872,56,27,29,14.766200403947273,-4.432583332061768,0,Subiu,"Retinoblastoma regulatory pathway in lung cancer.. Lung cancer is the leading cause of cancer related deaths accounting for more deaths than breast, colon and prostate cancers combined. The Rb-p16 regulatory pathway plays an essential role ...",29,46617075,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,18473550,-0.006397784,-0.09006224,0.1805929,29,7,22,16.527956741197325,-2.942744731903076,0,Top reranker,Synergistic activity of the histone deacetylase inhibitor suberoylanilide hydroxamic acid and the bisphosphonate zoledronic acid against prostate cancer cells in vitro.. Bisphosphonates are widely used agents for the treatment of malignant ...,22,18473550,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,5372432,-0.40247008,0.4213323,-0.1275256,34,12,22,15.8941508485666,-3.326632499694824,0,Subiu,"Geographical access to healthcare in Northern England and post-mortem diagnosis of cancer.. BACKGROUND There is some previous evidence that diagnosis of cancer at death, recorded as registry death certificate only records, is associated wit...",22,,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,15946643,0.17498046,-0.18963653,-0.39466912,54,35,19,14.974531559865518,-5.844935894012451,0,Subiu,"A CXCL1 Paracrine Network Links Cancer Chemoresistance and Metastasis. Metastasis and chemoresistance in cancer are linked phenomena, but the molecular basis for this link is unknown. We uncovered a network of paracrine signals between carc...",19,,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,52188256,-0.28549865,0.21098804,-0.24368264,51,32,19,15.162729177983714,-4.774106025695801,0,Subiu,Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries.. This article provides a status report on the global burden of cancer worldwide using the GLOBOCAN 2018 estimates of can...,19,,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,32001951,0.1912433,-0.023030637,0.09165352,50,31,19,15.182491157909633,-4.593611240386963,0,Subiu,Regulation of the expression of alkaline phosphatase in a human breast-cancer cell line.. Treatment of the cultured human breast-cancer cells BC-M1 with dexamethasone induced a placental-type alkaline phosphatase (ALP). Both the ALP activit...,19,,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,3355397,-0.3856883,0.111481614,-0.19105959,20,2,18,17.255967890104685,-1.0956141948699951,0,Top reranker,Pioglitazone Use and Risk of Bladder Cancer and Other Common Cancers in Persons With Diabetes.. IMPORTANCE Studies suggest pioglitazone use may increase risk of cancers. OBJECTIVE To examine whether pioglitazone use for diabetes is associat...,18,3355397,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,3727986,0.19051181,-0.115941234,-0.44418743,55,37,18,14.83411384281705,-5.93708610534668,0,Subiu,A mechanically active heterotypic E-cadherin/N-cadherin adhesion enables fibroblasts to drive cancer cell invasion. Cancer-associated fibroblasts (CAFs) promote tumour invasion and metastasis. We show that CAFs exert a physical force on can...,18,,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,24294572,0.19697927,-0.30387852,-0.038048867,28,16,12,16.59089850417797,-3.558178663253784,0,Subiu,"PTEN Regulates PI(3,4)P2 Signaling Downstream of Class I PI3K. The PI3K signaling pathway regulates cell growth and movement and is heavily mutated in cancer. Class I PI3Ks synthesize the lipid messenger PI(3,4,5)P3. PI(3,4,5)P3 can be deph...",12,,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,12009265,-0.43186954,0.1793278,0.084706455,13,1,12,18.59770148172002,-1.0635123252868652,1,Relevante no qrels,"Vitamins E and C in the prevention of prostate and total cancer in men: the Physicians' Health Study II randomized controlled trial.. CONTEXT Many individuals take vitamins in the hopes of preventing chronic diseases such as cancer, and vit...",12,12009265,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,72180760,-0.40985724,0.38958985,-0.2347675,44,33,11,15.42082272867037,-5.300782680511475,0,Subiu,"Oncologists' perceptions of the effects of cancer patients' companions on physician-patient interactions. To determine physicians' perceptions of the effects that the companions of cancer patients have on physician-patient communication, se...",11,,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,4828631,-0.33026582,0.22784,-0.24415517,45,34,11,15.391854458402378,-5.3652729988098145,0,Subiu,"Body-mass index and risk of 22 specific cancers: a population-based cohort study of 5·24 million UK adults. BACKGROUND High body-mass index (BMI) predisposes to several site-specific cancers, but a large-scale systematic and detailed charac...",11,,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,32827351,0.2474744,0.38932577,0.2282299,57,49,8,14.743121364327006,-8.513040542602539,0,Subiu,"THE USE OF LEAD CITRATE AT HIGH pH AS AN ELECTRON-OPAQUE STAIN IN ELECTRON MICROSCOPY. Aqueous solutions of lead salts (1, 2) and saturated solutions of lead hydroxide (1) have been used as stains to enhance the electron-scattering properti...",8,,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,8577229,0.2717534,0.2561489,0.38041848,58,50,8,14.714280144819224,-8.912721633911133,0,Subiu,"Break-induced DNA replication.. Recombination-dependent DNA replication, often called break-induced replication (BIR), was initially invoked to explain recombination events in bacteriophage but it has recently been recognized as a fundament...",8,,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,32766786,-0.44952533,-0.06638378,0.20235251,24,17,7,16.817581246258513,-3.57063627243042,0,Subiu,Neoadjuvant androgen ablation before radical prostatectomy in cT2bNxMo prostate cancer: 5-year results.. PURPOSE In the initial report of the Lupron Depot Neoadjuvant Prostate Cancer Study Group patients who received 3 months of androgen de...,7,,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,20454006,-0.11854553,0.19974259,-0.12728758,46,40,6,15.350277873817483,-6.6159515380859375,0,Subiu,"A randomized, placebo-controlled trial of diindolylmethane for breast cancer biomarker modulation in patients taking tamoxifen. Diindolylmethane (DIM), a bioactive metabolite of indole-3-carbinol found in cruciferous vegetables, has propose...",6,,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,308862,-0.52603537,0.011058414,0.26100942,10,4,6,19.541444733894583,-2.251866579055786,0,Top reranker,Duration of androgen suppression in the treatment of prostate cancer.. BACKGROUND The combination of radiotherapy plus long-term medical suppression of androgens (> or = 2 years) improves overall survival in patients with locally advanced p...,6,308862,Subiu
SciFact,scifact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,24450344,-0.4244091,-0.10335067,0.2750783,14,8,6,18.344791827822778,-2.9429874420166016,0,Top reranker,Radical prostatectomy for pathological Gleason 8 or greater prostate cancer: influence of concomitant pathological variables.. PURPOSE We evaluated the long-term outcome of radical prostatectomy for pathological Gleason score 8 or greater p...,6,24450344,Subiu
